mst,client_type
1500399680,Công ty TNHH
1500400713,Công ty TNHH
1500402407,Công ty cổ phần
1500404683,Công ty TNHH
1500404891,Công ty TNHH
1500408582,Công ty cổ phần
1500411641,Công ty TNHH
1500412758,Công ty TNHH
1500429085,Công ty TNHH
5600128089,Công ty tư nhân
0104216476,Công ty cổ phần
6200013617,Công ty cổ phần
6200022805,Công ty nhà nước
6200017065,Công ty TNHH
6200087295,Công ty TNHH
0102147298-002,Công ty cổ phần
6200087665,Công ty TNHH
6200102680,Công ty tư nhân
0100686174-630,Công ty nhà nước
6200001026,Công ty TNHH
6200079008,Công ty cổ phần
6200019792,Công ty TNHH
6200065622-001,Công ty TNHH
6200021713,Công ty tư nhân
0100686174-015,Công ty nhà nước
0100512273,Công ty nhà nước
0201241365,Công ty TNHH
6200083766,Công ty TNHH
6200005366,Công ty TNHH
6200014000,Công ty tư nhân
6200014674,Công ty tư nhân
5600220648,Công ty TNHH
5600169014,Công ty tư nhân
5300212621,Công ty tư nhân
0600011557,Công ty cổ phần
0600473061,Công ty tư nhân
0600338231,Công ty nhà nước
0600722776,Công ty TNHH
0600988367,Công ty TNHH
0600414877,Công ty cổ phần
0601015836,Công ty TNHH
0600421024,Công ty cổ phần
0600333120,Công ty TNHH
0600346391,Công ty TNHH
0600737370,Công ty TNHH
0600617563,Công ty TNHH
0600309738,Công ty TNHH
0600739473,Công ty nhà nước
0600344355,Công ty tư nhân
0600343665,Công ty TNHH
0600414186,Công ty cổ phần
0600712351,Công ty tư nhân
0600328522,Công ty nhà nước
0600288887,Công ty TNHH
0600346708,Công ty TNHH
0600722078,Công ty TNHH
0600801033,Công ty TNHH
0600337171,Công ty TNHH
0600264004,Công ty cổ phần
0600408288,Công ty cổ phần
0600395511,Công ty TNHH
0600347130,Công ty cổ phần
0601038311,Công ty TNHH
0600454855,Công ty cổ phần
0600366214,Công ty cổ phần
0600994963,Công ty TNHH
0600309537,Công ty TNHH
0600741257,Công ty cổ phần
0600964870,Công ty TNHH
0600138465,Công ty cổ phần
0601138700,Công ty TNHH
0600263508,Công ty TNHH
0600957873,Công ty TNHH
0600670609,Công ty cổ phần
0600312699,Công ty cổ phần
0600335174,Công ty TNHH
0600343834,Công ty cổ phần
0600597902,Công ty cổ phần
1000576885,Công ty TNHH
0600985327,Công ty cổ phần
0601037607,Công ty TNHH
0600312755,Công ty TNHH
0600028832,Công ty tư nhân
0600422959,Công ty cổ phần
0600369085,Công ty TNHH
0600321326,Công ty TNHH
0600328804,Công ty tư nhân
0600307145,Công ty TNHH
0600296888,Công ty TNHH
0106391459,Công ty 100% vốn nước ngoài
0102362584,Công ty cổ phần
2500294471,Công ty TNHH
6200103451,Công ty TNHH
6200019778,Công ty tư nhân
0100150619_074,Công ty nhà nước
6200030235,Công ty tư nhân
2500175548-008,Công ty TNHH
0101821394,Công ty TNHH
0600582279,Công ty nhà nước
0600420380,Công ty TNHH
0600314230,Công ty TNHH
0600338224,Công ty TNHH
0601119384,Công ty TNHH
0601019372,Công ty TNHH
4800152908,Công ty cổ phần
4800254762,Công ty TNHH
4800211141,Công ty nhà nước
4800149260,Công ty nhà nước
4800142272,Công ty TNHH
4800104365,Công ty cổ phần
4800141222,Công ty TNHH
4800142265,Công ty cổ phần
4800891095,Công ty TNHH
4800736558,Công ty cổ phần
4800156518,Công ty cổ phần
4800167460,Công ty tư nhân
4800155835,Công ty nhà nước
4800176218,Công ty nhà nước
4800103996-004,Công ty nhà nước
4800141328,Công ty nhà nước
4800140740,Công ty nhà nước
4800124523,Công ty TNHH
4800158794,Công ty TNHH
4800166160,Công ty nhà nước
5700106120,Công ty nhà nước
4800176095,Công ty nhà nước
0100100022-004,Công ty nhà nước
4800148098,Công ty cổ phần
4800130044,Công ty nhà nước
5600210456,Công ty tư nhân
5600217797,Công ty tư nhân
