name,url
Genentech,https://www.drugs.com/manufacturer/genentech-inc-57.html
Genpharm,https://www.drugs.com/manufacturer/genpharm-358.html
Gentex Pharma,https://www.drugs.com/manufacturer/gentex-pharma-229.html
Genzyme Corporation,https://www.drugs.com/manufacturer/genzyme-corporation-59.html
Geron Corporation,https://www.drugs.com/manufacturer/geron-corporation-60.html
Gilead Sciences,https://www.drugs.com/manufacturer/gilead-sciences-inc-61.html
GlaxoSmithKline,https://www.drugs.com/manufacturer/glaxosmithkline-62.html
GlaxoSmithKline Consumer Healthcare,https://www.drugs.com/manufacturer/glaxosmithkline-consumer-healthcare-lp-514.html
Glenmark Pharmaceuticals,https://www.drugs.com/manufacturer/glenmark-pharmaceuticals-inc-258.html
Global Pharmaceuticals,https://www.drugs.com/manufacturer/global-pharmaceuticals-63.html
Graceway Pharmaceuticals,https://www.drugs.com/manufacturer/graceway-pharmaceuticals-llc-166.html
Grifols USA,https://www.drugs.com/manufacturer/grifols-usa-llc-521.html
"GTx, Inc.",https://www.drugs.com/manufacturer/gtx-inc-66.html
Halozyme Therapeutics,https://www.drugs.com/manufacturer/halozyme-therapeutics-inc-537.html
Helix BioPharma Corp,https://www.drugs.com/manufacturer/helix-biopharma-corp-67.html
Helsinn Healthcare SA,https://www.drugs.com/manufacturer/helsinn-healthcare-sa-624.html
Hemispherx Biopharma,https://www.drugs.com/manufacturer/hemispherx-biopharma-inc-156.html
Heritage Pharmaceuticals,https://www.drugs.com/manufacturer/heritage-pharmaceuticals-inc-188.html
Heron Therapeutics,https://www.drugs.com/manufacturer/heron-therapeutics-inc-582.html
Hikma Pharmaceuticals USA,https://www.drugs.com/manufacturer/hikma-pharmaceuticals-usa-inc-495.html
Hill Dermaceuticals,https://www.drugs.com/manufacturer/hill-dermaceuticals-inc-543.html
Hillestad Pharmaceuticals,https://www.drugs.com/manufacturer/hillestad-pharmaceuticals-inc-441.html
Hope Pharmaceuticals,https://www.drugs.com/manufacturer/hope-pharmaceuticals-233.html
Hospira,https://www.drugs.com/manufacturer/hospira-inc-177.html
IBSA Pharma,https://www.drugs.com/manufacturer/ibsa-pharma-inc-638.html
Ilex Consumer Products Group,https://www.drugs.com/manufacturer/ilex-consumer-products-group-inc-504.html
Impax Laboratories,https://www.drugs.com/manufacturer/impax-laboratories-inc-69.html
Incyte Corporation,https://www.drugs.com/manufacturer/incyte-corporation-70.html
Indivior,https://www.drugs.com/manufacturer/indivior-inc-612.html
Inspirion Delivery Sciences,https://www.drugs.com/manufacturer/inspirion-delivery-sciences-546.html
Intercept Pharmaceuticals,https://www.drugs.com/manufacturer/intercept-pharmaceuticals-inc-574.html
Interpharm Holdings,https://www.drugs.com/manufacturer/interpharm-holdings-inc-71.html
Intersect ENT,https://www.drugs.com/manufacturer/intersect-ent-inc-613.html
Ionis Pharmaceuticals,https://www.drugs.com/manufacturer/ionis-pharmaceuticals-inc-72.html
Ipsen Biopharmaceuticals,https://www.drugs.com/manufacturer/ipsen-biopharmaceuticals-inc-581.html
Iroko Pharmaceuticals,https://www.drugs.com/manufacturer/iroko-pharmaceuticals-llc-484.html
Ironwood Pharmaceuticals,https://www.drugs.com/manufacturer/ironwood-pharmaceuticals-inc-568.html
ISTA Pharmaceuticals,https://www.drugs.com/manufacturer/ista-pharmaceuticals-inc-73.html
Ivax Pharmaceuticals,https://www.drugs.com/manufacturer/ivax-pharmaceuticals-inc-236.html
Janssen Biotech,https://www.drugs.com/manufacturer/janssen-biotech-inc-35.html
Janssen Pharmaceuticals,https://www.drugs.com/manufacturer/janssen-pharmaceuticals-inc-74.html
Jazz Pharmaceuticals,https://www.drugs.com/manufacturer/jazz-pharmaceuticals-plc-398.html
JHP Pharmaceuticals,https://www.drugs.com/manufacturer/jhp-pharmaceuticals-llc-505.html
Johnson & Johnson Consumer,https://www.drugs.com/manufacturer/johnson-amp-johnson-consumer-inc-75.html
Jubilant Cadista Pharmaceuticals,https://www.drugs.com/manufacturer/jubilant-cadista-pharmaceuticals-inc-217.html
K-V Pharmaceutical Company,https://www.drugs.com/manufacturer/k-v-pharmaceutical-company-77.html
Kadmon Corporation,https://www.drugs.com/manufacturer/kadmon-corporation-llc-143.html
Kaleo,https://www.drugs.com/manufacturer/kaleo-inc-487.html
Kedrion Biopharma,https://www.drugs.com/manufacturer/kedrion-biopharma-inc-523.html
KemPharm,https://www.drugs.com/manufacturer/kempharm-inc-622.html
Keryx Biopharmaceuticals,https://www.drugs.com/manufacturer/keryx-biopharmaceuticals-inc-588.html
King Pharmaceuticals,https://www.drugs.com/manufacturer/king-pharmaceuticals-inc-76.html
Kowa Pharmaceuticals America,https://www.drugs.com/manufacturer/kowa-pharmaceuticals-america-inc-213.html
Kremers Urban Pharmaceuticals,https://www.drugs.com/manufacturer/kremers-urban-pharmaceuticals-inc-282.html
KVK-Tech,https://www.drugs.com/manufacturer/kvk-tech-inc-78.html
Kyowa Kirin,https://www.drugs.com/manufacturer/kyowa-kirin-inc-79.html
Kythera Biopharmaceuticals,https://www.drugs.com/manufacturer/kythera-biopharmaceuticals-inc-532.html
La Jolla Pharmaceutical Company,https://www.drugs.com/manufacturer/la-jolla-pharmaceutical-company-617.html
Lannett Company,https://www.drugs.com/manufacturer/lannett-company-inc-80.html
Larken Laboratories,https://www.drugs.com/manufacturer/larken-laboratories-inc-383.html
Laser Pharmaceuticals,https://www.drugs.com/manufacturer/laser-pharmaceuticals-llc-317.html
Leadiant Biosciences,https://www.drugs.com/manufacturer/leadiant-biosciences-inc-632.html
