,mck,ten_cong_ty,mst,cong_ty_con,doanh_thu_2020,doanh_thu_2021
693,NDW,CTCP Cấp nước Nam Định,600008000,,"248,680","253,593"
694,NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng,400620833,"CTCP Tia sáng mới, CTCP cấp nước Đà Nẵng Ngọc Hồi","53,105","121,293"
695,NED,CTCP Đầu tư và Phát triển Điện Tây Bắc,5500271984,"CTCP Thủy điện Nậm Công Sơn La, công ty TNHH Đầu tư Trường Đại Lộc, CTCP Shisho Việt Nam, CTCP Hoàng Long Mộc Châu","103,106","64,960"
696,NET,CTCP Bột giặt NET,3600642822,,"1,470,114","1,479,645"
697,NFC,CTCP Phân lân Ninh Bình,2700224471,,"432,545","556,275"
698,NGC,CTCP Chế biến Thủy sản xuất khẩu Ngô Quyền,1700460163,,"17,982","175,705"
699,NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,700222689,"CTCP BĐS Hamico, Nhà máy gạch Lý Nhân","161,567","122,478"
700,NHC,CTCP Gạch ngói Nhị Hiệp,3700358798,"CTCP Sông Phan, CTCP Vật liệu và Xây dựng Bình Dương","73,191","28,615"
701,NHH,CTCP Nhựa Hà Nội,100100858,,"1,064,158","2,083,681"
702,NHP,CTCP Sản xuất Xuất nhập khẩu NHP,106332492,"CTCP Thương mại và Dịch vụ Kim Bôi, CTCP Đầu tư Phát triển 299","57,965",
703,NHT,CTCP Sản xuất và Thương mại Nam Hoa,303292182,Công ty TNHH Sản xuất và Thương mại Miền Quê,"886,309","929,041"
704,NHV,CTCP Sức Khỏe Hồi Sinh Việt Nam,4600483821,"Công ty TNHH MTV NHV Quảng Trị, CTCP Đầu tư và Khoáng sản Vico Quảng trị",,"5,158"
705,NJC,CTCP May Nam Định,600328515,,"415,445","342,705"
706,NKG,CTCP Thép Nam Kim,3700477019,"Công ty TNHH MTV Ống thép Nam Kim, Công ty TNHH MTV Ống thép Nam Kim Chu Lai","11,559,675","28,173,402"
707,NLG,CTCP Đầu tư Nam Long,301438936,"Công ty TNHH MTV Dịch vụ Nam Long, Công ty TNHH MTV Paragon Đại Phước, CTCP Đầu tư Nam Phan, Công ty TNHH Phát triển Căn hộ Nam Long, Công ty TNHH MTV Quản lý và khai thác BĐS nam Long, Công ty TNHH Nam Long Commercial, Công ty TNHH MTV Đầu tư Xây dựng và Phát triển Nam Khang, Công ty TNHH Quản lý Xây dựng và Đầu tư Nam Long, Công ty TNHH MTV Dịch vụ Vận tải Nam Long, Công ty TNHH MTV Sàn Giao dịch Bất động sản Nam Long, Công ty TNHH Đầu tư Nam Phát Land, CTCP Nam Long VCD, CTCP Bất Động Sản Nguyên Sơn, CTCP Nam Long - Hồng Phát, Công Ty TNHH Thành phố Waterfront Đồng Nai, CTCP Southgate, CTCP MNH Mizuki, CTCP NLG - NNR - HR Fuji, Công ty TNHH NN Kikyo Valaro","2,216,719","5,205,519"
708,NLS,CTCP Cấp thoát nước Lạng Sơn,4900101738,,"138,427","145,425"
709,NNC,CTCP Đá Núi Nhỏ,3700762471,,"401,541","159,042"
710,NNG,CTCP Công nghiệp - Dịch vụ - Thương mại Ngọc Nghĩa,301427028,"Công ty TNHH Nhựa PET Việt Nam, Công ty TNHH PET Quốc Tế, Công ty TNHH Nắp Toàn Cầu, Công ty TNHH MTV Bao bì Quốc tế Ngọc Nghĩa","1,662,788","1,854,734"
711,NNT,CTCP Cấp nước Ninh Thuận,4500289362,,"183,752","183,497"
712,NOS,CTCP Vận tải biển và Thương mại Phương Đông,100105609,"CTCP Thương mại và Vận tải thủy NOSCO Quảng Ninh, CTCP Sữa chữa tàu biển Nosco - Shipyard","220,050","246,212"
713,NQB,CTCP Cấp nước Quảng Bình,3100130287,,"94,278","106,873"
714,NQN,CTCP Nước sạch Quảng Ninh,5700100104,Công ty TNHH Cấp nước Yên Lập Quảng Ninh,"594,002","612,338"
715,NQT,CTCP Nước sạch Quảng Trị,3200041908,,"117,541","123,150"
716,NRC,CTCP Tập Đoàn Danh Khôi,312695565,CTCP Bất động sản DKRD,"207,249","444,037"
717,NS2,CTCP Nước sạch Số 2 Hà Nội,100106088,,"447,133","464,070"
718,NSC,CTCP Tập đoàn Giống cây trồng Việt Nam,101449271,"CTCP Giống cây trồng Miền Nam, CTCP Đầu tư và Phát triển Nông nghiệp Công nghệ cao Hà Nam, CTCP Giống cây trồng Trung ương Quảng Nam, Công ty TNHH Lúa gạo Việt Nam, CTCP Giống cây trồng Hà Tây","1,634,552","1,928,606"
719,NSG,CTCP Nhựa Sài Gòn,300766500,,"57,510","57,978"
720,VTH,CTCP Dây cáp Điện Việt Thái,3600751476,,"225,630","298,431"
721,VTI,CTCP Sản xuất - Xuất nhập khẩu Dệt may,0102405830,"Công ty CP Đáp Cầu -Yên Phong, Công ty cổ phần Coffee Indochine","26,623","26,093"
722,VTJ,CTCP Thương mại và Đầu tư VI NA TA BA,0305020995,,"5,087","5,323"
723,VTK,CTCP Tư Vấn Và Dịch Vụ Viettel,0100109106-075,,"113,026","136,096"
724,VTL,CTCP Vang Thăng Long,0101275603,"Công ty TNHH Thương mại và Đầu tư Địa ốc Thăng Long, Công ty TNHH MTV Rượu Vang Thăng Long, CTCP Thương mại & Dịch vụ Vang Thăng Long","50,067","80,750"
725,VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN,5700477326,,"263,064","288,121"
726,VTO,CTCP Vận tải Xăng dầu Vitaco,030 0545 501,Công ty TNHH MTV Vitaco Sài Gòn,"1,165,643","946,220"
727,VTP,Tổng Công ty cổ phần Bưu chính Viettel,0104093672,"Công ty TNHH MTV Công nghệ Bưu chính Viettel, Công ty TNHH MTV Thương mại Điện tử Bưu chính Viettel, Công ty TNHH MTV Logistics Viettel, Công ty TNHH Mygo Campuchia, Công ty TNHH Mygo Myanmar","17,234,282","21,452,032"
728,VTQ,CTCP Việt Trung Quảng Bình,3100114493,Công ty TNHH chăn nuôi Hòa Phát Quảng Bình,"36,932","51,025"
729,VTR,CTCP Du lịch và Tiếp thị Giao thông Vận tải Việt Nam - Vietravel,0300465937,"Công ty TNHH An Incentives, Indochina Heritage Travel, Công ty Vietravel Australia Pty Ltd, CTCP Du lịch và Thương mại Đầu tư Đảo Ngọc Bích, Công ty TNHH MTV Đầu tư và Phát triển Vietravel, Công ty TNHH MTV Dịch vụ Du lịch Trip U, CTCP Tiếp thị Thể thao - Du lịch - Giải trí Việt Nam, Viet Nam Travel and Marketing Transports Co., Ltd, CTCP Lữ hành Sài Gòn Việt Nam","1,517,567","912,726"
730,VTS,CTCP Viglacera Từ Sơn,2300101958,,"18,596","10,398"
731,VTV,CTCP Năng lượng và Môi trường VICEM,0100106352,,"1,501,207","2,018,167"
732,VTX,CTCP Vận tải Đa Phương Thức Vietranstimex,0400101901,Công ty TNHH Liên doanh BNX – Vietranstimex,"198,483","635,716"
733,VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành,0310710930,,"356,585","399,545"
734,VUA,CTCP Chứng khoán Stanley Brothers,0305453780,,"62,882","114,352"
735,VVN,Tổng Công ty cổ phần Xây dựng Công nghiệp Việt Nam,0100779365,"Công ty TNHH MTV Xây lắp Điện 4, Công ty TNHH MTV Xây lắp Hóa chất, Công ty TNHH MTV Cơ khí Hóa chất Hà Bắc, Công ty TNHH MTV Xi măng Quang Sơn, CTCP Cơ khí Xây lắp Hóa chất, CTCP Xây lắp và Sản xuất Công nghiệp, CTCP Bê tông ly tâm Thủ Đức, CTCP XNK Thương mại Hợp tác Nhân lực Quốc tế Việt Nam, CTCP Đầu tư Xây dựng Số 5, CTCP Đầu tư và Khoáng sản Vinaincon, CTCP Đầu tư và Xây dựng Vinaincon 6, CTCP Bê tông ly tâm An Giang, CTCP Đầu tư Năng lượng Vinaincon, CTCP Đầu tư và Xây dựng Công nghiệp, CTCP Thi công Cơ giới Vinaincon, CTCP Cơ khí Hồng Nam, CTCP Kết cấu Thép xây dựng, CTCP Bê tông ly tâm Vinaincon","4,570,144","4,263,311"
736,NSH,CTCP Tập Đoàn Nhôm Sông Hồng Shalumi,2600213532,CTCP Xây dựng Sông Hồng 26,"858,884","1,039,881"
737,NSL,CTCP Cấp nước Sơn La,5500154649,CTCP VBIC Sơn La,"121,953","125,310"
738,NSS,CTCP Nông Súc Sản Đồng Nai,3600267730,,"347,267","312,810"
739,NST,CTCP Ngân Sơn,100100199,,"640,591","655,910"
740,NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,3600897316,,"6,082,248","6,149,584"
741,NTB,CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584,304967631,"CTCP Sản xuất và kinh doanh vật liệu xây dựng 584.8, CTCP Sản xuất và kinh doanh bất động sản 584.6, CTCP Tư vấn thiết kế 584.1, CTCP Tư vấn giám sát 584.2, CTCP Xây dựng 584.3, CTCP Cơ Điện Lạnh 584.4, CTCP Kinh doanh vật tư - Thiết bị 584.5","-9,356","-2,816"
742,NTC,CTCP Khu Công nghiệp Nam Tân Uyên,3700621209,"CTCP Khu công nghiệp Bắc Đồng Phú, CTCP Khu công nghiệp Cao su Bình Long, CTCP KCN Dầu Giây, Công ty TNHH Công nghiệp và Đầu tư Nam Tân Uyên, CTCP Cao su Trường Phát","263,563","271,180"
743,NTF,CTCP Dược - Vật tư Y tế Nghệ An,2900491298,,"213,476","179,692"
744,NTH,CTCP Thủy điện Nước Trong,4300322171,,"103,412","105,001"
745,NTL,CTCP Phát triển Đô thị Từ Liêm,101533886,"CTCP Lideco 2, CTCP Lideco 8","652,853","576,724"
746,NTP,CTCP Nhựa Thiếu niên Tiền Phong,200167782,"Công ty TNHH Nhựa Thiếu niên tiền phong miền Trung, Công ty TNHH BĐS Tiền Phong, CTCP Bao bì Tiền Phong, CTCP Nhựa Thiếu niên Tiền phong phía Nam","4,486,111","4,823,525"
747,NTT,CTCP Dệt - May Nha Trang,4200237973,CTCP Đầu tư Khánh Phú,"816,897","635,925"
748,NTW,CTCP Cấp nước Nhơn Trạch,3600977120,,"160,359","162,139"
749,NUE,CTCP Môi trường Đô thị Nha Trang,4200444916,,"195,691","183,764"
750,NVB,Ngân hàng TMCP Quốc Dân,1700169765,Công ty TNHH Quản lý nợ và Khai thác Tài sản Ngân hàng Quốc Dân,"1,433,742","1,259,219"
751,NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va,301444753,"CTCP Phát triển Đô thị Kỷ Nguyên, Công ty TNHH BĐS Khải Hưng, Công ty TNHH Đầu tư Địa Ốc No Va Sài Gòn Royal, CTCP Nova Hospitality, Công ty TNHH BĐS Bách Hợp, Công ty TNHH Đầu tư và BĐS Tường Minh, Công ty TNHH BĐS Thế Kỷ Hoàng Kim, Công ty TNHH Đầu tư và Phát triển BĐS An Phát, Công ty TNHH Đầu tư Địa Ốc Thành Nhơn, Công ty TNHH Nova An Phú, Công ty TNHH Đầu tư Phát triển BĐS Phúc Thịnh, Công ty TNHH Nova Lucky Palace, Công ty TNHH MTV Novaland Agent, CTCP Địa Ốc Nova Mỹ Đình, Công ty TNHH No Va Thảo Điền, Công ty TNHH Đầu tư BĐS Tân Kim Yến, Công ty TNHH Thương mại Đầu tư Địa ốc 38, Công ty TNHH BĐS Bảo Phúc, Công ty TNHH BĐS Nova Riverside, CTCP Đầu tư và BĐS Ngọc Uyên, Công ty TNHH Nova Sasco, CTCP Dịch vụ Đầu tư Lucky House, Công ty TNHH BĐS Gia Phú, Công ty TNHH Nova Property Management, CTCP Đầu tư BĐS Trường Thạnh, CTCP Bất động sản Thịnh Vượng, Công ty TNHH Đầu tư và Phát triển BĐS An Huy, CTCP Đầu tư Liberty, CTCP Đầu tư và Phát triển BĐS Thuận Phát, CTCP Huỳnh Gia Huy, CTCP Nova Richstar, Công ty TNHH Đầu tư và Phát triển Phước Long, CTCP Big Ben Holiday, CTCP Nova Holiday, Công ty TNHH Đầu tư và Phát triển BĐS 350, CTCP Đầu tư BĐS Trường Tây, Công ty TNHH Đầu tư và Phát triển BĐS Nova Phúc Nguyên, Công ty TNHH Đầu tư và Phát triển BĐS Cửu Long, CTCP Đầu tư và Thương mại Nhà Rồng, CTCP Đầu tư Phát triển nhà ở và Hạ tầng Sài Gòn, CTCP Bất động sản Đỉnh Phát, CTCP BĐS Nova Lexington, CTCP Kinh doanh BĐS Thái Bình, Công ty TNHH Đầu tư và Phát triển BĐS Khánh An, CTCP Đầu tư Địa ốc No Va, CTCP Nova Princess Residence, CTCP Cao Ốc Phương Đông, Công ty TNHH Merufa-Nova, Công ty TNHH Tập đoàn Đầu tư KM, Công ty TNHH Delta - Valley Bình Thuận, CTCP Đầu tư Ngọc Linh Hoa, CTCP The Prince Residence, CTCP Địa Ốc Nhật Hoa, Công ty TNHH Nova Rivergate, CTCP Địa Ốc Thành Nhơn, CTCP Phát triển Đất Việt, Công ty TNHH Đầu tư và Phát triển Bất động sản CQ89, CTCP No Va Festival, Công ty TNHH Vườn bách thảo Hồ Tràm, Công ty TNHH Phát triển Quốc tế Thế kỷ 21, CTCP Ngôi Nhà Mega, Công ty TNHH Mega Tie, CTCP Đầu tư Phát triển Địa ốc Vạn Phát, Công ty TNHH The Forest City, CTCP Đầu tư Thư Minh Nguyễn, CTCP Dịch vụ Du lịch Hòa Thắng, Công ty TNHH Carava Resort, CTCP Du Lịch Thanh Niên Việt Nam, CTCP Khách sạn Du lịch Thanh Niên Vũng Tàu, Công ty TNHH Nova Nam Á, Công ty TNHH Nova Sagel, CTCP Cảng Phú Định, Công ty TNHH Đầu tư BĐS Long Hưng Phát, Công ty TNHH Tư vấn Long Hưng Phát, Công ty TNHH Thành phố Aqua, Công ty TNHH BĐS Phúc Hoa, CTCP Thạnh Mỹ Lợi, Công ty TNHH Đầu tư và Phát triển Địa ốc Gia Huy, Công ty TNHH Đầu tư Phát triển BĐS An Phú Đông, Công ty TNHH Sài Gòn Gôn, CTCP Đầu tư SQN, CTCP Thương mại Đầu tư BĐS Phú Trí, CTCP Điện tử và Dịch vụ Công nghiệp Sài Gòn, CTCP Phát triển và dịch vụ Nhà Bến Thành, CTCP Hùng Ngự Security","5,026,358","14,902,760"
752,NVP,CTCP Nước sạch Vĩnh Phúc,2500144719,CTCP Cấp nước Setfil Vĩnh Phúc,"85,266","87,739"
753,NVT,CTCP Bất động sản Du lịch Ninh Vân Bay,102051941,"Công ty TNHH Đầu tư Du lịch Dã Hương, CTCP Khách sạn Du lịch Báo Việt, CTCP Phát triển Du lịch Tân An, CTCP Du lịch Hồng Hải","211,058","126,670"
754,NWT,CTCP Vận tải Newway,106921949,,"109,711","87,912"
755,NXT,CTCP Sản xuất và Cung ứng Vật liệu Xây dựng Kon Tum,6100102662,,"34,325","70,691"
756,VNA,CTCP Vận tải Biển Vinaship,200119965,Công ty TNHH dịch vụ hàng hải VInaship,"513,360","853,341"
757,VNB,CTCP Sách Việt Nam,100109829,CTCP In sách Việt Nam,"36,354","23,143"
758,VNC,CTCP Tập đoàn Vinacontrol,100107772,"Công ty TNHH Giám định Vinacontrol TP. Hồ Chí Minh, CTCP Tư vấn và Thẩm định Môi trường Vinacontrol, CTCP Chứng nhận và Kiểm định Vinacontrol, CTCP Thẩm định giá Vinacontrol","578,927","589,910"
759,VND,CTCP Chứng khoán VNDirect,102065366,"Công ty TNHH MTV Quản lý Quỹ đầu tư Chứng khoán IPA, Công ty TNHH IVND, Công ty TNHH BH Capital","2,134,529","6,039,233"
760,VNE,Tổng Công ty cổ phần Xây dựng Điện Việt Nam,400101450,"CTCP Xây dựng Điện VNECO 12, CTCP Xây dựng Điện VNECO 8, CTCP Xây dựng Điện VNECO 4, CTCP Xây dựng Điện VNECO 3, CTCP Năng lượng VNECO, CTCP Xây dựng Điện VNECO 2, CTCP Xây dựng Điện VNECO 10, Công ty TNHH Đầu tư VNECO, Công ty TNHH MTV VNECO Miền Trung, Công ty TNHH Điện gió Thuận Nhiên Phong 1, Công ty TNHH Điện Mặt Trời Vneco - Hòa Thắng, Công ty TNHH MTV Xây dựng Năng lượng VNECO, CTCP VNECO - RME","1,299,667","1,999,013"
761,VNF,CTCP Vinafreight,302511219,"Công ty TNHH Hậu Cần Toàn Cầu SFS Việt Nam, Công ty TNHH Dịch vụ Hàng không Véc Tơ Quốc tế (Vector Aviation), CTCP Dịch vụ Logistic Thăng Long, Công ty TNHH Đầu tư Phát triển Thương Mại Con Đường Việt (Vietway), CTCP Giao nhận Vận tải Miền Trung (Vinatrans Đà Nẵng), CTCP Dịch vụ Logistics Thăng Long, CTCP Giao nhận Vận tải Ngoại Thương, CTCP Cảng Mipec, CTCP Logistics Vĩnh Lộc","2,468,752","4,895,878"
762,VNG,CTCP Du lịch Thành Thành Công,3500753423,"Công ty TNHH Du Lịch TTC, CTCP Du lịch Thành Thành Công Lâm Đồng, Công ty TNHH MTV Thành Thành Công Đà Lạt, CTCP Du lịch và Thương mại Hoa Ngọc Lan, Công ty TNHH Chăm sóc Sức khỏe Ngọc Lan, Công ty TNHH Lữ hành Quốc tế TTC, CTCP Lâm Công nghiệp Lâm Đồng, Công ty TNHH Toàn Thịnh Phát Bình Thuận, CTCP Nhà hàng Ngọc Lan Đình, CTCP Du lịch Thanh Bình, CTCP Du lịch Vinagolf AngKor, CTCP Du lịch Núi Tà Cú, CTCP Du Lịch Bến Tre, CTCP Du lịch Đồng Thuận","460,521","182,479"
763,VNH,CTCP Đầu tư Việt Việt Nhật,302207804,Công ty cổ phần Xuyên Thái Bình (PAN),"2,112","4,590"
764,VNI,CTCP Đầu tư Bất động sản Việt Nam,304867926,CTCP Đầu tư Thương mại Dịch vụ Phước Long,"5,428","6,376"
765,VNL,CTCP Logistics Vinalink,301776205,"CTCP Vận chuyển Vinalink, CTCP Logistics Kim Thành, Công ty TNHH DV Đại lý Vận chuyển ( FC VN), Công ty TNHH Điều hành vận chuyển Hàng hóa Liên kết (LCM), CTCP Giao nhận Vận tải Miền Trung, Công ty TNHH RCL (Việt Nam), Công ty TNHH Vận tải Việt Nhật","1,202,207","1,464,037"
766,VNM,CTCP Sữa Việt Nam,300588569,,"59,636,286","60,919,165"
767,VNP,CTCP Nhựa Việt Nam,300381966,"Công ty TNHH MTV Thương mại và Dịch vụ Nhựa Trường An, Công ty TNHH TM và DV Nhựa Việt Nam, Công ty TNHH MTV TM&DV Nhựa số 1, CTCP Nhựa Việt Phước, Công ty TNHH Liên doanh Việt Thái PlastChem, CTCP Nhựa Vân Đồn","185,071","348,049"
768,VNR,Tổng Công ty cổ phần Tái Bảo hiểm Quốc gia Việt Nam,100110447,"CTCP Đầu Tư Vinare Invest, Công ty liên kết Bảo hiểm SamSung Vina","1,578,398","1,605,862"
769,VNS,CTCP Ánh Dương Việt Nam,302035520,CTCP Ánh Dương Xanh Việt Nam,"1,006,002","484,680"
770,VNT,CTCP Giao nhận Vận tải Ngoại thương,101352858,"Công ty TNHH Giao nhận vận tải Hà Thành, CTCP Cảng Mipec, Công ty TNHH Mitsui-Soko Việt Nam, CTCP Dịch vụ Logistics Thăng Long","1,238,970","2,544,346"
771,VNX,CTCP Quảng cáo và Hội chợ Thương mại,100108007,,"38,917","22,557"
772,VNY,CTCP Thuốc thú y Trung ương I,100102326,Công ty TNHH Thuốc thú y Trung Ương 1,"145,733","173,848"
773,VOC,Tổng Công ty Công Nghiệp Dầu Thực Vật Việt Nam - CTCP,300585984,Công ty TNHH Dầu thực vật Cái Lân,"2,597,678","1,495,931"
774,VOS,CTCP Vận tải Biển Việt Nam,200106490,"CTCP Thương mại & Dịch vụ Vosco, CTCP Đại lý tàu biển & Logistics Vosco","1,277,270","1,423,852"
775,VPA,CTCP Vận tải Hoá Dầu VP,200809454,,"127,213","113,125"
776,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,100233583,"Công ty TNHH Quản lý tài sản Ngân hàng TMCP Việt Nam Thịnh Vượng, Công ty Tài chính TNHH Ngân hàng Việt Nam Thịnh Vượng SMBC (“VPB SMBC FC”)","32,345,823","34,348,829"
777,VPC,CTCP Đầu tư và Phát triển Năng lượng Việt Nam,101601945,"CTCP Đầu tư Tài nguyên và Năng lượng Lào Cai, CTCP Đầu tư Tài nguyên và Năng lượng Lai Châu","28,475","38,301"
778,VPD,CTCP Phát triển Điện lực Việt Nam,101264520,,"454,767","568,569"
779,VPG,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,200826844,Công TNHH Thương mại và Dịch vụ Thiên Quý,"2,331,465","3,863,572"
780,VPH,CTCP Vạn Phát Hưng,301822194,"CTCP Thương mại Dịch vụ Du lịch C.T.C, CTC Investment International Inc, CTCP Dịch vụ Môi trường Đô thị Hòa Bình, CTCP Đầu tư TMDV An Hưng, CTCP Xây dựng Thuận Hưng, CTCP Tấn Lực","268,627","290,558"
781,VPI,CTCP Đầu tư Văn Phú - INVEST,102702590,CTCP Văn Phú - b&c,"2,164,999","2,610,596"
782,VPR,CTCP VinaPrint,301306457,,"69,692","39,674"
783,VPS,CTCP Thuốc sát trùng Việt Nam (VIPESCO),300408946,"Công ty TNHH Sản xuất Nông dược Vi sinh VIGUATO, Công ty TNHH Mosfly Việt Nam Industries (MVI), CTCP Trừ mối – Khử trùng","507,882","551,220"
784,VPW,CTCP Cấp thoát nước Số 1 Vĩnh Phúc,2500155742,CTCP Đầu tư Xây dựng Cấp nước Vĩnh Phúc,"163,843","184,639"
785,VQC,CTCP Giám định - Vinacomin,5700100552,,"157,550","157,964"
786,VRC,CTCP Bất động sản và Đầu tư VRC,3500101523,"CTCP Adec, CTCP Đóng tàu và Dịch vụ Cảng Mỹ Xuân","9,451","3,474"
787,VRE,CTCP Vincom Retail,105850244,Công ty TNHH Vận hành Vincom Retail,"8,328,918","5,891,141"
788,VRG,CTCP Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam,800300443,,"21,778","17,826"
789,VSA,CTCP Đại lý Hàng hải Việt Nam,300437898,Công ty TNHH Yusen Logistic Việt Nam,"1,013,146","1,605,521"
790,VSC,CTCP Container Việt Nam,200453688,"Công ty TNHH MTV Vận tải biển Ngôi sao xanh, Công ty TNHH MTV Viconship Hồ Chí Minh, Công ty TNHH MTV Trung tâm Lgistics Xanh, Công ty TNHH MTV Dịch Vụ Cảng Xanh, CTCP Cảng Xanh VIP, CTCP Cảng Xanh VIP, CTCP Đầu tư Dịch vụ và Phát triển xanh, CTCP Container Miền Trung, CTCP Logisitc Cảng Đà Nẵng, Công ty TNHH Tuyến Container T.S. Hà Nội, CTCP Cảng Dịch vụ Dầu khí Đình Vũ","1,688,865","1,892,131"
791,VSE,CTCP Dịch vụ Đường cao tốc Việt Nam,102680481,,"70,319","61,729"
792,VSF,Tổng Công ty Lương thực Miền Nam - CTCP,300613198,"CTCP Xuất nhập khẩu Kiên Giang, CTCP Lương thực Nam Trung Bộ, CTCP Tô Châu, CTCP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau, Cơ sở nuôi cá Ấp Long Trị, CTCP Xây lắp Cơ khí và lương thực Thực phẩm, CTCP Bao bì Tiền Giang, CTCP Lương thực Thành Phố Hồ Chí Minh, CTCP Lương thực Hậu Giang, CTCP Lương thực Thực phẩm Safoco, CTCP Sài Gòn lương thực, CTCP Lương thực Quảng Ngãi, CTCP Lương thực Bình Định, CTCP Lương thực Thực phẩm Vĩnh Long, CTCP Lương thực Cabodia- Việt Nam, CTCP Lương thực Thực phẩm Colusa- Miliket, CTCP Hoàn Mỹ, CTCP Phú Tam Khôi, CTCP Bến Thành- Mũi Né, CTCP Xuất nhập khẩu Nông sản thực phẩm An Giang","16,552,851","16,540,583"
793,VSG,CTCP Container Phía Nam,301872364,,"268,418","203,370"
794,VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh,4100562786,Công ty TNHH MTV Tư vấn và Dịch vụ Kỹ thuật VSH,"340,618","1,611,301"
795,VSI,CTCP Đầu tư và Xây dựng Cấp thoát nước,300393538,"CTCP Đầu tư & Phát triển Nhà Địa Lợi, CTCP Tư vấn và Cấp nước Đông Nam Á - Mekong Rạch Giá, CTCP Cấp nước Gia Tân","289,433","256,613"
796,VSM,CTCP Container Miền Trung,400424349,Công ty CP Container Qui Nhơn,"182,384","259,200"
797,VSN,CTCP Việt Nam Kỹ nghệ Súc sản,300105356,,"5,143,547","4,292,766"
798,VSP,CTCP Vận tải biển và Bất động sản Việt Hải,303154993,"CT TNHH MTV Vận tải Biển Nam Việt, CT TNHH MTV Kinh doanh Dầu khí Việt Hải, CTCP Dịch vụ Hàng hải Nam Việt, CT TNHH Dịch vụ Hàng Hải","636,979","224,250"
799,VST,CTCP Vận tải và Thuê tàu biển Việt Nam,300448709,"công ty TNHH Quản lý tàu biển Hải Đăng, Công ty TNHH Cung ứng Thuyền viên SCC","415,464","502,461"
800,VTA,CTCP Vitaly,300398078,CTCP Bao Bì và Khoáng Sản Số 1,"278,986","211,799"
801,VTB,CTCP Viettronics Tân Bình,300391837,"CTCP Thương mại JS VTB, CTCP Vitek VTB Hà Nội, CTCP Công nghệ thông tin VTB","458,625","327,487"
802,VTC,CTCP Viễn thông VTC,301888195,CTCP Đầu tư và Phát triển Công nghệ Thông Minh,"428,756","140,838"
803,VTD,CTCP Du lịch Vietourist,311273634,Công ty cổ phần kỹ thuật công nghệ Vietech,"104,171","149,970"
804,VTE,CTCP VINACAP Kim Long,102306413,,"667,988","563,922"
805,VTG,CTCP Du lịch Tỉnh Bà Rịa - Vũng Tàu,3500101812,"Công ty TNHH Lữ hành Vũng Tàu, CTCP Du lịch Nghinh Phong, CTCP Du lịch Thùy Vân, CTCP Giải trí Thể thao Minh Đạm, CTCP Đầu tư Khách sạn Biển Đông","73,168","44,587"
806,OCB,Ngân hàng TMCP Phương Đông,300852005,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,"1,670,025","1,701,758"
807,OCH,CTCP One Capital Hospitality,800338870,"CTCP Thương mại và dịch vụ Bình Hưng, CTCP Tân Việt","884,860","399,160"
808,ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE,107602021,,"49,498","125,080"
809,OGC,CTCP Tập đoàn Đại Dương,102278484,"Công ty TNHH Kinh doanh Bất động sản TKD Việt Nam, CTCP Đầu tư Đại Dương Thăng Long, CTCP Sở Giao Dịch hàng hóa INFO, CTCP Phát triển Tài nguyên Thiên nhiên Đại Dương, CTCP Khách sạn và Dịch vụ OCH, CTCP Đầu tư BOT Hà Nội - Bắc Giang","903,545","409,277"
