,mck,ten_cong_ty,mst,cong_ty_con,doanh_thu_2020,doanh_thu_2021
1227,TCK,Tổng Công ty Cơ khí Xây dựng - CTCP,100106553.0,"Công ty TNHH MTV Xây lắp và Kinh doanh Vật tư Thiết bị số 27, Công ty TNHH MTV Sản xuất, XNK Dịch vụ Phát triển Nông thôn, CTCP Khóa Minh Khai, CTCP Cơ khí và Xây lắp Thái Bình, CTCP Cơ khí Xây dựng và Lắp máy Điện nước, CTCP Cơ khí và Xây lắp Sông Chu, CTCP Cơ khí Xây dựng Số 2 Hà Bắc, Công ty Liên doanh Đồng hồ nước Zenner - Coma, CTCP Cơ khí và Đầu tư Xây dựng Số 9","367,935","372,683"
1228,TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,304875444.0,"CTCP Tiếp vận Tân Cảng Đồng Nai, CTCP Tân Cảng - Bến Thành, CTCP Tân cảng 128 - Hải Phòng, CTCP Cát Lái - Đông Sài Gòn","1,089,792","1,185,726"
1229,TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công,301446221.0,"Công ty TNHH TC Commerce, Công ty TNHH TC Tower, CTCP Trung tâm Y Khoa Thành Công, CTCP Du lịch Golf Vũng Tàu, CTCP Đầu tư xây dựng Thành Phúc, CTCP Hợp tác Kinh tế và XNK SAVIMEX","3,469,717","3,535,416"
1230,TCO,CTCP Vận tải Đa phương thức Duyên Hải,200793081.0,CTCP Thương mại Dịch vụ Năng lượng Hoàng Gia,"170,252","242,577"
1231,TCR,CTCP Công nghiệp Gốm sứ Taicera,3600254001.0,"Công ty TNHH Phát triển Taicera, Công ty TNHH Tekknia","919,933","934,630"
1232,TCT,CTCP Cáp treo Núi Bà Tây Ninh,3900309621.0,CTCP Khách sạn Hòa Bình Tây Ninh,"43,216","35,870"
1233,TCW,CTCP Kho Vận Tân Cảng,309532497.0,"CTCP Tiếp vận Cát Lái, CTCP Tân Cảng Hiệp Lực, Công ty CP Tân Cảng Express","768,721","800,514"
1234,TDB,CTCP Thủy điện Định Bình,4100541602.0,,"52,505","64,118"
1235,TDC,CTCP Kinh doanh và Phát triển Bình Dương,3700413826.0,Công ty Cổ phần Bệnh viện Mỹ Phước,"1,596,466","1,658,207"
1236,TDF,CTCP Trung Đô,2900324272.0,,"578,460","792,987"
1237,TDG,CTCP Đầu tư TDG GLOBAL,2400345718.0,,"802,594","1,458,002"
1238,TDH,CTCP Phát triển Nhà Thủ Đức,302346036.0,"CTCP TMDV Lộc Phúc An, Công ty TNHH Nước đá tinh khiết Đông An Bình, CTCP Đầu tư Lộc Phú Nhân, CTCP Đầu tư Huế Nhà Thủ Đức, Công ty TNHH Bách Phú Thịnh, CTCP Đầu tư Nghĩa Phú","1,961,050","487,215"
1239,TDM,CTCP Nước Thủ Dầu Một,3702226772.0,"CTCP Nước - Môi trường Bình Dương, CTCP Tư vấn Cấp thoát nước - Môi trường","385,643","417,024"
1240,TDN,CTCP Than Đèo Nai - Vinacomin,5700101299.0,TCT CP Nhiệt điện Cẩm Phà,"3,014,960","3,214,243"
1241,TDS,CTCP Thép Thủ Đức - VNSTEEL,305409326.0,,"2,161,216","2,323,958"
1242,TDT,CTCP Đầu tư và Phát triển TDT,4600941221.0,,"270,829","408,929"
1243,TDW,CTCP Cấp nước Thủ Đức,304803601.0,,"1,008,182","1,039,485"
1244,TED,Tổng Công ty tư vấn thiết kế giao thông vận tải - CTCP,100107839.0,"Công ty tư vấn công trình Châu Á - Thái Bình Dương, Công ty cổ phần Tư vấn thiết kế Kiểm định và Địa kỹ thuậ, Công ty cổ phần Tư vấn thiết kế Xây dựng Giao thông Thủy, Công ty cổ phần Tư vấn xây dựng Công trình giao thông 2, Công ty cổ phần Tư vấn xây dựng Công trình giao thông 5, Công ty cổ phần Tư vấn thiết kế Cầu lớn - hầm, Công ty cổ phần Tư vấn thiết kế Đường bộ, Công ty cổ phần Tư vấn xây dựng Cảng - đường thủy, Công ty cổ phần Tư vấn thiết kế Giao thông vận tải 4, Công ty cổ phần Tư vấn thiết kế Cầu đường","860,541","946,846"
1245,TEG,CTCP Năng lượng và Bất động sản Trường Thành,105167260.0,"Công ty TNHH Onsen Hội Văn, CTCP Hướng Hóa Holding","214,715","249,830"
1246,TEL,CTCP Phát triển Công trình Viễn thông,100683141.0,Công ty TNHH MTV Cơ khí và Xây lắp Thông tin,"36,223","42,786"
1247,TET,CTCP Vải sợi May mặc Miền Bắc,100108127.0,CT TNHH MTV Vải sợi may mặc Miền Bắc II,"22,683","22,593"
1248,TFC,CTCP Trang,303366525.0,"Công ty TNHH SX-TM-DV Thực phẩm DASUMY, Công ty TNHH Thực phẩm DARY","658,742","671,575"
1249,TGG,CTCP Louis Capital,105787835.0,"Công ty TNHH MTV Kho vận Wings Global, CTCP Quản lý và Khai thác tài sản Louis AMC, CTCP Sametel, CTCP Golden Paddy, Công ty TNHH Angimex Furious","10,219","801,897"
1250,TGP,CTCP Trường Phú,800298748.0,,"137,897","317,382"
1251,TH1,CTCP Xuất nhập khẩu tổng hợp 1 Việt Nam,100107490.0,"CTCP Bất động sản Tổng hợp 1, Công ty TNHH Phát triển Đệ Nhất","112,684","208,483"
1252,THB,CTCP Bia Hà Nội - Thanh Hóa,2800791192.0,Công ty TNHH MTV TM Habeco Miền Trung,"268,204","366,744"
1253,THD,CTCP Thaiholdings,105202998.0,"Công ty TNHH MTV Nam Hà, Công ty TNHH Đầu tư và Phát triển THD, CTCP - Tập đoàn Thaigroup","1,820,617","8,242,532"
1254,THG,CTCP Đầu tư và Xây dựng Tiền Giang,1200526842.0,"Công ty TNHH MTV Bê tông TICCO Tân Phước, Công ty TNHH MTV Bê tông TICCO, Công ty TNHH MTV Đầu tư và Kinh doanh Bất Động Sản TICCO, Công ty TNHH MTV Xây dựng Thủy lợi TICCO, Công ty TNHH MTV Cọc TICCO, Công ty TNHH MTV Vật liệu Xây dựng TICCO, Công ty TNHH MTV Cơ khí Công trình TICCO, CTCP Xây dựng TICCO, CTCP Testco","1,782,150","1,318,964"
1255,THI,CTCP Thiết bị Điện,3600253826.0,"CTCP Sản xuất Thiết bị điện Đông Anh, Tổng Công ty Thiết bị Điện Đông Anh - CTCP","2,830,937","2,407,323"
1256,MSH,CTCP May Sông Hồng,600333307,CTCP May Sông Hồng_ Nghĩa Hưng,"3,813,409","4,747,623"
1257,MSR,CTCP Masan High-Tech Materials,309966889,"Công ty TNHH MTV Tài Nguyên Masan Thái Nguyên (MRTN), Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo, Công ty TNHH Vonfram Masan (MTC), Công ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (TNTI)","7,291,181","13,564,290"
1258,MTC,CTCP Dịch vụ Du lịch Mỹ Trà,1400696545,,"18,169","9,499"
1259,MTH,CTCP Môi trường Đô thị Hà Đông,500332500,,"107,724","104,140"
1260,MVC,CTCP Vật liệu và Xây dựng Bình Dương,3700148529,"CTCP Đá Núi Nhỏ, CTCP Gạch Ngói Nhị Hiệp, CTCP Gạch Ngói Cao Cấp","513,186","304,526"
1261,MWG,CTCP Đầu tư Thế giới Di động,306731335,"Công ty TNHH MTV Công nghệ thông tin TGDĐ, Công ty TNHH Vui Vui, Công ty Cổ phần Logistics Toàn Tín, CTCP bán lẻ An Khang, Công ty Cổ phần 4K Farm, CTCP Thế Giới Di Động, CTCP Thương mại Bách Hóa Xanh, TGDĐ Cambodia, CTCP Thế Giới Số Trần Anh, Công ty TNHH Dịch vụ Lắp đặt - Sửa chữa - Bảo hành Tận Tâm","108,546,020","122,958,106"
1262,SDD,CTCP Đầu tư và Xây lắp Sông Đà,500450173.0,CTCP Tư vấn & Kinh doanh Sông Đà,"88,301","49,646"
1263,SJG,Tổng Công ty Sông Đà - CTCP,100105870.0,"Công ty TNHH MTV Hạ tầng Sông Đà, CTCP Thủy điện Nậm Chiến, CTCP Sông Đà 4, CTCP Sông Đà 6, CTCP Sông Đà 5, CTCP Sông Đà 10, CTCP Sông Đà 9, CTCP Tư Vấn Sông Đà, CTCP Phòng Cháy chữa cháy và Đầu tư Xây dựng Sông Đà, CTCP Đầu tư và Phát triển điện Sê San 3A, CTCP Sông Đà 3, CTCP Thủy điện Cần Đơn, Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin, CTCP Sông Đà 12, CTCP Cơ khí Lắp máy Sông Đà, CTCP Sông Đà 2, CTCP Đầu tư Phát triển Đô thị và Khu Công nghiệp Sông Đà, CTCP Phát triển nhà Khánh Hòa, CTCP Điện Việt Lào, CTCP BOT Quốc lộ 2","883,327","1,559,852"
1264,SJM,CTCP Sông Đà 19,400450691.0,Công ty TNHH thủy điện Đăklây,785,
1265,SJS,CTCP Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,101399461.0,"Công ty TNHH MTV SUDICO Tiến Xuân, Công ty TNHH SUDICO Thăng Long, CTCP SUDICO Hòa Bình, CTCP Tư vấn SUDICO, CTCP VLXD & ĐTPT SUDICO, CTCP Dịch vụ SUDICO, CTCP Đầu tư Thương mại và Bất động sản Thăng Long, CTCP Xây dựng SUDICO","1,135,902","747,036"
1266,SKG,CTCP Tàu cao tốc Superdong - Kiên Giang,1700556108.0,,"304,339","167,159"
