,Công ty 1,Thông tin hoá đơn,Công ty 2,Tên quốc tế,Tên viết tắt,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh
844,1500614909 - CÔNG TY TNHH MTV TM VẬN TẢI HÀ LỢI,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,VNPT - VINAPHONE,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông"
845,1500626358 - CÔNG TY TRÁCH NHIỆM HỮU HẠN KIỂM ĐỊNH XÂY DỰNG TOÀN THẮNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
846,1500644484 - CÔNG TY TNHH MỘT THÀNH VIÊN TM - DV LONG VINH,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
847,1500658134 - CÔNG TY TNHH NAM THẮNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
848,1500659321 - CÔNG TY TNHH MỘT THÀNH VIÊN TM-DV MINH TÂN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
849,1500660824 - CÔNG TY TNHH TM-XD PHÚC TÂM,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
850,1500661232 - CÔNG TY TNHH THƯƠNG MẠI - XÂY DỰNG THIÊN PHÁT LỘC,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
851,1500663039 - CÔNG TY TNHH XÂY DỰNG TOÀN MỸ,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
852,1500668679 - CÔNG TY TƯ VẤN TÀI CHÍNH XÂY DỰNG TBT (TNHH),Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
853,1500671544 - CÔNG TY TNHH MỘT THÀNH VIÊN TƯ VẤN XÂY DỰNG THUẬN PHÁT,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
854,1500672763 - CÔNG TY TRÁCH NHIỆM HỮU HẠN XÂY DỰNG VĨNH THÁI,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
855,1500690963 - CÔNG TY TRÁCH NHIỆM HỮU HẠN HÓA MỸ PHẨM NGUYỄN LÊ,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
856,1500691798 - CÔNG TY TNHH MỘT THÀNH VIÊN KHÁCH SẠN ÁNH HỒNG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,VNPT - VINAPHONE,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông"
857,1500701661 - CÔNG TY TNHH MTV DỊCH VỤ BẢO VỆ THĂNG LONG TỨ,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
858,1500704045 - CÔNG TY TRÁCH NHIỆM HỮU HẠN GIÀY TRƯỜNG AN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
859,1500704327 - CÔNG TY TNHH MỘT THÀNH VIÊN MÁY TÍNH HƯNG THỊNH,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,MISA JSC,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính
860,1500714050 - CÔNG TY TNHH PHƯỚC ANH 3,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
861,1500714357 - CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THUẬN THÀNH PHÁT,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
862,1500719683 - CÔNG TY TNHH MỘT THÀNH VIÊN VINH PHÚ,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,VNPJC,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn
863,1500739182 - CÔNG TY TNHH TM DV HIỆP PHÁT VĨNH LONG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,MISA JSC,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính
864,1500744094 - CÔNG TY TNHH XÂY DỰNG GIA PHÚ LONG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,MISA JSC,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính
865,1500829809 - CÔNG TY TNHH MTV NGỌC PHƯỢNG VĨNH LONG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY TNHH PHÁT TRIỂN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN TRÍ VIỆT.,0400456407 - CÔNG TY TNHH PHÁT TRIỂN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN TRÍ VIỆT,,E.TECH,0400456407,"77/17 Lê Độ, Phường Tam Thuận, Quận Thanh Khê, Thành phố Đà Nẵng, Việt Nam",LÊ PHƯỚC THỊNH,05113872509,2003-11-28,Chi cục Thuế khu vực Thanh Khê - Liên Chiểu,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Xuất bản phần mềm
866,1500873195 - CÔNG TY TNHH TƯ VẤN VÀ XÂY DỰNG KVK,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS.,0105987432 - CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,SOFTDREAMS TECHNOLOGY INVESTMENT AND TRADING JOINT STOCK COMPANY,,0105987432,"Số 7, Ngách 97/1, Ngõ 97 Chính Kinh, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","VŨ VĂN LUẬT
Ngoài ra VŨ VĂN LUẬT còn đại diện các doanh nghiệp:
SOFTDREAMS - KIỂM THỬ HĐĐT CÓ MÃ
SOFTDREAMS - KIỂM THỬ HĐĐT KHÔNG MÃ",0914969009,2012-09-09,Chi cục Thuế Quận Thanh Xuân,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Xuất bản phần mềm
867,0303213215-002 - CHI NHÁNH CÔNG TY CỔ PHẦN F.A- NHÀ MÁY CO2 PHÚ MỸ,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS.,0105987432 - CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,SOFTDREAMS TECHNOLOGY INVESTMENT AND TRADING JOINT STOCK COMPANY,,0105987432,"Số 7, Ngách 97/1, Ngõ 97 Chính Kinh, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","VŨ VĂN LUẬT
Ngoài ra VŨ VĂN LUẬT còn đại diện các doanh nghiệp:
SOFTDREAMS - KIỂM THỬ HĐĐT CÓ MÃ
SOFTDREAMS - KIỂM THỬ HĐĐT KHÔNG MÃ",0914969009,2012-09-09,Chi cục Thuế Quận Thanh Xuân,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Xuất bản phần mềm
868,3501941596 - CÔNG TY TNHH VINH CÚC,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của DOANH NGHIỆP TƯ NHÂN TRÚC LÂM.,3500102012 - DOANH NGHIỆP TƯ NHÂN TRÚC LÂM,TRUC LAMPRIVATE ENTERPRISE,,3500102012,"Số 3717, tổ 1, khu phố 5, Phường Phước Trung, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",ĐINH THIÊN TRÍ ( sinh năm 1967 - Bà Rịa - Vũng Tàu) Ẩn thông tin,0643 717528,2009-09-01,Chi cục Thuế khu vực Bà Rịa - Long Điền - Đất Đỏ,Doanh nghiệp tư nhân,Đang hoạt động (đã được cấp GCN ĐKT),In ấn
869,0300942001-026 - CÔNG TY ĐIỆN LỰC BÀ RỊA - VŨNG TÀU,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của .,Không xác định,,,,,,,,,,,
870,0313310810 - CÔNG TY CỔ PHẦN DAISY HONEY BEE,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY TNHH CÔNG NGHỆ LCD VIỆT NAM.,0312483391 - CÔNG TY TNHH CÔNG NGHỆ LCD VIỆT NAM,,,0312483391,"26/1 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN THỊ BÍCH ĐÀO
Ngoài ra NGUYỄN THỊ BÍCH ĐÀO còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY CỔ PHẦN PHẦN MỀM SIVIP TẠI TP. HỒ CHÍ MINH",0938412539,2013-10-01,Chi cục Thuế Quận 1,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Không hoạt động tại địa chỉ đăng ký,Quảng cáo
871,0310733906-001 - CHI NHÁNH CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI TỔNG HỢP ĐÔNG BẮC,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TRÁCH NHIỆM HỮU HẠN MINH THƯ.,3500456910 - CÔNG TY TRÁCH NHIỆM HỮU HẠN MINH THƯ,MINH THU COMPANY LIMITED,"MINH THU CO., LTD",3500456910,"115 - 117 Trương Công Định, Phường 3, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam","NGUYỄN THỊ THƠM ( sinh năm 1970 - Tiền Giang) Ẩn thông tin
Ngoài ra NGUYỄN THỊ THƠM còn đại diện các doanh nghiệp:
HỘ KINH DOANH CH CUNG CẤP SUẤT ĂN CÔNG NGHIỆP SỐ 1",02543858372,2002-06-06,Chi cục Thuế khu vực Vũng Tàu - Côn Đảo,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn
872,3502356936 - CÔNG TY TRÁCH NHIỆM HỮU HẠN KỸ THUẬT NHẤT TÂM,,,,,,,,,,,,,
873,3502330455 - CÔNG TY TNHH ĐẦU TƯ TRẦN PHAN,,,,,,,,,,,,,
874,0102100878-001 - NGÂN HÀNG LIÊN DOANH VIỆT NGA - CHI NHÁNH VŨNG TÀU,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
875,0900851564 - QTD NHÂN DÂN THỌ VINH,,,,,,,,,,,,,
876,0900212920 - CÔNG TY TNHH XÂY DỰNG KHÁNH LÂM,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN HÒA AN.,0800845493 - CÔNG TY CỔ PHẦN IN HÒA AN,,,0800845493,"Cụm Công nghiệp Ngô Quyền, Phường Cẩm Thượng, Thành phố Hải Dương, Tỉnh Hải Dương, Việt Nam",Nguyễn Thị Yến ( sinh năm 1985 - Hải Dương) Ẩn thông tin,0220 3891828,2010-07-09,Chi cục Thuế Thành phố Hải Dương,,,In ấn
877,0900624642 - CÔNG TY CỔ PHẦN ĐÔNG THIÊN PHÚ HƯNG YÊN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN CÔNG NGHỆ THẺ NACENCOMM.,0103930279 - CÔNG TY CỔ PHẦN CÔNG NGHỆ THẺ NACENCOMM,NACENCOMM - SMARTCARD TECHNOLOGY JOINT STOCK COMPANY,"NACENCOMM SCT.,JSC",0103930279,"Tầng 5, số 2 Chùa Bộc, Phường Trung Tự, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",HOÀNG QUỐC KHÁNHPHÙNG HUY TÂM ( sinh năm 1970 - Hà Nội) Ẩn thông tin,024 35765146,2009-06-04,Chi cục Thuế Quận Đống đa,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính
878,3200042669 - CÔNG TY CỔ PHẦN KHOÁNG SẢN QUẢNG TRỊ,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,VNPT - VINAPHONE,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông"
879,3200153129 - CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN ĐỨC HIỀN QUẢNG TRỊ,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,MISA JSC,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính
880,3200203700 - CÔNG TY TRÁCH NHIỆM HỮU HẠN HỒNG ĐÀO,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,VNPT - VINAPHONE,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông"
