STT,Tên HO,Ngành nghề,Địa chỉ HO,MST,TTP,MCK,url
150,CÔNG TY TNHH PANASONIC VIỆT NAM ,,"Lô J1-J2, Khu công nghiệp Thăng Long, xã Kim Chung, Huyện   Đông Anh, Thành phố Hà Nội, Việt Nam",0101824243,Hà Nội,,
151,CÔNG TY CỔ PHẦN MOBICAST ,,"Tầng 4, V1 Home City, 177 phố Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",0107591436,Hà Nội,,
152,Công ty cổ phần One Mount Group,,"458 P. Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",0109079946,Hà Nội,,
153,Công ty Cổ phần Truyền thông Iris,,"Số 3 ngõ Phủ Doãn, phường Hàng Trống, quận Hoàn Kiếm, TP Hà Nội",0105687291,Hà Nội,,
154,Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,,"10 Lý Tự Trọng, P.Bến Nghé, Quận 1, Hồ Chí Minh",1100176136,TP Hồ Chí Minh,,
155,Ngân hàng TMCP An Bình,,"170 Hai Bà Trưng, P.Đa Kao, Quận 1, Hồ Chí Minh",0301412222,TP Hồ Chí Minh,ABB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ABB
156,CÔNG TY CP SỮA VIỆT NAM,,Số 10 Tân Trào - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,0300588569,TP Hồ Chí Minh,VNM,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VNM
157,CÔNG TY CP TẬP ĐOÀN HOA SEN,,183 Nguyễn Văn Trỗi - Phường 10 - Quận Phú Nhuận - TP Hồ Chí Minh,3700381324,TP Hồ Chí Minh,HSG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HSG
158,Ngân hàng TMCP xuất nhập khẩu Việt Nam,,"Tầng 8, tòa nhà Vincom Center, 72 Lê Thánh Tôn,P.Bến Nghé,Quận 1,TP. Hồ Chí Minh",0301179079,TP Hồ Chí Minh,EIB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=EIB
159,Ngân hàng TMCP Đông á,,"130 Phan Đăng Lưu, Phường 3, Quận Phú Nhuận, Thành phố Hồ Chí Minh",0301442379,TP Hồ Chí Minh,,
160,Ngân hàng TNHH INDOVINA,,"97A Nguyễn Văn Trỗi, Phường 12, Quận Phú Nhuận, Tp.Hồ Chí Minh",0300733752,TP Hồ Chí Minh,,
