,Company,CEO,MST,NGANH_NGHE,Type,doanh_thu_2020,doanh_thu_2021,tinh
50,CÔNG TY CP THƯƠNG MẠI THÁI HƯNG,Nguyễn Thị Vinh,4600310787,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ",1,,,Thái Nguyên
51,CÔNG TY TNHH THƯƠNG MẠI VÀ DƯỢC PHẨM SANG,Lê Quỳnh Liên,0310631333,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",1,,,TP Hồ Chí Minh
52,CÔNG TY CP TÔN ĐÔNG Á,Nguyễn Thanh Trung,3700255880,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,,,Bình Dương
53,CÔNG TY CP VIỄN THÔNG FPT,Hoàng Việt Anh,0101778163,Viễn thông,1,"11,466,154","12,686,416",Hà Nội
54,CÔNG TY CP TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA,Nguyễn ngọc Huyên,0301444753,Kinh doanh bất động sản,1,"5,026,358","14,902,760",TP Hồ Chí Minh
55,CÔNG TY CP THÉP NAM KIM,Võ Hoàng Vũ,3700477019,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,"11,559,675","28,173,402",Bình Dương
56,CÔNG TY CP TẬP ĐOÀN XÂY DỰNG HÒA BÌNH,Lê Viết Hiếu,0302158498,Xây dựng,1,"11,224,653","11,355,969",TP Hồ Chí Minh
57,CÔNG TY CP DÂY CÁP ĐIỆN VIỆT NAM,Lê Quang Định,0300381564,"Sản xuất, kinh doanh thiết bị điện",1,"10,578,973","10,479,096",Thái Bình
58,CÔNG TY CP TẬP ĐOÀN T&T,Đỗ Quang Hiển,0100233223,Dịch vụ tài chính khác,1,,,Hà Nội
59,CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,Nguyễn Khắc Thảo,2300105790,"Sản xuất, kinh doanh thức ăn chăn nuôi",1,"10,021,584","10,812,795",Bắc Ninh
60,NGÂN HÀNG TMCP BẮC Á,Thái Hương,2900325526,Ngân hàng,1,"2,031,071","2,117,228",Nghệ An
61,CÔNG TY CP THÉP POMINA,Đỗ Văn Khánh,3700321364,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,"9,819,652","14,000,250",Bình Dương
62,CÔNG TY CP PVI,Bùi Vạn Thuận,0100151161,Bảo hiểm,1,"1,480,551","1,581,149",Hà Nội
63,NGÂN HÀNG TMCP NAM Á,Trần Ngọc Tâm,0300872315,Ngân hàng,1,"2,603,945","4,283,189",TP Hồ Chí Minh
64,CÔNG TY TNHH TẬP ĐOÀN BIM,Đoàn Quốc Huy,5701942544,Kinh doanh bất động sản,1,,,Quảng Ninh
65,CÔNG TY CP SẢN XUẤT THÉP VINA ONE,Huỳnh Nghĩa Thiện,1100549268,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Long An
66,TỔNG CÔNG TY VIGLACERA - CTCP,Nguyễn Anh Tuấn,0100108173,"Sản xuất, kinh doanh vật liệu xây dựng",1,"9,433,049","11,194,313",Hà Nội
67,CÔNG TY CP CẢNG RAU QUẢ,Đặng Như Bình,0302336158,"Kho bãi, bốc xếp hàng hóa",1,"9,238,488","10,319,544",TP Hồ Chí Minh
68,CÔNG TY CP MASAN HIGH-TECH MATERIALS,Craig Richard Bradshaw,0309966889,Dịch vụ khác,1,"7,291,181","13,564,290",TP Hồ Chí Minh
69,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TIẾN,Hồ Minh Trí,0301049150,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",1,,,TP Hồ Chí Minh
70,TỔNG CÔNG TY BẢO HIỂM PVI,Phạm Anh Đức,0105402531,Bảo hiểm,1,,,Hà Nội
71,CÔNG TY CP TẬP ĐOÀN PAN,Nguyễn Trà My,0301472704,Hoạt động nông nghiệp khác,1,"8,329,251","9,248,572",Long An
72,CÔNG TY CP THÉP TVP,Ninh Thị Bích Thùy,1100598716,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Long An
73,CÔNG TY CP TẬP ĐOÀN AN PHÁT HOLDINGS,Đinh Xuân Cường,0801210129,Dịch vụ tài chính khác,1,"8,484,891","14,793,871",Hải Dương
74,CÔNG TY CP VINCOM RETAIL,Trần Mai Hoa,0105850244,Kinh doanh bất động sản,1,"8,328,918","5,891,141",Hà Nội
75,TỔNG CÔNG TY CP XUẤT NHẬP KHẨU VÀ XÂY DỰNG VIỆT NAM,Nguyễn Xuân Đông,0100105616,Xây dựng,1,"5,551,436","5,749,000",Hà Nội
76,CÔNG TY CP TẬP ĐOÀN KIDO,Trần Lệ Nguyên,0302705302,"Sản xuất, chế biến và kinh doanh đường",1,"8,323,616","10,496,864",TP Hồ Chí Minh
77,CÔNG TY CP MEDIAMART VIỆT NAM,Lê Quang Vũ,0102516308,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",1,,,Hà Nội
78,CÔNG TY TNHH HÀO HƯNG,Thang Văn Hóa,0301952517,Hoạt động công nghiệp khác,1,,,TP Hồ Chí Minh
79,TẬP ĐOÀN GELEXIMCO - CTCP,Vũ Văn Tiền,0100514947,Kinh doanh bất động sản,1,,,Hà Nội
80,CÔNG TY CP ĐẦU TƯ THÁI BÌNH,Nguyễn Đức Thuấn,3700148737,"Sản xuất, kinh doanh sản phẩm da giầy",1,,,Bình Dương
81,CÔNG TY CP DỊCH VỤ PHÂN PHỐI TỔNG HỢP DẦU KHÍ,Vũ Tiến Dương,0305482862,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",1,"8,237,757","8,595,396",TP Hồ Chí Minh
82,NGÂN HÀNG TMCP AN BÌNH,Lê Hải,0301412222,Ngân hàng,1,"2,381,546","3,064,563",Hà Nội
83,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI MESA,Lưu Tuyết Mai,0100520429,"Sản xuất, kinh doanh đồ dùng gia đình",1,,,Hà Nội
84,CÔNG TY CP ĐẦU TƯ XÂY DỰNG RICONS,Trần Quang Quân,0303527596,Xây dựng,1,,,TP Hồ Chí Minh
85,CÔNG TY CP TẬP ĐOÀN LỘC TRỜI,Nguyễn Duy Thuận,1600192619,Hoạt động nông nghiệp khác,1,"7,505,793","10,224,140",An Giang
86,CÔNG TY CP NHỰA AN PHÁT XANH,Đinh Xuân Cường,0800373586,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,"7,428,557","13,143,110",Hải Dương
87,CÔNG TY CP TỔNG CÔNG TY TÍN NGHĨA,Trần Trung Tuấn,3600283394,Kinh doanh bất động sản,1,"7,416,931","7,056,020",Đồng Nai
88,CÔNG TY CP VĨNH HOÀN,Nguyễn Ngô Vi Tâm,1400112623,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,"7,037,180","9,054,249",Đồng Tháp
89,TỔNG CÔNG TY CP MAY VIỆT TIẾN,Bùi Văn Tiến,0300401524,"Sản xuất, kinh doanh trang phục",1,"7,120,959","6,008,314",TP Hồ Chí Minh
90,TỔNG CÔNG TY XÂY DỰNG SỐ 1 - CTCP,Lê Hữu Việt Đức,0301429113,Xây dựng,1,"6,845,439","5,664,069",TP Hồ Chí Minh
91,CÔNG TY CP HIM LAM,Dương Công Hùng,0301437499,Kinh doanh bất động sản,1,,,TP Hồ Chí Minh
92,CÔNG TY CP THỦY SẢN SÓC TRĂNG,Trần Văn Phẩm,2200108445,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,,,Sóc Trăng
93,CÔNG TY CP ĐẦU TƯ HẠ TẦNG KỸ THUẬT TP. HỒ CHÍ MINH,Lê Quốc Bình,0302483177,Xây dựng,1,"5,374,092","2,860,034",Điện Biên
94,CÔNG TY CP TẬP ĐOÀN PC1,Trịnh Văn Tuấn,0100100745,Hoạt động xây dựng khác,1,"6,678,601","9,828,463",Hà Nội
95,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHAN MINH,Phan Hùng Minh,0303283290,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,,,TP Hồ Chí Minh
96,CÔNG TY CP ĐƯỜNG QUẢNG NGÃI,Võ Thành Đàng,4300205943,"Sản xuất, chế biến và kinh doanh đường",1,"6,213,489","7,335,294",Quảng Ngãi
97,CÔNG TY CP ỐNG THÉP VIỆT - ĐỨC VG PIPE,Nguyễn Hữu Thể,2500267703,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,"2,506,408","1,688,167",Vĩnh Phúc
98,CÔNG TY CP ĐẦU TƯ VÀ PHÁT TRIỂN ĐA QUỐC GIA I.D.I,Lê Văn Chung,0303141296,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,"6,366,756","5,718,848",Đồng Tháp
99,NGÂN HÀNG TMCP QUỐC DÂN,Phạm Thế Hiệp,1700169765,Ngân hàng,1,"1,433,742","1,259,219",Hà Nội
100,NGÂN HÀNG TMCP VIỆT Á,Nguyễn Văn Trọng,0302963695,Ngân hàng,1,"1,310,780","1,551,307",Hà Nội
101,CÔNG TY CP VNG,Lê Hồng Minh,0303490096,"Dịch vụ vui chơi, giải trí",1,,,TP Hồ Chí Minh
102,NGÂN HÀNG TMCP VIỆT NAM THƯƠNG TÍN,Nguyễn Hữu Trung,2200269805,Ngân hàng,1,"569,759","1,486,208",Sóc Trăng
103,CÔNG TY TNHH THƯƠNG MẠI VHC (SIÊU THỊ ĐIỆN MÁY HC),Nguyễn Hoàng Hải,0105690657,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",1,,,Hà Nội
104,CÔNG TY CP XI MĂNG XUÂN THÀNH,Nguyễn Xuân Thủy,0700576529,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Hà Nam
105,CÔNG TY CP CƠ ĐIỆN LẠNH,Huỳnh Thanh Hải,0300741143,Hoạt động xây dựng khác,1,"5,639,753","5,809,811",TP Hồ Chí Minh
106,CÔNG TY CP ĐẦU TƯ THÀNH THÀNH CÔNG,Huỳnh Bích Ngọc,0301466073,"Sản xuất, chế biến và kinh doanh đường",1,,,TP Hồ Chí Minh
107,CÔNG TY CP CITY AUTO,Nguyễn Hoàng Minh Tiến,0307979603,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",1,"5,644,019","4,508,688",TP Hồ Chí Minh
108,CÔNG TY CP ĐẦU TƯ SÀI GÒN VRG,Trần Mạnh Hùng,0305268812,Xây dựng,1,"5,082,583","5,577,559",TP Hồ Chí Minh
109,CÔNG TY CP VICOSTONE,Phạm Anh Tuấn,0500469512,"Sản xuất, kinh doanh vật liệu xây dựng",1,"5,659,595","7,070,129",Hà Nội
110,CÔNG TY CP HÓA DẦU QUÂN ĐỘI (MIPEC),Dư Cao Sơn,0101436307,Kinh doanh xăng dầu và các sản phẩm liên quan,1,,,Hà Nội
111,CÔNG TY CP ĐẠI TÂN VIỆT,Didier Lachize,0302505776,"Sản xuất, chế biến và kinh doanh thực phẩm khác",1,,,TP Hồ Chí Minh
112,CÔNG TY CP PHÚ TÀI,Lê Văn Thảo,4100259236,"Sản xuất, kinh doanh vật liệu xây dựng",1,"5,601,237","6,491,949",Bình Định
113,CÔNG TY CP DỊCH VỤ Ô TÔ HÀNG XANH,Nguyễn Thị Ngọc Bích,0302000126,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",1,"5,569,552","5,551,485",Điện Biên
114,CÔNG TY CP QUỐC TẾ SƠN HÀ,Lê Hoàng Hà,0100776445,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,"5,360,118","7,074,613",Hà Nội
115,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG UNICONS,Võ Hoàng Lâm,0304472276,Xây dựng,1,,,Điện Biên
116,CÔNG TY CP DẦU THỰC VẬT TƯỜNG AN,Bùi Thanh Tùng,0303498754,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",1,,,TP Hồ Chí Minh
117,CÔNG TY CP TẬP ĐOÀN ECOPARK,Trần Quốc Việt,0101395308,Kinh doanh bất động sản,1,,,An Giang
118,CÔNG TY CP TẬP ĐOÀN CÔNG NGHỆ CMC,Nguyễn Trung Chính,0100244112,Hoạt động thông tin khác,1,"5,181,109","6,290,385",Hà Nội
119,CÔNG TY CP GIAO NHẬN VÀ VẬN CHUYỂN IN DO TRẦN,Trần Tuấn Anh,0301909173,Hoạt động khác hỗ trợ cho vận tải,1,,,TP Hồ Chí Minh
120,CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU THIÊN NAM,Vương Quang Diệu,0301172041,"Kinh doanh kim loại, sắt thép, kim khí…",1,"5,231,863","5,446,937",TP Hồ Chí Minh
121,CÔNG TY CP SẢN XUẤT NHỰA DUY TÂN,Trần Duy Hy,0306151768,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,TP Hồ Chí Minh
122,CÔNG TY CP TẬP ĐOÀN KIM TÍN,Nguyễn Tiến Hải,0303738780,Hoạt động công nghiệp khác,1,,,TP Hồ Chí Minh
123,CÔNG TY TNHH XUẤT NHẬP KHẨU CÀ PHÊ MINH TIẾN,Nguyễn Thị Hồng Minh,0101013887,"Sản xuất, chế biến và kinh doanh thực phẩm khác",1,,,Hà Nội
124,CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG DELTA,Trần Thành Vinh,0100512717,Xây dựng,1,,,Hà Nội
