,Company,CEO,MST,NGANH_NGHE,Type,doanh_thu_2020,doanh_thu_2021,tinh
293,CÔNG TY CP BẤT ĐỘNG SẢN THẾ KỶ,Nguyễn Trung Vũ,0101160306,Kinh doanh bất động sản,1,"2,117,495","5,597,582",Hà Nội
294,CÔNG TY CP NHỰA BẢO VÂN,Nguyễn Quốc Bảo,3700257662,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Bình Dương
295,CÔNG TY CP TẬP ĐOÀN CIENCO4,Nguyễn Tuấn Huỳnh,2900324850,Xây dựng,1,"2,089,845","1,885,076",Hà Nội
296,CÔNG TY CP MÁY TÍNH VĨNH XUÂN,Ngô Thị Kim Ngân,0100516045,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",1,,,Hà Nội
297,CÔNG TY CP KỸ NGHỆ THỰC PHẨM VIỆT NAM (VIFON),Lê Thị Ánh Phương,0300627384,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,,,TP Hồ Chí Minh
298,CÔNG TY CP TẬP ĐOÀN ĐẠT PHƯƠNG,Trần Anh Tuấn,0101218757,Xây dựng,1,"2,118,336","2,545,456",Hà Nội
299,CÔNG TY CP CHỨNG KHOÁN VNDIRECT,Nguyễn Vũ Long,0102065366,Chứng khoán,1,"2,134,529","6,039,233",Hà Nội
300,TỔNG CÔNG TY CP PHONG PHÚ,Phạm Xuân Trình,0301446006,"Sản xuất, kinh doanh sợi, sản phẩm dệt",1,"2,099,133","1,652,139",TP Hồ Chí Minh
301,CÔNG TY CP ĐỒNG TÂM,Nguyễn Văn Hùng,1100548578,Kinh doanh bất động sản,1,,,Long An
302,CÔNG TY CP ĐẦU TƯ LBM,Nguyễn Mạnh Bảo,0308783233,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,,,TP Hồ Chí Minh
303,CÔNG TY CP THỰC PHẨM AN LONG,Huỳnh Tuân Phương Mai,1100814572,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",1,,,Long An
304,CÔNG TY TNHH HÙNG CÁ,Trần Văn Hùng,1400528082,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,,,Đồng Tháp
305,CÔNG TY CP SAM HOLDINGS,Trần Việt Anh,3600253537,"Sản xuất, kinh doanh thiết bị điện",1,"1,919,269","1,888,697",TP Hồ Chí Minh
306,CÔNG TY CP GAVI,Lê Thị Hoàng Trinh,1601645981,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,,,An Giang
307,CÔNG TY CP ĐẦU TƯ APAX HOLDINGS,Vũ Cẩm La Hương,0105824156,Dịch vụ khác,1,"1,951,190","1,733,836",Hà Nội
308,CÔNG TY CP XĂNG DẦU TÍN NGHĨA,Trần Thanh Tùng,3601038204,Kinh doanh xăng dầu và các sản phẩm liên quan,1,,,Đồng Nai
309,CÔNG TY CP KHO VẬN MIỀN NAM,Trần Tuấn Anh,0300645369,"Kho bãi, bốc xếp hàng hóa",1,"737,107","686,821",TP Hồ Chí Minh
310,CÔNG TY CP KỸ THƯƠNG THIÊN HOÀNG,Phạm Bách Tùng,0101272578,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Hà Nội
311,CÔNG TY CP BM WINDOWS,Trần Văn Tiến,0313919539,Xây dựng,1,,,TP Hồ Chí Minh
312,CÔNG TY CP ỐNG THÉP THUẬN PHÁT,Trần Văn Thắng,0800902222,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Hải Dương
313,CÔNG TY CP DƯỢC PHẨM HÀ TÂY,Lê Xuân Thắng,0500391400,"Sản xuất dược phẩm, thiết bị y tế",1,"2,006,475","1,609,364",Hà Nội
314,CÔNG TY CP XÂY DỰNG FLC FAROS,Nguyễn Thiện Phú,0105167581,Xây dựng,1,,,Hà Nội
315,CÔNG TY CP TẬP ĐOÀN TRANG KHANH,Đoàn Thanh Duy,0201725327,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,Hải Phòng
316,CÔNG TY CP TẬP ĐOÀN TONMAT,Trần Văn Sơn,2300238060,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Bắc Ninh
317,CÔNG TY CP ĐẠI THIÊN LỘC,Nguyễn Thanh Loan,3700381282,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,"1,982,112","1,380,751",Bình Dương
318,CÔNG TY CP XÂY DỰNG SỐ 1,Lê Đăng Vinh,0300408745,Xây dựng,1,,,TP Hồ Chí Minh
319,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT NAM PHÁT,Nguyễn Lương Ngọc,0101806244,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,,,Hà Nội
320,CÔNG TY CP TRAPHACO,Trần Túc Mã,0100108656,"Sản xuất dược phẩm, thiết bị y tế",1,"1,908,870","2,160,840",Hà Nội
321,CÔNG TY CP PHÂN BÓN HÓA CHẤT DẦU KHÍ MIỀN TRUNG,Trần Tuấn Nam,4100733174,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",1,"1,863,265","3,036,619",Bình Định
322,CÔNG TY TNHH HÒA BÌNH,Nguyễn Hữu Đường,0100276146,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",1,,,Hà Nội
323,CÔNG TY CP ĐỊA ỐC SÀI GÒN THƯƠNG TÍN,Vũ Quốc Thái,0303315400,Kinh doanh bất động sản,1,"918,155","1,683,184",TP Hồ Chí Minh
324,CÔNG TY CP TRUNG ĐÔNG,Trương Quang Thọ,3600669165,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Đồng Nai
325,CÔNG TY CP B.C.H,Nguyễn Văn Tuấn,0800286887,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,Hải Dương
326,CÔNG TY TNHH THÉP NHẬT QUANG,Nguyễn Nhật Thăng,0900234699,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Hưng Yên
327,CÔNG TY CP MÍA ĐƯỜNG LAM SƠN,Lê Văn Tân,2800463346,"Sản xuất, chế biến và kinh doanh đường",1,"1,846,471","2,041,296",Thanh Hoá
328,CÔNG TY CP LOUIS HOLDINGS,Nguyễn Mai Long,1101573295,Dịch vụ tài chính khác,1,,,TP Hồ Chí Minh
329,"CÔNG TY CP ĐẦU TƯ, THƯƠNG MẠI VÀ DỊCH VỤ - VINACOMIN",Thiều Quang Thảo,0200170658,"Khai thác, kinh doanh than và hoạt động hỗ trợ",1,"1,807,798","1,460,351",Hà Nội
330,CÔNG TY TNHH BÊ TÔNG VÀ XÂY DỰNG MINH ĐỨC,Tạ Quyết Thắng,0200611969,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Hải Phòng
331,CÔNG TY CP DƯỢC PHẨM ECO,Ngô Chí Dũng,0102637020,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",1,,,Hà Nội
332,CÔNG TY CP CHỨNG KHOÁN SÀI GÒN - HÀ NỘI,Vũ Đức Tiến,0102524651,Chứng khoán,1,"685,729","-64,305",Hà Nội
333,CÔNG TY CP ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI QUỐC TẾ - ICT,Tạ Thanh Xuân,0100828742,Công nghiệp khác,1,,,Hà Nội
334,CÔNG TY CP TẬP ĐOÀN GIỐNG CÂY TRỒNG VIỆT NAM,Trần Kim Liên,0101449271,Hoạt động nông nghiệp khác,1,"1,634,552","1,928,606",Hà Nội
335,CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH THÉP NHÂN LUẬT,Phan Châu Luật,0400102616,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,Đà Nẵng
336,CÔNG TY CP BẢO HIỂM VIỄN ĐÔNG,Đặng Diệp Đại Khoa,0303099446,Bảo hiểm,1,,,TP Hồ Chí Minh
337,CÔNG TY CP SẢN XUẤT VÀ CÔNG NGHỆ NHỰA PHA LÊ,Mai Thanh Phương - Chủ tịch HĐQT,0103018538,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,"1,786,074","2,412,715",Hải Phòng
338,CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG TIỀN GIANG,Trần Hoàng Huân,1200526842,Xây dựng,1,"1,782,150","1,318,964",Tiền Giang
339,BMB STEEL,Trần Lê Quốc Thái,3700778489,Xây dựng,1,,,Bình Dương
340,CÔNG TY CP TẬP ĐOÀN AUSTDOOR,Dương Quốc Tuấn,0101306139,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Hà Nội
341,CÔNG TY TNHH SAO MAI SUPER FEED,Lê Thị Phượng,1401976866,"Sản xuất, kinh doanh thức ăn chăn nuôi",1,,,Đồng Tháp
342,CÔNG TY CP SADICO CẦN THƠ,Nguyễn Văn Cường,1800155452,"Sản xuất, kinh doanh trang phục",1,"1,661,527","1,353,508",Cần Thơ
343,NGÂN HÀNG TMCP SÀI GÒN CÔNG THƯƠNG,Dương Xuân Minh,0300610408,Ngân hàng,1,"590,669","589,171",Thái Bình
344,CÔNG TY CP TẬP ĐOÀN NHỰA ĐÔNG Á,Nguyễn Bá Hùng,0101099228,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,"1,756,946","1,953,961",Hà Nội
345,CÔNG TY TNHH THƯƠNG MẠI THÉP TOÀN THẮNG,Đoàn Danh Tuấn,0301424404,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,TP Hồ Chí Minh
346,CÔNG TY TÀI CHÍNH CP ĐIỆN LỰC,Lương Hải Sinh,0102806367,Ngân hàng,1,"713,211","786,127",Hà Nội
347,CÔNG TY CP CHỨNG KHOÁN BẢN VIỆT,Tô Hải,0305299779,Chứng khoán,1,"1,729,592","3,707,069",TP Hồ Chí Minh
348,CÔNG TY CP VẬN TẢI DẦU KHÍ THÁI BÌNH DƯƠNG,Lê Mạnh Tuấn,0305475110,Vận tải đường biển,1,"1,611,043","1,244,003",TP Hồ Chí Minh
349,CÔNG TY CP DỆT 10/10,Dương Văn Bình,0100100590,"Sản xuất, kinh doanh trang phục",1,,,Hà Nội
350,CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU DẦU KHÍ MINH ĐỨC,Trần Đức Dũng,0313094165,Kinh doanh xăng dầu và các sản phẩm liên quan,1,,,TP Hồ Chí Minh
351,TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG,Nguyễn Trọng Khải,0200157840,Xây dựng,1,,,Hải Phòng
352,TỔNG CÔNG TY ĐỨC GIANG - CTCP,Hoàng Vệ Dũng,0100101403,"Sản xuất, kinh doanh trang phục",1,"1,630,273","1,915,407",Hà Nội
353,CÔNG TY CP SCI,Nguyễn Văn Phúc,0101405355,Xây dựng,1,"1,608,549","6,451,445",Hà Nội
354,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT GIẤY KHẢI HOÀN,Ung Thị Thu Mỹ,0306012059,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",1,,,TP Hồ Chí Minh
355,CÔNG TY TNHH RITA VÕ,Võ Mậu Quốc Duy,0302802627,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Hà Nội
356,CÔNG TY CP DATVIET MEDIA,Đào Văn Kính,0304752594,Quảng cáo và nghiên cứu thị trường,1,,,TP Hồ Chí Minh
357,CÔNG TY CP VIỄN THÔNG - TIN HỌC BƯU ĐIỆN (CTIN),Hà Thanh Hải,0100683374,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",1,,,Hà Nội
358,CÔNG TY CP HẢI ĐĂNG,Thái Trường Giang,3900513521,Xây dựng,1,,,TP Hồ Chí Minh
359,CÔNG TY CP THIỆN PHÚ SĨ,Trần Thị Xuân Hạ,0303376241,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Long An
360,CÔNG TY TNHH XÂY DỰNG TUẤN LÊ,Lê Anh Tuấn,0307859271,Xây dựng,1,,,TP Hồ Chí Minh
361,CÔNG TY CP DƯỢC - THIẾT BỊ Y TẾ ĐÀ NẴNG,Tống Viết Phải,0400101404,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",1,"1,554,801","1,546,299",Đà Nẵng
362,CÔNG TY CP VẬN TẢI SẢN PHẨM KHÍ QUỐC TẾ,Đoàn Đức Trọng,0305390530,Vận tải đường biển,1,"1,547,235","1,631,605",TP Hồ Chí Minh
363,CÔNG TY CP XÂY DỰNG CDC,Trần Văn Trường,0105283073,Xây dựng,1,,,Hà Nội
364,CÔNG TY CP DẦU THỰC VẬT TÂN BÌNH,Trương Hoàng Minh,0303587122,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",1,,,TP Hồ Chí Minh
365,CÔNG TY CP XÂY DỰNG PHỤC HƯNG HOLDINGS,Trần Hồng Phúc,0101311315,Xây dựng,1,"419,450","289,459",Hà Nội
366,CÔNG TY TNHH TNI KING COFFEE,Lê Hoàng Diệp Thảo,0313743966,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",1,,,TP Hồ Chí Minh
367,CÔNG TY CP ĐỊA ỐC PHÚ LONG,Phùng Chu Cường,0303739921,Kinh doanh bất động sản,1,,,TP Hồ Chí Minh
368,CÔNG TY CP TỔNG CÔNG TY MAY ĐỒNG NAI,Bùi Thế Kích,3600506058,"Sản xuất, kinh doanh trang phục",1,,,Đồng Nai
369,CÔNG TY CP XUẤT NHẬP KHẨU THUẬN MINH,Huỳnh Bảo Trọng,0309828977,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",1,,,TP Hồ Chí Minh
370,CÔNG TY CỔ PHẦN SEAREFICO,Nguyễn Thị Thanh Hường,0301825452,Hoạt động xây dựng khác,1,"1,486,297","930,440",TP Hồ Chí Minh
371,CÔNG TY TNHH THƯƠNG MẠI THÉP NAM VIỆT,Đào Minh Hiếu,0301985093,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,TP Hồ Chí Minh
372,CÔNG TY TNHH CỎ MAY LAI VUNG,Phan Minh Thiện,1401598685,"Sản xuất, kinh doanh thức ăn chăn nuôi",1,,,Đồng Tháp
373,CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI THÁI TÂN,Nguyễn Thanh Nga,0101188943,Bán lẻ khác,1,,,Hà Nội
374,CÔNG TY CP CHỨNG KHOÁN TÂN VIỆT,Nguyễn Tiến Thành,0102117529,Chứng khoán,1,,,Hà Nội
375,CÔNG TY CP XÂY LẮP VÀ VẬT TƯ XÂY DỰNG,Hoàng Thị Bạch Tuyết,0300588664,Xây dựng,1,,,Thái Bình
376,CÔNG TY CP ĐẦU TƯ MAI TIẾN PHÁT,Mai Văn Phục,0309930593,"Sản xuất, kinh doanh thiết bị điện",1,,,TP Hồ Chí Minh
377,CÔNG TY TNHH KIẾN VƯƠNG,Nguyễn Tuấn Cường,0304355389,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",1,,,TP Hồ Chí Minh
378,CÔNG TY CP PI CO,Trịnh Đức Tuấn,0102018260,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",1,,,Hà Nội
379,CÔNG TY CP TẬP ĐOÀN C.E.O,Đoàn Văn Minh,0101183550,Kinh doanh bất động sản,1,"1,323,835","901,811",Hà Nội
380,CÔNG TY CP DƯỢC PHẨM IMEXPHARM,Trần Thị Đào,1400384433,"Sản xuất dược phẩm, thiết bị y tế",1,"1,369,422","1,266,597",Đồng Tháp
381,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC AN PHÁT,Lê Thị Hương Giang,0101468933,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",1,,,Hà Nội
382,TỔNG CÔNG TY CP BẢO HIỂM HÀNG KHÔNG,Trần Trọng Dũng,0102737963,Bảo hiểm,1,,,Hà Nội
383,CÔNG TY CP XÂY DỰNG SCG,Lê Văn Nam,0108704763,Xây dựng,1,"1,420,346","2,857,280",Hà Nội
384,CÔNG TY CP XÂY DỰNG VÀ CÔNG NGHIỆP NSN,Thạch Hoàng Ngọc,0101428070,Hoạt động xây dựng khác,1,,,Hà Nội
385,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT HOÀNG MAI,Nguyễn Thị Tuyết Mai,0101179473,"Sản xuất, chế biến và kinh doanh bánh kẹo",1,,,Hà Nội
386,TỔNG CÔNG TY CP BẢO HIỂM BẢO LONG,Phan Quốc Dũng,0301458065,Bảo hiểm,1,"937,643","1,092,236",Điện Biên
387,CÔNG TY CP KHOÁNG SẢN VÀ XÂY DỰNG BÌNH DƯƠNG,Trần Đình Hà,3700148825,Khai khoáng khác và kinh doanh các sản phẩm khác từ khai khoáng,1,"1,322,455","884,273",Bình Dương
388,CÔNG TY CP CAO SU SAO VÀNG,Mai Chiến Thắng,0100100625,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su",1,"1,349,273","955,715",Hà Nội
389,CÔNG TY CP CÔNG NGHIỆP Á MỸ,Đinh Quốc Tuấn,2500552524,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Vĩnh Phúc
390,CÔNG TY CP THUẬN ĐỨC,Nguyễn Đức Cường,0900264799,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Hưng Yên
391,CÔNG TY CP DAMSAN,Vũ Huy Đông,1000389853,"Sản xuất, kinh doanh sợi, sản phẩm dệt",1,"1,339,010","1,513,151",Thái Bình
392,CÔNG TY CP THƯƠNG MẠI THÉP INDECO,Đào Đình Đông,0313562014,"Kinh doanh kim loại, sắt thép, kim khí…",1,,,TP Hồ Chí Minh
393,CÔNG TY TNHH CHẾ BIẾN DỪA LƯƠNG QUỚI,Cù Văn Thành,1300230895,"Sản xuất, chế biến và kinh doanh thực phẩm khác",1,,,Bến Tre
394,CÔNG TY CP GIẤY VIỆT TRÌ,Nguyễn Văn Hiện,2600107284,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",1,"1,361,978","1,989,277",Phú Thọ
395,CÔNG TY CP CMC,Nguyễn Quang Huy,2600106523,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Phú Thọ
396,CÔNG TY CP KỸ THUẬT XÂY DỰNG DINCO,Lê Trường Kỹ,0400461301,Xây dựng,1,,,Đà Nẵng
397,CÔNG TY CP KOSY,Nguyễn Việt Cường,0102681319,Kinh doanh bất động sản,1,"1,308,626","1,106,568",Hà Nội
398,CÔNG TY CP TẬP ĐOÀN F.I.T,Nguyễn Thị Minh Nguyệt,0102182140,Dịch vụ tài chính khác,1,"1,188,427","1,220,561",Hà Nội
399,CÔNG TY CP BIBICA,Nguyễn Quốc Hoàng,3600363970,"Sản xuất, chế biến và kinh doanh bánh kẹo",1,"1,218,556","1,091,174",TP Hồ Chí Minh
400,CÔNG TY TNHH VINA,Phạm Đức Ngữ,3600364780,"Sản xuất, kinh doanh thức ăn chăn nuôi",1,,,Đồng Nai
401,CÔNG TY CP DƯỢC - TRANG THIẾT BỊ Y TẾ BÌNH ĐỊNH,Phạm Thị Thanh Hương,4100259564,"Sản xuất dược phẩm, thiết bị y tế",1,"1,256,952","1,558,504",Bình Định
402,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM ĐÔNG Á,Lê Minh Nguyệt,0100274124,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",1,,,Hà Nội
403,CÔNG TY CP PHÂN BÓN VÀ HÓA CHẤT DẦU KHÍ MIỀN BẮC,Cao Trung Kiên,0102886450,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",1,"1,292,013","2,056,374",Hà Nội
404,CÔNG TY CP TRUYỀN THÔNG TK - L,Nguyễn Thị Trúc Mai,0300993574,Quảng cáo và nghiên cứu thị trường,1,,,TP Hồ Chí Minh
405,CÔNG TY TNHH CÔNG NGHIỆP MINH HƯNG,Lâm Đạo Minh,1201044062,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Tiền Giang
406,CÔNG TY CP TƯ VẤN D.P,Trần Song Hải,0302273109,"Sản xuất, kinh doanh thiết bị điện",1,,,TP Hồ Chí Minh
407,CÔNG TY TNHH THƯƠNG MẠI KIM ĐỨC,Lê Thị Hiền Lương,0301921780,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,TP Hồ Chí Minh
408,CÔNG TY CP PHÁT TRIỂN ĐẦU TƯ XÂY DỰNG HT,Tôn Thất Nhật Minh,0314637978,Xây dựng,1,,,TP Hồ Chí Minh
409,CÔNG TY CP DỊCH VỤ HÀNG HẢI HÀNG KHÔNG CON CÁ HEO,Trần Đăng Nam,0305358801,Hoạt động khác hỗ trợ cho vận tải,1,,,TP Hồ Chí Minh
410,CÔNG TY CP VẬT LIỆU XÂY DỰNG VÀ TRANG TRÍ NỘI THẤT TP. HỒ CHÍ MINH,Huỳnh Văn Tư,0302495140,"Sản xuất, kinh doanh vật liệu xây dựng",1,"1,217,473","819,486",TP Hồ Chí Minh
411,CÔNG TY CP TẬP ĐOÀN NGỌC DIỆP,Trần Thị Thu Diệp,0901019782,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Hưng Yên
412,CÔNG TY CP XNK MÁY VÀ PHỤ TÙNG,Trần Viết Hưng,0100107275,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",1,,,Hà Nội
413,CÔNG TY TNHH HOÀNG ĐẠI VƯƠNG,Nguyễn Đức Hậu,3600697236,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",1,,,Đồng Nai
414,CÔNG TY CP XÂY DỰNG 47,Dương Minh Quang,4100258747,Xây dựng,1,"1,233,083","881,943",Bình Định
415,CÔNG TY TNHH CÁ NGỪ VIỆT NAM,Nguyễn Văn Dư,4201620427,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",1,,,Khánh Hòa
416,CÔNG TY CP HÓA - DƯỢC PHẨM MEKOPHAR,Huỳnh Thị Lan,0302533156,"Sản xuất dược phẩm, thiết bị y tế",1,"1,210,530","1,129,847",TP Hồ Chí Minh
417,CÔNG TY CP CÔNG NGHIỆP ĐÔNG HƯNG,Hà Duy Hưng,3700820571,"Sản xuất, kinh doanh sản phẩm da giầy",1,,,Bình Dương
418,CÔNG TY CP BAO BÌ VÀ IN NÔNG NGHIỆP,Lê Duy Toàn,0101508664,"In ấn, xuất bản",1,"1,210,062","1,536,424",Hà Nội
419,CÔNG TY CP ĐẦU TƯ HẠ TẦNG GIAO THÔNG ĐÈO CẢ,Nguyễn Xuân Hưởng,0400101965,Xây dựng,1,"1,201,343","1,861,340",Đà Nẵng
420,CÔNG TY CP VẬN TẢI VÀ XẾP DỠ HẢI AN,Tạ Mạnh Cường,0103818809,"Kho bãi, bốc xếp hàng hóa",1,"1,191,667","1,955,301",Hà Nội
421,CÔNG TY CP LOGISTICS VINALINK,Nguyễn Nam Tiến,0301776205,Hoạt động khác hỗ trợ cho vận tải,1,"1,202,207","1,464,037",TP Hồ Chí Minh
422,CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG VINA2,Nguyễn Khắc Hải,0100105895,Xây dựng,1,"1,184,858","885,141",Hà Nội
423,CÔNG TY CP TẬP ĐOÀN SƠN HÀ XANH,Nguyễn Nam Hải,2500209363,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,,,Vĩnh Phúc
424,CÔNG TY CP TẬP ĐOÀN ĐẠI DƯƠNG,Lò Hồng Hiệp,0102278484,Kinh doanh bất động sản,1,"903,545","409,277",Hà Nội
425,CÔNG TY CP NHÔM ĐÔ THÀNH,Lê Ánh Tuyết,0100510501,"Sản xuất, gia công kim loại, sắt thép, kim khí…",1,,,Hà Nội
426,CÔNG TY CP GẠCH MEN V.T.C,Trần Hiền Phong,3600723398,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Đồng Nai
427,CÔNG TY CP SIÊU THANH,Phạm Vĩnh Phú,0302563707,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",1,"1,141,547","784,648",TP Hồ Chí Minh
428,CÔNG TY TNHH TM QUỐC TẾ THỦY LINH,Nguyễn Anh Linh,0101099475,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",1,,,Hà Nội
429,CÔNG TY CP DƯỢC PHẨM AN THIÊN,Trần Ngọc Dũng,0305706103,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",1,,,TP Hồ Chí Minh
430,CÔNG TY TNHH THANG MÁY & THIẾT BỊ THĂNG LONG,Lê Minh Hùng,0101130774,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,Hà Nội
431,CÔNG TY CP DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT (SASCO),Đoàn Thị Mai Hương,0301123125,Bán lẻ,1,"918,203","321,078",TP Hồ Chí Minh
432,CÔNG TY TNHH CỬA SỔ VIỆT CHÂU Á ASEANWINDOW,Hà Thị Diệu Linh,0308779300,"Sản xuất, kinh doanh vật liệu xây dựng",1,,,TP Hồ Chí Minh
433,CÔNG TY CP TẬP ĐOÀN TƯ VẤN ĐẦU TƯ XÂY DỰNG KIÊN GIANG,Phạm Thị Như Phượng,1700113586,Dịch vụ khác,1,"1,114,743","1,103,225",Kiên Giang
434,CÔNG TY CP CHỨNG KHOÁN MB,Trần Hải Hà,0106393583,Chứng khoán,1,"1,115,550","2,217,763",Hà Nội
435,CÔNG TY CP ĐẠI HỮU,Đức Minh Đạo,0101206367,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",1,,,Hà Nội
436,CÔNG TY CP DỊCH VỤ NÔNG NGHIỆP BÌNH THUẬN,Nguyễn Nhật Huy,3400382278,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",1,"1,103,963","1,198,652",Bình Thuận
437,CÔNG TY CP TUẤN ĐẠT,Trần Thị Dung,4000378744,"Sản xuất, kinh doanh trang phục",1,,,Quảng Nam
438,CÔNG TY TÀI CHÍNH CỔ PHẦN TÍN VIỆT,Hồ Minh Tâm,0102766770,Dịch vụ tài chính khác,1,"696,110","1,201,808",Hà Nội
439,CÔNG TY CP TẬP ĐOÀN NAGAKAWA,Nguyễn Thị Huyền Thương,2500217389,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",1,"1,075,856","1,404,424",Vĩnh Phúc
440,CÔNG TY CP ĐẦU TƯ QUỐC TẾ VÀ XUẤT NHẬP KHẨU DHT,Nguyễn Anh Dũng,0102036100,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",1,,,Hà Nội
441,CÔNG TY CP ĐẦU TƯ VCN,Nguyễn Khánh Toàn,4200644489,Kinh doanh bất động sản,1,,,Khánh Hòa
442,CÔNG TY CP DƯỢC PHẨM NAM HÀ,Hà Linh,0600206147,"Sản xuất dược phẩm, thiết bị y tế",1,,,Nam Định
443,CÔNG TY CP ĐẦU TƯ XÂY DỰNG BCONS,Lê Như Thạch,0312173537,Xây dựng,1,,,TP Hồ Chí Minh
444,CÔNG TY CP ĐÔNG GIANG,Vũ Hồng Quân,0900220897,"Sản xuất, kinh doanh thiết bị điện",1,,,Hưng Yên
445,CÔNG TY TNHH MTV THƯƠNG MẠI THÀNH PHÁT,Đặng Phú Quý,4300369451,"Sản xuất, chế biến và kinh doanh đồ uống có cồn",1,,,Quảng Ngãi
446,CÔNG TY CP VINAFCO,Phạm Thị Lan Hương,0100108504,Vận tải đường bộ,1,"1,046,266","1,245,217",TP Hồ Chí Minh
