Mã số thuế,Mã chứng khoán,Ten cong ty,CEO,Nganh nghe,Doanh thu 2020,Doanh thu 2021,Tinh
0303482440,Chưa niêm yết,CÔNG TY CP GIAO NHẬN VẬN TẢI CON ONG,Đinh Hữu Thạnh,Hoạt động khác hỗ trợ cho vận tải,,,TP Hồ Chí Minh
0100892628,Chưa niêm yết,CÔNG TY CP DÂY VÀ CÁP ĐIỆN THƯỢNG ĐÌNH,Phạm Lương Hòa,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
0301387752,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ TÂN HIỆP PHÁT,Trần Quý Thanh,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,Bình Dương
4600451322,TTS,CÔNG TY CP CÁN THÉP THÁI TRUNG,Trần Tuấn,"Sản xuất, gia công kim loại, sắt thép, kim khí…","4,311,771","6,066,999",Thái Nguyên
0101225306,Chưa niêm yết,CÔNG TY TNHH TOTO VIỆT NAM,Yamasaki Masao,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
0900841823,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN MAVIN,Đào Mạnh Lương,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Hà Nội
3600248368,Chưa niêm yết,CÔNG TY TNHH NHỰA VÀ HÓA CHẤT TPC VINA,Piyapong Jriasetapong,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Đồng Nai
1800157562,Chưa niêm yết,CÔNG TY TNHH NHÀ NƯỚC MTV XỔ SỐ KIẾN THIẾT CẦN THƠ,Đỗ Thanh Bình,"Dịch vụ vui chơi, giải trí",,,Cần Thơ
2000110221,CMV,CÔNG TY CP THƯƠNG NGHIỆP CÀ MAU,Nguyễn Thị Việt Ánh,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông","4,222,075","3,861,507",Cà Mau
0100736347,Chưa niêm yết,CÔNG TY TNHH XUÂN LỘC THỌ,Trần Thị Thu Hà,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
0104961939,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A,Hồ Xuân Năng,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
1700197787,KLB,NGÂN HÀNG TMCP KIÊN LONG,Trần Ngọc Minh,Ngân hàng,"952,429","1,930,960",Kiên Giang
0300516772,Chưa niêm yết,CÔNG TY TNHH MTV TỔNG CÔNG TY 28,Đỗ Tuấn Anh,"Sản xuất, kinh doanh sợi, sản phẩm dệt",,,TP Hồ Chí Minh
0102055583,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN IPC,Phí Phong Hà,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hà Nội
0305410561,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN HƯNG THỊNH,Nguyễn Đình Trung,Kinh doanh bất động sản,,,TP Hồ Chí Minh
3600512830,TLH,CÔNG TY CP TẬP ĐOÀN THÉP TIẾN LÊN,Phạm Thị Hồng,"Kinh doanh kim loại, sắt thép, kim khí…","4,084,531","4,644,781",Đồng Nai
0900222647,VIS,CÔNG TY CP THÉP VIỆT Ý,Nguyễn Thanh Hà,"Sản xuất, gia công kim loại, sắt thép, kim khí…","4,113,552","5,860,376",Hưng Yên
5200466372,HII,CÔNG TY CP AN TIẾN INDUSTRIES,Đặng Thị Quỳnh Phương,Hoạt động công nghiệp khác,"4,082,730","8,265,252",Yên Bái
0300398889,MNB,TỔNG CÔNG TY MAY NHÀ BÈ - CTCP,Phạm Phú Cường,"Sản xuất, kinh doanh trang phục","4,021,389","3,081,071",TP Hồ Chí Minh
0302217087,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ PHAN VŨ,Phan Khắc Long,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
0900254448,Chưa niêm yết,CÔNG TY CP ABC VIỆT NAM,Nguyễn Thị Dịu,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Hưng Yên
0900273306,Chưa niêm yết,CÔNG TY TNHH KẾT CẤU THÉP 568,Phạm Ngọc Lan,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hưng Yên
0300446973,BMI,TỔNG CÔNG TY CP BẢO MINH,Vũ Anh Tuấn,Bảo hiểm,"3,791,577","3,768,684",TP Hồ Chí Minh
0305601319,Chưa niêm yết,CÔNG TY CP THUẬN HẢI,Dương Thanh Hải,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,,TP Hồ Chí Minh
2200208834,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THÀNH TÍN,Trần Thanh Nga,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Sóc Trăng
0103617147,Chưa niêm yết,NGÂN HÀNG TNHH MTV STANDARD CHARTERED (VIỆT NAM),Louis Taylor,Ngân hàng,,,Hà Nội
0305774706,Chưa niêm yết,CÔNG TY TNHH BẢO HIỂM HANWHA LIFE VIỆT NAM,Hwang Jun Hwan,Bảo hiểm,,,TP Hồ Chí Minh
0303493756,PDR,CÔNG TY CP PHÁT TRIỂN BẤT ĐỘNG SẢN PHÁT ĐẠT,Bùi Quang Anh Vũ,Kinh doanh bất động sản,"3,911,212",,TP Hồ Chí Minh
0104979904,Chưa niêm yết,CÔNG TY CP CHỨNG KHOÁN VPS,Nguyễn Lâm Dũng,Chứng khoán,,,Hà Nội
0300604002,Chưa niêm yết,CÔNG TY TNHH PHÁT TRIỂN PHÚ MỸ HƯNG,Tseng Fan Chih,Kinh doanh bất động sản,,,TP Hồ Chí Minh
0600333307,MSH,CÔNG TY CP MAY SÔNG HỒNG,Bùi Đức Thịnh,"Sản xuất, kinh doanh trang phục","3,813,409","4,747,623",Nam Định
3700748131,ACG,CÔNG TY CP GỖ AN CƯỜNG,Lê Đức Nghĩa,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất","3,781,469","3,312,950",Bình Dương
0300733752,Chưa niêm yết,NGÂN HÀNG TNHH INDOVINA,Liu Chun Hao,Ngân hàng,,,TP Hồ Chí Minh
0302310209,LCG,CÔNG TY CP LIZEN,Tăng Quốc Thuộc,Xây dựng,"3,536,255","1,802,654",TP Hồ Chí Minh
0302401061,Chưa niêm yết,CÔNG TY CP PHÚC SINH,Phan MinhThông,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,TP Hồ Chí Minh
0101976905,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN SUNHOUSE,Nguyễn Xuân Phú,"Sản xuất, kinh doanh đồ dùng gia đình",,,Hà Nội
0102287094,SHN,CÔNG TY CP ĐẦU TƯ TỔNG HỢP HÀ NỘI,Nguyễn Đại Hải,Kinh doanh bất động sản,"3,657,493","3,745,725",Hà Nội
3700149709,Chưa niêm yết,CÔNG TY TNHH THỨC ĂN GIA SÚC LÁI THIÊU,Nguyễn Thị Kim Anh,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Bình Dương
2500213190,Chưa niêm yết,CÔNG TY TNHH CÔNG NGHIỆP CHÍNH XÁC VIỆT NAM 1,Chao Wen Hsiang,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Vĩnh Phúc
3700150020,Chưa niêm yết,CÔNG TY CP THỰC PHẨM Á CHÂU,Nguyễn Mạnh Hà,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,Bình Dương
5900424466,Chưa niêm yết,CÔNG TY TNHH LOUIS DREYFUS COMMODITIES VIỆT NAM,Eric Gerard Leleu,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,,Gia Lai
0105837941,Chưa niêm yết,CÔNG TY CP CÔNG NGHỆ VÀ DỊCH VỤ IMEDIA,Phạm Ngọc Tú,Viễn thông,,,Hà Nội
0107009894,Chưa niêm yết,CÔNG TY CP CASPER VIỆT NAM,Nguyễn Viết Chung,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
0106873188,Chưa niêm yết,TỔNG CÔNG TY TRUYỀN THÔNG (VNPT-MEDIA),Dương Thành Long,Viễn thông,,,Hà Nội
5700103433,Chưa niêm yết,CÔNG TY TNHH TẬP ĐOÀN BIM - BIM GROUP,Đoàn Quốc Huy,Kinh doanh bất động sản,,,Quảng Ninh
2500578360,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN VITTO,Nguyễn Xuân Quang,"Sản xuất, kinh doanh vật liệu xây dựng",,,Vĩnh Phúc
0107520795,Chưa niêm yết,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ MB AGEAS,Vũ Hồng Phú,Bảo hiểm,,,Hà Nội
0102713659,Chưa niêm yết,CÔNG TY CP THANH TOÁN ĐIỆN TỬ VNPT,Kim Je Hee,Hoạt động thông tin khác,,,Hà Nội
6000234538,Chưa niêm yết,CÔNG TY TNHH MTV XUẤT NHẬP KHẨU 2/9 ĐẮK LẮK,Lê Tiến Hùng,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,Đắk Lắk
3603262480,Chưa niêm yết,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ DẦU KHÍ HẢI PHÁT,Phạm Thị Thu Tâm,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Đồng Nai
0200373471,Chưa niêm yết,CÔNG TY SẢN XUẤT THÉP ÚC SSE,Lâm Văn Hùng,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hải Phòng
1900135322,Chưa niêm yết,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BẠC LIÊU,Nguyễn Ngọc Thuý,"Dịch vụ vui chơi, giải trí",,,Bạc Liêu
0900237146,Chưa niêm yết,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI MINH NGỌC,Đồng Tuấn Vũ,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Hưng Yên
0315744468,Chưa niêm yết,CÔNG TY CP DATVIET VAC GROUP HOLDINGS,Đinh Bá Thành,Quảng cáo và nghiên cứu thị trường,,,TP Hồ Chí Minh
0302181666,GIL,CÔNG TY CP SẢN XUẤT KINH DOANH XUẤT NHẬP KHẨU BÌNH THẠNH,Nguyễn Gia Vinh,Hoạt động công nghiệp khác,"3,456,745","4,150,320",TP Hồ Chí Minh
3600662561,DNP,CÔNG TY CP NHỰA ĐỒNG NAI,Nguyễn Văn Hiếu,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","3,295,389","6,315,326",Đồng Nai
1400683063,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI-DỊCH VỤ-XUẤT NHẬP KHẨU TƯỜNG NGUYÊN,Lê Thị Hoa,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Đồng Tháp
0100101308,M10,TỔNG CÔNG TY MAY 10 - CTCP,Thân Đức Việt,"Sản xuất, kinh doanh trang phục","3,447,303","3,467,349",Hà Nội
0300405462,PAC,CÔNG TY CP PIN ẮC QUY MIỀN NAM,Trần Thanh Văn,"Sản xuất, kinh doanh thiết bị điện","965,945","907,737",TP Hồ Chí Minh
1800241743,Chưa niêm yết,CÔNG TY CP GENTRACO,Nguyễn Trung Kiên,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Cần Thơ
0303885305,NBB,CÔNG TY CP ĐẦU TƯ NĂM BẢY BẢY,Lưu Hải Ca,Kinh doanh bất động sản,"3,500,670","565,232",TP Hồ Chí Minh
0301446221,TCM,CÔNG TY CP DỆT MAY - ĐẦU TƯ - THƯƠNG MẠI THÀNH CÔNG,JUNG SUNG KWAN,"Sản xuất, kinh doanh trang phục","3,469,717","3,535,416",TP Hồ Chí Minh
2200108572,Chưa niêm yết,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT SÓC TRĂNG,Lê Văn Khanh,"Dịch vụ vui chơi, giải trí",,,Sóc Trăng
3500818790,Chưa niêm yết,"CÔNG TY CP DỊCH VỤ LẮP ĐẶT, VẬN HÀNH VÀ BẢO DƯỠNG CÔNG TRÌNH DẦU KHÍ BIỂN PTSC",Dương Hùng Văn,Dịch vụ khác,"3,402,137","2,094,113",Bà Rịa - Vũng Tàu
0302660700,Chưa niêm yết,CÔNG TY CP DỊCH VỤ & KỸ THUẬT CƠ ĐIỆN LẠNH R.E.E,Phạm Công Pháp,Hoạt động xây dựng khác,,,TP Hồ Chí Minh
0301874259,TMS,CÔNG TY CP TRANSIMEX,Lê Duy Hiệp,Hoạt động khác hỗ trợ cho vận tải,"3,418,341","6,381,266",TP Hồ Chí Minh
0100109699,Chưa niêm yết,CÔNG TY CP DƯỢC PHẨM THIẾT BỊ Y TẾ HÀ NỘI,Đinh Văn Đông,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Hà Nội
0101325854,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU VIỆT HÀN,Phạm Thị Yến,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
0700253609,Chưa niêm yết,CÔNG TY CP NHỰA CHÂU ÂU,Hoàng Quốc Huy,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hà Nam
0300420157,TV2,CÔNG TY CP TƯ VẤN XÂY DỰNG ĐIỆN 2,Nguyễn Chơn Hùng,Dịch vụ khác,"3,346,395","3,629,141",TP Hồ Chí Minh
0301447257,Chưa niêm yết,CÔNG TY CỔ PHẦN TẬP ĐOÀN NOVA CONSUMER,Tôn Thất Đề,Nông nghiệp,,,TP Hồ Chí Minh
0304132047,FHS,CÔNG TY CP PHÁT HÀNH SÁCH TP. HỒ CHÍ MINH - FAHASA,Phạm Minh Thuận,"Bán lẻ sách, báo, tạp chí, văn phòng phẩm","3,281,417","2,748,785",TP Hồ Chí Minh
5700101210,Chưa niêm yết,CÔNG TY TNHH SẢN XUẤT BỘT MỲ VIMAFLOUR,Lim Pang Boon,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Quảng Ninh
2700631318,Chưa niêm yết,CÔNG TY TNHH THÉP KYOEI VIỆT NAM,Fukunishi Hidekazu,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Ninh Bình
3502380495,Chưa niêm yết,CÔNG TY CP LEC GROUP,Trần Đức Tuân,Hoạt động khác hỗ trợ cho vận tải,,,Bà Rịa - Vũng Tàu
4200236666,Chưa niêm yết,CÔNG TY CP MASCOPEX,Ngô Xuân Nam,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,,Khánh Hòa
0100953567,Chưa niêm yết,CÔNG TY CP THƯƠNG MẠI HIỆP HƯƠNG,Trương Công Hiệp,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ",,,Hà Nội
0102935813,Chưa niêm yết,CÔNG TY CP CHỨNG KHOÁN KỸ THƯƠNG,Nguyễn Thị Thu Hiền,Chứng khoán,,,Hà Nội
5000230718,Chưa niêm yết,CÔNG TY TNHH GANG THÉP TUYÊN QUANG,"Zhang, Qun (Trương Quần)","Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Tuyên Quang
0400101556,Chưa niêm yết,TỔNG CÔNG TY CP DỆT MAY HOÀ THỌ,Nguyễn Đức Trị,"Sản xuất, kinh doanh trang phục","3,256,264","3,863,510",Đà Nẵng
5700100707,MTS,CÔNG TY CP VẬT TƯ - TKV,Tạ Quang Tuấn,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","3,223,222","3,948,690",Quảng Ninh
1800506679,Chưa niêm yết,CÔNG TY CP VẬT TƯ HẬU GIANG,Lê Hoàng Nam,"Sản xuất, kinh doanh vật liệu xây dựng","3,218,928","3,087,570",Cần Thơ
0302853607,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT TƯỜNG VIỆT,Dương Tấn Trước,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
0101502599,FCN,CÔNG TY CP FECON,Nguyễn Văn Thanh,Hoạt động xây dựng khác,"3,154,194","3,484,219",Hà Nội
0303853575,Chưa niêm yết,CÔNG TY CP CÔNG NGHỆ ELITE,Trần Hoài Phương Chi,Hoạt động thông tin khác,,,TP Hồ Chí Minh
3500101107,DIG,TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,Ông Hoàng Văn Tăng,Kinh doanh bất động sản,"2,487,174","2,568,689",Bà Rịa - Vũng Tàu
0300533471,Chưa niêm yết,CÔNG TY TNHH MTV TỔNG CÔNG TY THÁI SƠN,Phạm Gặp,Kinh doanh bất động sản,,,TP Hồ Chí Minh
4200338918,Chưa niêm yết,CÔNG TY TNHH NHÀ NƯỚC MTV YẾN SÀO KHÁNH HÒA,Nguyễn Anh Hùng,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,Khánh Hòa
3100261120,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP TUẤN VIỆT,Lê Thị Nữ,"Sản xuất, chế biến và kinh doanh đường",,,Quảng Bình
6000746180,Chưa niêm yết,CÔNG TY CP THÉP ASEAN,Hồ Văn Phương,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Đắk Lắk
0301442989,Chưa niêm yết,CÔNG TY CP UNIBEN,Vũ Tiến Dũng,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
3700145694,BWE,CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Trần Chiến Công,Hoạt động xây dựng khác,"3,025,337","3,118,867",Bình Dương
0303549039,Chưa niêm yết,CÔNG TY TNHH PHÂN PHỐI TIÊN TIẾN,Trương Quốc Chí,"Sản xuất, kinh doanh đồ dùng gia đình",,,TP Hồ Chí Minh
1400105785,Chưa niêm yết,CÔNG TY TNHH PHÁT TÀI,Lê Phát Long,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Đồng Tháp
0303104343,DXG,CÔNG TY CP TẬP ĐOÀN ĐẤT XANH,Bùi Ngọc Đức,Kinh doanh bất động sản,"2,890,654","10,089,385",TP Hồ Chí Minh
0400101588,Chưa niêm yết,CÔNG TY TNHH MTV THỰC PHẨM VÀ ĐẦU TƯ FOCOCEV,Đào Quý Chung,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,TP Hồ Chí Minh
0305458683,Chưa niêm yết,CÔNG TY CP DỊCH VỤ TRỰC TUYẾN CỘNG ĐỒNG VIỆT,Ngô Trung Lĩnh,Ngân hàng,,,TP Hồ Chí Minh
0105202998,THD,CÔNG TY CP THAIHOLDINGS,Nguyễn Văn Dũng,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","1,820,617","8,242,532",Hà Nội
1701884951,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN ĐỨC TƯỜNG,Nguyễn Đức Tường,"Sản xuất, kinh doanh thiết bị điện",,,Kiên Giang
0300482393,TCD,CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP VÀ VẬN TẢI,Bùi Thiện Phương Đông,Xây dựng,"2,852,633","3,111,846",TP Hồ Chí Minh
0301438936,NLG,CÔNG TY CP ĐẦU TƯ NAM LONG,Trần Xuân Ngọc,Kinh doanh bất động sản,"2,216,719","5,205,519",TP Hồ Chí Minh
1100641143,Chưa niêm yết,CÔNG TY CP KẾT CẤU THÉP ATAD,Nguyễn Lê Anh Tuấn,Xây dựng,,,TP Hồ Chí Minh
3600233805,Chưa niêm yết,CÔNG TY TNHH DINH DƯỠNG Á CHÂU (VN),Su Meng Chih,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
0100110768,PGI,TỔNG CÔNG TY CP BẢO HIỂM PETROLIMEX,Đào Nam Hải,Bảo hiểm,"2,920,924","3,037,019",Hà Nội
0301444263,LIX,CÔNG TY CP BỘT GIẶT LIX,Lâm Văn Kiệt,"Sản xuất, kinh doanh hóa mỹ phẩm","2,902,193","2,613,003",TP Hồ Chí Minh
0700220547,Chưa niêm yết,CÔNG TY CP DINH DƯỠNG HỒNG HÀ,Đỗ Đức Tiến,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Hà Nam
0304621513,Chưa niêm yết,CÔNG TY CP XÂY DỰNG AN PHONG,Nguyễn Khắc Phong,Xây dựng,,,TP Hồ Chí Minh
0300483319,CDP,CÔNG TY CP DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,Bùi Hữu Hiền,"Kinh doanh, phân phối dược phẩm, thiết bị y tế","2,957,141","2,450,389",TP Hồ Chí Minh
0200786983,AMS,CÔNG TY CP CƠ KHÍ XÂY DỰNG AMECC,Ngô Quốc Thịnh,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","2,982,563","2,677,988",Hải Phòng
0101437981,Chưa niêm yết,CÔNG TY CP SẢN XUẤT VÀ THƯƠNG MẠI P.P,Phan Thị Thu Hương,Hoạt động công nghiệp khác,,,Hà Nội
0101447725,PGC,TỔNG CÔNG TY GAS PETROLIMEX - CTCP,Vũ Hồng Khánh,Kinh doanh xăng dầu và các sản phẩm liên quan,"2,824,679","3,362,912",Hà Nội
3600261626,VCF,CÔNG TY CP VINACAFÉ BIÊN HÒA,Đoàn Quốc Hưng,"Sản xuất, chế biến và kinh doanh đường","2,901,293","2,216,910",Đồng Nai
0102023052,Chưa niêm yết,CÔNG TY CP ĐẦU TƯ & PHÁT TRIỂN CÔNG NGHỆ QUỐC GIA ADG,Đặng Vũ Toàn,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
0101726782,Chưa niêm yết,CÔNG TY CP XUẤT NHẬP KHẨU THIÊN Á,Phan Thanh Tùng,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Hà Nội
2900608267,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN SEMEC,Lê Sơn Long,"Kinh doanh kim loại, sắt thép, kim khí…",,,Nghệ An
0100104443,VLC,TỔNG CÔNG TY CHĂN NUÔI VIỆT NAM - CTCP,Trịnh Quốc Dũng,Chăn nuôi,"2,825,788","2,928,252",Hà Nội
0300450673,COM,CÔNG TY CP VẬT TƯ XĂNG DẦU (COMECO),Lê Tấn Thương,Kinh doanh xăng dầu và các sản phẩm liên quan,"2,899,292","2,659,682",TP Hồ Chí Minh
0302588518,Chưa niêm yết,CÔNG TY CP HƯNG THỊNH LAND,Lê Trọng Khương,Kinh doanh bất động sản,,,TP Hồ Chí Minh
1300358260,DHC,CÔNG TY CP ĐÔNG HẢI BẾN TRE,Lê Bá Phương,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy","2,887,571","4,164,331",Bến Tre
0303224471,ASP,CÔNG TY CP TẬP ĐOÀN DẦU KHÍ AN PHA,Trần Minh Loan,Kinh doanh xăng dầu và các sản phẩm liên quan,"2,723,450","3,391,420",TP Hồ Chí Minh
1500498480,Chưa niêm yết,CÔNG TY CP THƯƠNG MẠI DẦU KHÍ CỬU LONG,Lê Trung Nguyên Khôi,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Vĩnh Long
0101360104,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN ĐIỆN LẠNH ĐIỆN MÁY VIỆT ÚC,Nguyễn Thành Phương,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
0304075529,Chưa niêm yết,CÔNG TY CP CÔNG NGHIỆP VĨNH TƯỜNG,Trần Đức Huy,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
5500154060,Chưa niêm yết,CÔNG TY CP GIỐNG BÒ SỮA MỘC CHÂU,Trần Công Chiến,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa","2,822,948","2,925,664",Sơn La
0100108984,Chưa niêm yết,TỔNG CÔNG TY 319,Nguyễn Minh Khiêm,Xây dựng,,,Hà Nội
2500217526,Chưa niêm yết,CÔNG TY CP EUROWINDOW,Nguyễn Cảnh Hồng,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
0300585984,VOC,TỔNG CÔNG TY CÔNG NGHIỆP DẦU THỰC VẬT VIỆT NAM - CTCP,Nguyễn Thị Xuân Liễu,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật","2,597,678","1,495,931",TP Hồ Chí Minh
5300100276,Chưa niêm yết,CÔNG TY TNHH MTV APATIT VIỆT NAM,Nguyễn Tiến Cường,Khai khoáng khác và kinh doanh các sản phẩm khác từ khai khoáng,,,Lào Cai
0300402493,FIC,TỔNG CÔNG TY VẬT LIỆU XÂY DỰNG SỐ 1 - CTCP,Nguyễn Quang Trung,"Sản xuất, kinh doanh vật liệu xây dựng","2,715,540","1,460,847",TP Hồ Chí Minh
5900315114,Chưa niêm yết,CÔNG TY TNHH VĨNH HIỆP,Thái Như Hiệp,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,,Gia Lai
0301464830,TLG,CÔNG TY CP TẬP ĐOÀN THIÊN LONG,Trần Phương Nga,Hoạt động công nghiệp khác,"2,684,552","2,668,275",TP Hồ Chí Minh
2200325351,Chưa niêm yết,CÔNG TY CP THỦY SẢN SẠCH VIỆT NAM,Võ Văn Phục,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,Sóc Trăng
3700147532,PHR,CÔNG TY CP CAO SU PHƯỚC HÒA,Nguyễn Văn Tược,Trồng trọt,"1,631,648","1,945,435",Bình Dương
0300384357,RDP,CÔNG TY CP RẠNG ĐÔNG HOLDING,Hồ Đức Lam,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","2,744,311","2,711,376",TP Hồ Chí Minh
0300523385,Chưa niêm yết,CÔNG TY TNHH MTV DƯỢC SÀI GÒN,Lê Việt Hùng,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,TP Hồ Chí Minh
3502280821,Chưa niêm yết,CÔNG TY TNHH LIÊN DOANH ỐNG THÉP SENDO,Trương Văn Minh,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Bà Rịa - Vũng Tàu
1100414052,HLG,CÔNG TY CP TẬP ĐOÀN HOÀNG LONG,Nguyễn Quốc Đạo,Xây dựng,"2,653,763","2,527,103",Long An
0301116791,GMD,CÔNG TY CP GEMADEPT,Nguyễn Thanh Bình,Vận tải đường biển,"2,605,666","3,206,290",TP Hồ Chí Minh
0311315789,BCG,CÔNG TY CP TẬP ĐOÀN BAMBOO CAPITAL,Nguyễn Thế Tài,Dịch vụ khác,"1,854,945","2,589,459",TP Hồ Chí Minh
0302994301,Chưa niêm yết,CÔNG TY CP SÀI GÒN FOOD,Nguyễn Quang Tường,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
0900239753,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ CÔNG NGHIỆP MỸ VIỆT,Nguyễn Minh Tuấn,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Hưng Yên
0102385623,MIG,TỔNG CÔNG TY CP BẢO HIỂM QUÂN ĐỘI,Ông Uông Đông Hưng- chủ tịch,Bảo hiểm,"2,402,481","2,655,713",Hà Nội
0106462325,Chưa niêm yết,CÔNG TY TNHH CƠ KHÍ XÂY DỰNG DST VIỆT NAM,Nguyễn Mạnh Hùng,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hà Nội
