89,CÔNG TY CP VĨNH HOÀN,Nguyễn Ngô Vi Tâm,1400112623,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp"
90,TỔNG CÔNG TY CP MAY VIỆT TIẾN,Bùi Văn Tiến,0300401524,"Sản xuất, kinh doanh trang phục"
91,TỔNG CÔNG TY XÂY DỰNG SỐ 1 - CTCP,Lê Hữu Việt Đức,0301429113,Xây dựng
92,CÔNG TY CP HIM LAM,Dương Công Hùng,0301437499,Kinh doanh bất động sản
93,CÔNG TY CP THỦY SẢN SÓC TRĂNG,Trần Văn Phẩm,2200108445,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp"
94,CÔNG TY CP ĐẦU TƯ HẠ TẦNG KỸ THUẬT TP. HỒ CHÍ MINH,Lê Quốc Bình,0302483177,Xây dựng
95,CÔNG TY CP TẬP ĐOÀN PC1,Trịnh Văn Tuấn,0100100745,Hoạt động xây dựng khác
96,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHAN MINH,Phan Hùng Minh,0303283290,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô"
97,CÔNG TY CP ĐƯỜNG QUẢNG NGÃI,Võ Thành Đàng,4300205943,"Sản xuất, chế biến và kinh doanh đường"
98,CÔNG TY CP ỐNG THÉP VIỆT - ĐỨC VG PIPE,Nguyễn Hữu Thể,2500267703,"Sản xuất, gia công kim loại, sắt thép, kim khí…"
99,CÔNG TY CP ĐẦU TƯ VÀ PHÁT TRIỂN ĐA QUỐC GIA I.D.I,Lê Văn Chung,0303141296,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp"
100,NGÂN HÀNG TMCP QUỐC DÂN,Phạm Thế Hiệp,1700169765,Ngân hàng
101,NGÂN HÀNG TMCP VIỆT Á,Nguyễn Văn Trọng,0302963695,Ngân hàng
102,CÔNG TY CP VNG,Lê Hồng Minh,0303490096,"Dịch vụ vui chơi, giải trí"
103,NGÂN HÀNG TMCP VIỆT NAM THƯƠNG TÍN,Nguyễn Hữu Trung,2200269805,Ngân hàng
104,CÔNG TY TNHH THƯƠNG MẠI VHC (SIÊU THỊ ĐIỆN MÁY HC),Nguyễn Hoàng Hải,0105690657,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin"
105,CÔNG TY CP XI MĂNG XUÂN THÀNH,Nguyễn Xuân Thủy,0700576529,"Sản xuất, kinh doanh vật liệu xây dựng"
106,CÔNG TY CP CƠ ĐIỆN LẠNH,Huỳnh Thanh Hải,0300741143,Hoạt động xây dựng khác
107,CÔNG TY CP ĐẦU TƯ THÀNH THÀNH CÔNG,Huỳnh Bích Ngọc,0301466073,"Sản xuất, chế biến và kinh doanh đường"
108,CÔNG TY CP CITY AUTO,Nguyễn Hoàng Minh Tiến,0307979603,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện"
109,CÔNG TY CP ĐẦU TƯ SÀI GÒN VRG,Trần Mạnh Hùng,0305268812,Xây dựng
110,CÔNG TY CP VICOSTONE,Phạm Anh Tuấn,0500469512,"Sản xuất, kinh doanh vật liệu xây dựng"
111,CÔNG TY CP HÓA DẦU QUÂN ĐỘI (MIPEC),Dư Cao Sơn,0101436307,Kinh doanh xăng dầu và các sản phẩm liên quan
112,CÔNG TY CP ĐẠI TÂN VIỆT,Didier Lachize,0302505776,"Sản xuất, chế biến và kinh doanh thực phẩm khác"
113,CÔNG TY CP PHÚ TÀI,Lê Văn Thảo,4100259236,"Sản xuất, kinh doanh vật liệu xây dựng"
114,CÔNG TY CP DỊCH VỤ Ô TÔ HÀNG XANH,Nguyễn Thị Ngọc Bích,0302000126,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện"
115,CÔNG TY CP QUỐC TẾ SƠN HÀ,Lê Hoàng Hà,0100776445,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác"
116,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG UNICONS,Võ Hoàng Lâm,0304472276,Xây dựng
117,CÔNG TY CP DẦU THỰC VẬT TƯỜNG AN,Bùi Thanh Tùng,0303498754,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật"
118,CÔNG TY CP TẬP ĐOÀN ECOPARK,Trần Quốc Việt,0101395308,Kinh doanh bất động sản
119,CÔNG TY CP TẬP ĐOÀN CÔNG NGHỆ CMC,Nguyễn Trung Chính,0100244112,Hoạt động thông tin khác
120,CÔNG TY CP GIAO NHẬN VÀ VẬN CHUYỂN IN DO TRẦN,Trần Tuấn Anh,0301909173,Hoạt động khác hỗ trợ cho vận tải
121,CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU THIÊN NAM,Vương Quang Diệu,0301172041,"Kinh doanh kim loại, sắt thép, kim khí…"
122,CÔNG TY CP SẢN XUẤT NHỰA DUY TÂN,Trần Duy Hy,0306151768,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa"
123,CÔNG TY CP TẬP ĐOÀN KIM TÍN,Nguyễn Tiến Hải,0303738780,Hoạt động công nghiệp khác
124,CÔNG TY TNHH XUẤT NHẬP KHẨU CÀ PHÊ MINH TIẾN,Nguyễn Thị Hồng Minh,0101013887,"Sản xuất, chế biến và kinh doanh thực phẩm khác"
125,CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG DELTA,Trần Thành Vinh,0100512717,Xây dựng
126,CÔNG TY CP KINH DOANH KHÍ MIỀN NAM,Nguyễn Ngọc Luận,0305097236,Kinh doanh xăng dầu và các sản phẩm liên quan
127,CÔNG TY CP XÂY DỰNG CENTRAL,Trần Quang Tuấn,0314476689,Xây dựng
128,CÔNG TY CP THÉP VÀ THƯƠNG MẠI HÀ NỘI,Đào Quang Tiến,5400363141,"Kinh doanh kim loại, sắt thép, kim khí…"
129,CÔNG TY CP TẬP ĐOÀN HÀ ĐÔ,Nguyễn Trọng Thông,0100283802,Kinh doanh bất động sản
130,CÔNG TY CP XUẤT NHẬP KHẨU NHẤT THÀNH,Nguyễn Thọ Anh,0106025519,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô"
131,CÔNG TY CP NÔNG SẢN THỰC PHẨM QUẢNG NGÃI,Võ Văn Danh,4300321643,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô"
132,CÔNG TY CP THƯƠNG MẠI THÀNH THÀNH CÔNG,Phan Vũ Hùng,3700594361,"Sản xuất, chế biến và kinh doanh đường"
133,TỔNG CÔNG TY CP BẢO HIỂM BƯU ĐIỆN,Bùi Xuân Thu,0100774631,Bảo hiểm
134,CÔNG TY CP BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG,Nguyễn Đoàn Thăng,0101526991,"Sản xuất, kinh doanh thiết bị điện"
135,CÔNG TY TNHH HỆ THỐNG THÔNG TIN FPT (FPT IS),Nguyễn Hoàng Minh,0104128565,Hoạt động thông tin khác
136,CÔNG TY CP CƠ KHÍ XÂY DỰNG THƯƠNG MẠI ĐẠI DŨNG,Trịnh Tiến Dũng,0301932246,Dịch vụ khác
137,CÔNG TY TNHH TRUNG THÀNH THÁI NGUYÊN,Nguyễn Văn Tốt,4600201989,Bán lẻ khác
138,TẬP ĐOÀN TRUNG NGUYÊN LEGEND,Đặng Lê Nguyên Vũ,0304324655,"Sản xuất, chế biến và kinh doanh đồ uống không cồn"
