,Tên công ty,Tên quốc tế,Tên viết tắt,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh
288,CÔNG TY CỔ PHẦN ĐÓNG TÀU VÀ VẬN TẢI BIỂN NAM PHÁT,NAM PHAT SHIPBUILDING AND SHIPPING COMPANY CORPORATION,"NAM PHAT SHIP., CORP",5701483604,"Khu phố 12, Phường Hà An, Thị xã Quảng Yên, Tỉnh Quảng Ninh, Việt Nam",PHẠM ĐẮC NAM ( sinh năm 1981 - Quảng Ninh) Ẩn thông tin,0902012124,2011-05-03,Chi cục Thuế khu vực Uông Bí - Quảng Yên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Đóng tàu và cấu kiện nổi
289,TỔNG CÔNG TY HÓA CHẤT VÀ DỊCH VỤ DẦU KHÍ - CTCP,PETROVIETNAM CHEMICAL AND SERVICES CORPORATION,PVCHEM,0100150873,"Tầng 6, Tòa nhà Viện Dầu khí Việt Nam, số 167 phố Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","Phan Công Thành ( sinh năm 1974 - Hà Nội) Ẩn thông tin
Ngoài ra Phan Công Thành còn đại diện các doanh nghiệp:
TỔNG CÔNG TY HÓA CHẤT VÀ DỊCH VỤ DẦU KHÍ - CTCP",024 38562861/ 024 35,2005-10-18,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan
Chi tiết: - Kinh doanh khí đốt và các sản phẩm từ khí đốt, nhiên liệu sinh học. - Bán buôn xăng dầu và các sản phẩm liên quan: Dầu nhờn."
290,CÔNG TY CỔ PHẦN TẬP ĐOÀN VINACAM,VINACAM GROUP JOINT STOCK COMPANY,VINACAM GROUP JSC,0303800051,"28 Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Vũ Duy Hải ( sinh năm 1963 - Thái Bình) Ẩn thông tin,8244320-8222536,2005-05-19,Cục Thuế Thành phố Hồ Chí Minh,,,
291,CÔNG TY CP ĐẦU TƯ DU LỊCH VÀ PHÁT TRIỂN THỦY SẢN,TRAVEL INVESTMENT AND SEAFOOD DEVELOPMENT CORPORATION,TRI.SED.CO,1600895650,"Quốc lộ 80, Cụm Công nghiệp Vàm Cống, ấp An Thạnh, Xã Bình Thành, Huyện Lấp Vò, Tỉnh Đồng Tháp, Việt Nam",LÊ VĂN LÂM,0673680657,2008-03-15,Cục Thuế Tỉnh Đồng Tháp,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Chuẩn bị mặt bằng
292,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN THẾ KỶ,CENTURY LAND JOINT STOCK COMPANY,"CENLAND .,JSC",0101160306,"Tầng 1, Tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","CHU HỮU CHIẾN
Ngoài ra CHU HỮU CHIẾN còn đại diện các doanh nghiệp:
CEN ĐÀ NẴNG - VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN THẾ KỶ TẠI ĐÀ NẴNG
CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI KHÁNH CHÂU
CEN HẠ LONG - VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN THẾ KỶ
CÔNG TY TNHH CEN PRIME",02462636688,2001-08-20,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất"
293,CÔNG TY CỔ PHẦN NHỰA BẢO VÂN,BAO VAN JOINT STOCK COMPANY,BAVICO JSC,3700257662,"Số 99/2, Khu phố Bình Đáng, Phường Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",NGUYỄN QUỐC BẢO,02743782473,2006-06-08,Cục Thuế Tỉnh Bình Dương,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sản phẩm từ plastic
Chi tiết: Sản xuất các sản phẩm bằng chất dẻo. Gia công các sản phẩm bằng chất dẻo, các sản phẩm từ plastic, các loại hạt nhựa PVC, PET, PE, HDPE"
294,CÔNG TY CỔ PHẦN TẬP ĐOÀN CIENCO4,CIENCO4 GROUP JOINT STOCK COMPANY,TẬP ĐOÀN CIENCO4,2900324850,"Tâng 10-11, Tòa nhà ICON4, số 243A đường Đê La Thành, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",NGUYỄN VĂN TUẤNNGUYỄN TUẤN HUỲNH ( sinh năm 1970 - Nghệ An) Ẩn thông tin,Bị ẩn theo yêu cầu người dùng,2010-11-05,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Xây dựng công trình đường sắt và đường bộ
295,CÔNG TY CỔ PHẦN MÁY TÍNH VĨNH XUÂN,SPRING PERMANENT COMPUTER JOINT STOCK COMPANY,"SPC COMPUTER .,JSC",0100516045,"Số 39 Trần Quốc Toản, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",NGÔ THỊ KIM NGÂN,024 39439121,1997-02-28,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm"
296,CÔNG TY CỔ PHẦN KỸ NGHỆ THỰC PHẨM VIỆT NAM,VIETNAM FOOD INDUSTRIES JOINT STOCK COMPANY,VIFON.,0300627384,"913 Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam","Nguyễn Thị Tình
Ngoài ra Nguyễn Thị Tình còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN VIFON - CHI NHÁNH HẢI DƯƠNG
CTY CỔ PHẦN KỸ NGHỆ THỰC PHẨM VIỆT NAM (NTNN)
CÔNG TY CỔ PHẦN VIFON - CHI NHÁNH HẢI DƯƠNG",Bị ẩn theo yêu cầu người dùng,2004-01-15,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất tinh bột và các sản phẩm từ tinh bột
-Chi tiết: Sản xuất các sản phẩm chế biến từ gạo, bột mì và các loại nông sản khác."
297,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẠT PHƯƠNG,DAT PHUONG GROUP JOINT STOCK COMPANY,DAT PHUONG GROUP,0101218757,"Tầng 15, tòa nhà Handico, khu đô thị mới Mễ Trì Hạ, đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",TRẦN ANH TUẤN,02437830856,2002-03-12,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Xây dựng công trình kỹ thuật dân dụng khác
Chi tiết: Thi công, xây lắp các công trình dân dụng, công nghiệp, giao thông, thủy lợi - Xây dựng và lắp đặt các công trình thủy điện, đường dây tải điện, trạm biến áp đến 35KV; (Doanh nghiệp không cung cấp hàng hóa, dịch vụ thuộc độc quyền Nhà nước, không hoạt động thương mại theo Luật điện lực 2004 và Nghị định số 94/2017/NĐ-CP về hàng hóa, dịch vụ thuộc độc quyền nhà nước)"
298,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VNDIRECT,VNDIRECT SECURITIES CORPORATION,VNDIRECT,0102065366,"Số 1 Nguyễn Thượng Hiền, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam","PHẠM MINH HƯƠNGVŨ NAM HƯƠNG
Ngoài ra PHẠM MINH HƯƠNGVŨ NAM HƯƠNG còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN THỰC PHẨM HOMEFOOD
CÔNG TY CỔ PHẦN CHỨNG KHOÁN VNDIRECT
CÔNG TY TNHH QUẢN LÝ ĐẦU TƯ H&H
CÔNG TY CỔ PHẦN IVNF FINANCIAL",02439724568,2006-11-16,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Môi giới hợp đồng hàng hoá và chứng khoán
Chi tiết: Môi giới chứng khoán."
299,TỔNG CÔNG TY CỔ PHẦN PHONG PHÚ,PHONG PHU CORPORATION,PHONG PHU CORP,0301446006,"48 Tăng Nhơn Phú, Khu phố 3, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","DƯƠNG KHUÊ
Ngoài ra DƯƠNG KHUÊ còn đại diện các doanh nghiệp:
TỔNG CÔNG TY CỔ PHẦN PHONG PHÚ (NT)",028 6684 7979,2009-02-20,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất sợi
300,CÔNG TY CỔ PHẦN ĐỒNG TÂM,DONGTAM GROUP,DTG,1100548578,"Số 07, khu phố 6, Thị Trấn Bến Lức, Huyện Bến Lức, Tỉnh Long An, Việt Nam","VÕ QUỐC THẮNG
Ngoài ra VÕ QUỐC THẮNG còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN THẮNG LỢI
CHI NHÁNH CÔNG TY CỔ PHẦN ĐỒNG TÂM TẠI VĨNH LONG
CHI NHÁNH CÔNG TY CỔ PHẦN ĐỒNG TÂM TẠI CÀ MAU
CHI NHÁNH CÔNG TY CP ĐỒNG TÂM TẠI CẦN THƠ
CÔNG TY CỔ PHẦN ĐỒNG TÂM (NỘP HỘ THUẾ NHÀ THẦU)",1900 63 65 65,2002-09-10,Cục Thuế Tỉnh Long An,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê"
301,CÔNG TY CỔ PHẦN ĐẦU TƯ LBM,LBM INVESTMENT JOINT STOCK COMPANY,LBM INVESTMENT JSC,0308783233,"Tầng 14, Tòa nhà HM Town, 412 Nguyễn Thị Minh Khai, Phường 05, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN QUỐC HOÀNG
Ngoài ra NGUYỄN QUỐC HOÀNG còn đại diện các doanh nghiệp:
CHI NHÁNH HƯNG YÊN - CÔNG TY CỔ PHẦN ĐẦU TƯ LBM
CÔNG TY TNHH MỘT THÀNH VIÊN LÊ BẢO MINH
CÔNG TY CỔ PHẦN ĐẦU TƯ LÊ BẢO MINH (NTNN)
CHI NHÁNH BÌNH THUẬN - CÔNG TY CỔ PHẦN ĐẦU TƯ LBM
CHI NHÁNH NHA TRANG - CÔNG TY CỔ PHẦN ĐẦU TƯ LBM",Bị ẩn theo yêu cầu người dùng,2009-05-25,Chi cục Thuế Quận 3,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn máy móc, thiết bị và phụ tùng máy khác"
302,CÔNG TY CỔ PHẦN THỰC PHẨM AN LONG,ANLONG FOOD JOINT STOCK CORPORATION,ANFOOD CORP,1100814572,"Cụm công nghiệp Long Định-Long Cang, Xã Long Cang, Huyện Cần Đước, Tỉnh Long An, Việt Nam","HUỲNH TUÂN PHƯƠNG MAI
Ngoài ra HUỲNH TUÂN PHƯƠNG MAI còn đại diện các doanh nghiệp:
VPĐD TẠI TP. HỒ CHÍ MINH - CÔNG TY CỔ PHẦN THỰC PHẨM AN LONG (TỈNH LONG AN)
CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM AN LONG MIỀN TRUNG
CÔNG TY CỔ PHẦN THỰC PHẨM AN LONG (NỘP HỘ THUẾ NHÀ THẦU)
CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI AN LONG",0723726222,2007-12-24,Cục Thuế Tỉnh Long An,,,"Sản xuất dầu, mỡ động, thực vật
Chi tiết: Sản xuất các sản phẩm chế biến từ dầu, mỡ động thực vật, từ các loại hạt có dầu"
303,CÔNG TY TRÁCH NHIỆM HỮU HẠN HÙNG CÁ,HUNG CA COMPANY LIMITED,"HUNG CA CO.,LTD",1400528082,"Cụm công nghiệp Thanh Bình, ấp Bình Chánh, Xã Bình Thành, Huyện Thanh Bình, Tỉnh Đồng Tháp, Việt Nam","TRẦN VĂN HÙNG
Ngoài ra TRẦN VĂN HÙNG còn đại diện các doanh nghiệp:
CÔNG TY CP THỨC ĂN THỦY SẢN HÙNG CÁ
CÔNG TY CP BAO BÌ THỦY SẢN ĐỒNG THÁP
CHI NHÁNH CÔNG TY TNHH HÙNG CÁ
CÔNG TY CP VẠN Ý
CÔNG TY CỔ PHẦN HÙNG CÁ 9
CÔNG TY TNHH NUÔI TRỒNG HÙNG CÁ
CÔNG TY TNHH PHÁT TRIỂN HÙNG HƯNG
CÔNG TY CP PHÁT TRIỂN HÙNG CÁ 2
CÔNG TY CỔ PHẦN HÙNG CÁ HỒNG NGỰ",02773 541 379,2006-02-06,Cục Thuế Tỉnh Đồng Tháp,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Chế biến, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản
Chi tiết: Chế biến, xuất khẩu, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản"
304,CÔNG TY CỔ PHẦN SAM HOLDINGS,SAM HOLDINGS CORPORATION,SAM HOLDINGS,3600253537,"127 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","TRẦN VIỆT ANH
Ngoài ra TRẦN VIỆT ANH còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN DÂY VÀ CÁP SACOM
CÔNG TY CỔ PHẦN CÔNG VIÊN NƯỚC ĐẦM SEN
CÔNG TY CỔ PHẦN PHÚ HỮU GIA
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN SACOM
CHI NHÁNH CÔNG TY CỔ PHẦN DÂY VÀ CÁP SACOM
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ KHOÁNG SẢN VICO QUẢNG TRỊ
CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN NAM TÂY NGUYÊN",(028)35122919,1998-03-30,Chi cục Thuế Quận Bình Thạnh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất dây, cáp điện và điện tử khác"
305,CÔNG TY CP GAVI,GAVI JOINT STOCK COMPANY,GAVICO,1601645981,"Lô 3-4 Cụm CN-TTCN Tân Trung, Xã Tân Trung, Huyện Phú Tân, Tỉnh An Giang, Việt Nam","NGUYỄN THANH PHONG
Ngoài ra NGUYỄN THANH PHONG còn đại diện các doanh nghiệp:
CÔNG TY TNHH KINH DOANH PHÁT TRIỂN HƯNG LONG
CÔNG TY CỔ PHẦN HƯNG VƯỢNG CẦN THƠ",02963 588 996,2012-01-17,Cục Thuế Tỉnh An Giang,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán buôn gạo
306,CÔNG TY CỔ PHẦN ĐẦU TƯ APAX HOLDINGS,APAX HOLDINGS JOINT STOCK COMPANY,"APAX HOLDINGS.,JSC",0105824156,"Tầng 4, Tòa tháp A, Tòa nhà Sky City Tower, Số 88 phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN NGỌC THỦY ( sinh năm 1982 - Hà Nội) Ẩn thông tin
Ngoài ra NGUYỄN NGỌC THỦY còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN APAX GLOBAL
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÂN PHỐI EGAME
CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ ECAPITAL
CÔNG TY CỔ PHẦN TRÒ CHƠI GIÁO DỤC TRỰC TUYẾN
CÔNG TY CỔ PHẦN TRƯỜNG LIÊN CẤP FIRBANK AUSTRALIA
CÔNG TY CỔ PHẦN ĐẦU TƯ APAX HOLDINGS
CÔNG TY TNHH PHÁT TRIỂN VÀ PHÂN PHỐI CÁC SẢN PHẨM GIÁO DỤC EPRO
QUỸ HỖ TRỢ PHÁT TRIỂN SINH KẾ VÌ CỘNG ĐỒNG",04 62629588,2012-03-19,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động tư vấn quản lý
307,CÔNG TY CỔ PHẦN XĂNG DẦU TÍN NGHĨA,TIN NGHIA PETROL JOINT - STOCK COMPANY,TIMEX PETROL,3601038204,"95A, đường Cách mạng tháng 8, Phường Quyết Thắng, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam","ĐẶNG THỊ THANH HÀTRẦN THANH TÙNG
Ngoài ra ĐẶNG THỊ THANH HÀTRẦN THANH TÙNG còn đại diện các doanh nghiệp:
TRẠM XĂNG DẦU NGÃ BA VŨNG TÀU- CÔNG TY CỔ PHẦN XĂNG DẦU TÍN NGHĨA (CHUYỂN ĐỔI LOẠI HÌNH DOANH NGHIỆP CHÍNH TỪ TRẠM XĂNG DẦU NGÃ BA VŨNG TÀU-CÔNG TY TNHH MỘT THÀNH VIÊN XĂNG DẦU TÍN NGHĨA, GCN ĐĂNG KÝ HOẠT ĐỘNG 4714000020-17/12/2004)
TRẠM XĂNG DẦU LONG TÂN - CÔNG TY CP XĂNG DẦU TÍN NGHĨA
TRẠM XĂNG DẦU LONG BÌNH TÂN- CÔNG TY CỔ PHẦN XĂNG DẦU TÍN NGHĨA (CHUYỂN ĐỔI LOẠI HÌNH DOANH NGHIỆP CHÍNH TỪ TRẠM XĂNG DẦU LONG BÌNH TÂN-CÔNG TY TNHH MỘT THÀNH VIÊN XĂNG DẦU TÍN NGHĨA, GCN ĐĂNG KÝ HOẠT ĐỘNG 4714000019-17/12/2004)
CÔNG TY TNHH LONG THIỆN PHƯỚC",02513842434,2008-12-08,Cục Thuế Tỉnh Đồng Nai,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán lẻ nhiên liệu động cơ trong các cửa hàng chuyên doanh
Chi tiết: Bán lẻ xăng, dầu, nhớt, mỡ bò và khí dầu mỏ hóa lỏng (không chứa hàng tại trụ sở)"
308,CÔNG TY CỔ PHẦN KHO VẬN MIỀN NAM,SOUTH LOGISTICS JOINT STOCK COMPANY,SOTRANS,0300645369,"1B Hoàng Diệu, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam","ĐẶNG VŨ THÀNH
Ngoài ra ĐẶNG VŨ THÀNH còn đại diện các doanh nghiệp:
TỔNG CÔNG TY CỔ PHẦN ĐƯỜNG SÔNG MIỀN NAM
CÔNG TY TNHH HÀNG HẢI WALLEM VIỆT NAM
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ HẠ TẦNG SOTRANS
TỔNG CÔNG TY CỔ PHẦN ĐƯỜNG SÔNG MIỀN NAM
ĐỊA ĐIỂM KINH DOANH - CÔNG TY TNHH MỘT THÀNH VIÊN SOTRANS LOGISTICS - KHO SOTRANS PHÚ MỸ",028 6268 5858,2006-12-29,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Kho bãi và lưu giữ hàng hóa
Chi tiết: Kinh doanh kho, bãi, cảng. Kinh doanh kho ngoại quan CFS (gom, phát hàng lẻ), ICD (cảng thông quan nội địa), trung tâm phân phối (logistics center)."
309,CÔNG TY CỔ PHẦN KỸ THƯƠNG THIÊN HOÀNG,MIKADO TECHNOLOGY AND TRADING JOINT STOCK COMPANY,MIKADO J.S.C,0101272578,"Tầng 6, tòa nhà Diamond Flower Tower, đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","PHẠM BÁCH TÙNG
Ngoài ra PHẠM BÁCH TÙNG còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY CỔ PHẦN KỸ THƯƠNG THIÊN HOÀNG - NHÀ MÁY GẠCH MEN MIKADO
CHI NHÁNH CÔNG TY CỔ PHẦN CERINCO HÀ NỘI TẠI THÁI BÌNH
CÔNG TY CỔ PHẦN SỨ MIKADO
CÔNG TY CỔ PHẦN CERINCO HÀ NỘI
CÔNG TY CỔ PHẦN SPC MIKADO
CÔNG TY CỔ PHẦN MIKADO - MT
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI MIKADO - MN
CHI NHÁNH CÔNG TY CỔ PHẦN VINAFRIT - NHÀ MÁY TẤM TRẦN THẠCH CAO MIKADO
CÔNG TY CỔ PHẦN VẬT LIỆU XANH MIKADO",37556888/ 37153888,2002-06-28,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê"
310,CÔNG TY CỔ PHẦN BM WINDOWS,BM WINDOWS JOINT STOCK COMPANY,BM WINDOWS,0313919539,"96 Phan Đăng Lưu, Phường 05, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam","TRẦN VĂN TIẾN
Ngoài ra TRẦN VĂN TIẾN còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY CỔ PHẦN BM WINDOWS TẠI BÌNH DƯƠNG
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN BM WINDOWS TẠI HÀ NỘI
CHI NHÁNH CÔNG TY CỔ PHẦN BM WINDOWS TẠI HÀ NỘI
CÔNG TY CỔ PHẦN BM WINDOWS - CHI NHÁNH HOÀNG HOA THÁM
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG SOL E&C
CHI NHÁNH - CÔNG TY CỔ PHẦN BM WINDOWS TẠI ĐỒNG NAI",028-35146869,2016-07-19,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoàn thiện công trình xây dựng
311,CÔNG TY CỔ PHẦN ỐNG THÉP THUẬN PHÁT,THUAN PHAT STEEL PIPE JOINT STOCK COMPANY,,0800902222,"Khu phố Quán Gỏi, Xã Vĩnh Hưng, Huyện Bình Giang, Tỉnh Hải Dương, Việt Nam","TRẦN VĂN THẮNG ( sinh năm 1969 - Hà Nội) Ẩn thông tin
Ngoài ra TRẦN VĂN THẮNG còn đại diện các doanh nghiệp:
CÔNG TY TNHH MỘT THÀNH VIÊN THUẬN PHÁT HẢI DƯƠNG",02203777699,2011-03-03,Cục Thuế Tỉnh Hải Dương,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn kim loại và quặng kim loại
Chi tiết: Bán buôn sắt, thép"
