,Company,MST,NGANH_NGHE,doanh_thu_2021,tinh
380,CÔNG TY CP DƯỢC PHẨM IMEXPHARM,1400384433,"Sản xuất dược phẩm, thiết bị y tế","1,266,597",Đồng Tháp
381,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC AN PHÁT,0101468933,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,Hà Nội
382,TỔNG CÔNG TY CP BẢO HIỂM HÀNG KHÔNG,0102737963,Bảo hiểm,,Hà Nội
383,CÔNG TY CP XÂY DỰNG SCG,0108704763,Xây dựng,"2,857,280",Hà Nội
384,CÔNG TY CP XÂY DỰNG VÀ CÔNG NGHIỆP NSN,0101428070,Hoạt động xây dựng khác,,Hà Nội
385,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT HOÀNG MAI,0101179473,"Sản xuất, chế biến và kinh doanh bánh kẹo",,Hà Nội
386,TỔNG CÔNG TY CP BẢO HIỂM BẢO LONG,0301458065,Bảo hiểm,"1,092,236",Điện Biên
387,CÔNG TY CP KHOÁNG SẢN VÀ XÂY DỰNG BÌNH DƯƠNG,3700148825,Khai khoáng khác và kinh doanh các sản phẩm khác từ khai khoáng,"884,273",Bình Dương
388,CÔNG TY CP CAO SU SAO VÀNG,0100100625,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su","955,715",Hà Nội
389,CÔNG TY CP CÔNG NGHIỆP Á MỸ,2500552524,"Sản xuất, kinh doanh vật liệu xây dựng",,Vĩnh Phúc
390,CÔNG TY CP THUẬN ĐỨC,0900264799,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Hưng Yên
391,CÔNG TY CP DAMSAN,1000389853,"Sản xuất, kinh doanh sợi, sản phẩm dệt","1,513,151",Thái Bình
392,CÔNG TY CP THƯƠNG MẠI THÉP INDECO,0313562014,"Kinh doanh kim loại, sắt thép, kim khí…",,TP Hồ Chí Minh
393,CÔNG TY TNHH CHẾ BIẾN DỪA LƯƠNG QUỚI,1300230895,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,Bến Tre
394,CÔNG TY CP GIẤY VIỆT TRÌ,2600107284,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy","1,989,277",Phú Thọ
395,CÔNG TY CP CMC,2600106523,"Sản xuất, kinh doanh vật liệu xây dựng",,Phú Thọ
396,CÔNG TY CP KỸ THUẬT XÂY DỰNG DINCO,0400461301,Xây dựng,,Đà Nẵng
397,CÔNG TY CP KOSY,0102681319,Kinh doanh bất động sản,"1,106,568",Hà Nội
398,CÔNG TY CP TẬP ĐOÀN F.I.T,0102182140,Dịch vụ tài chính khác,"1,220,561",Hà Nội
399,CÔNG TY CP BIBICA,3600363970,"Sản xuất, chế biến và kinh doanh bánh kẹo","1,091,174",TP Hồ Chí Minh
400,CÔNG TY TNHH VINA,3600364780,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Nai
401,CÔNG TY CP DƯỢC - TRANG THIẾT BỊ Y TẾ BÌNH ĐỊNH,4100259564,"Sản xuất dược phẩm, thiết bị y tế","1,558,504",Bình Định
402,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM ĐÔNG Á,0100274124,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,Hà Nội
403,CÔNG TY CP PHÂN BÓN VÀ HÓA CHẤT DẦU KHÍ MIỀN BẮC,0102886450,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","2,056,374",Hà Nội
404,CÔNG TY CP TRUYỀN THÔNG TK - L,0300993574,Quảng cáo và nghiên cứu thị trường,,TP Hồ Chí Minh
405,CÔNG TY TNHH CÔNG NGHIỆP MINH HƯNG,1201044062,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Tiền Giang
406,CÔNG TY CP TƯ VẤN D.P,0302273109,"Sản xuất, kinh doanh thiết bị điện",,TP Hồ Chí Minh
407,CÔNG TY TNHH THƯƠNG MẠI KIM ĐỨC,0301921780,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,TP Hồ Chí Minh
408,CÔNG TY CP PHÁT TRIỂN ĐẦU TƯ XÂY DỰNG HT,0314637978,Xây dựng,,TP Hồ Chí Minh
409,CÔNG TY CP DỊCH VỤ HÀNG HẢI HÀNG KHÔNG CON CÁ HEO,0305358801,Hoạt động khác hỗ trợ cho vận tải,,TP Hồ Chí Minh
410,CÔNG TY CP VẬT LIỆU XÂY DỰNG VÀ TRANG TRÍ NỘI THẤT TP. HỒ CHÍ MINH,0302495140,"Sản xuất, kinh doanh vật liệu xây dựng","819,486",TP Hồ Chí Minh
411,CÔNG TY CP TẬP ĐOÀN NGỌC DIỆP,0901019782,"Sản xuất, kinh doanh vật liệu xây dựng",,Hưng Yên
412,CÔNG TY CP XNK MÁY VÀ PHỤ TÙNG,0100107275,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,Hà Nội
413,CÔNG TY TNHH HOÀNG ĐẠI VƯƠNG,3600697236,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,Đồng Nai
414,CÔNG TY CP XÂY DỰNG 47,4100258747,Xây dựng,"881,943",Bình Định
415,CÔNG TY TNHH CÁ NGỪ VIỆT NAM,4201620427,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,Khánh Hòa
416,CÔNG TY CP HÓA - DƯỢC PHẨM MEKOPHAR,0302533156,"Sản xuất dược phẩm, thiết bị y tế","1,129,847",TP Hồ Chí Minh
417,CÔNG TY CP CÔNG NGHIỆP ĐÔNG HƯNG,3700820571,"Sản xuất, kinh doanh sản phẩm da giầy",,Bình Dương
418,CÔNG TY CP BAO BÌ VÀ IN NÔNG NGHIỆP,0101508664,"In ấn, xuất bản","1,536,424",Hà Nội
419,CÔNG TY CP ĐẦU TƯ HẠ TẦNG GIAO THÔNG ĐÈO CẢ,0400101965,Xây dựng,"1,861,340",Đà Nẵng
420,CÔNG TY CP VẬN TẢI VÀ XẾP DỠ HẢI AN,0103818809,"Kho bãi, bốc xếp hàng hóa","1,955,301",Hà Nội
421,CÔNG TY CP LOGISTICS VINALINK,0301776205,Hoạt động khác hỗ trợ cho vận tải,"1,464,037",TP Hồ Chí Minh
422,CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG VINA2,0100105895,Xây dựng,"885,141",Hà Nội
423,CÔNG TY CP TẬP ĐOÀN SƠN HÀ XANH,2500209363,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Vĩnh Phúc
424,CÔNG TY CP TẬP ĐOÀN ĐẠI DƯƠNG,0102278484,Kinh doanh bất động sản,"409,277",Hà Nội
425,CÔNG TY CP NHÔM ĐÔ THÀNH,0100510501,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,Hà Nội
426,CÔNG TY CP GẠCH MEN V.T.C,3600723398,"Sản xuất, kinh doanh vật liệu xây dựng",,Đồng Nai
427,CÔNG TY CP SIÊU THANH,0302563707,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","784,648",TP Hồ Chí Minh
428,CÔNG TY TNHH TM QUỐC TẾ THỦY LINH,0101099475,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,Hà Nội
429,CÔNG TY CP DƯỢC PHẨM AN THIÊN,0305706103,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,TP Hồ Chí Minh
430,CÔNG TY TNHH THANG MÁY & THIẾT BỊ THĂNG LONG,0101130774,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
431,CÔNG TY CP DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT (SASCO),0301123125,Bán lẻ,"321,078",TP Hồ Chí Minh
432,CÔNG TY TNHH CỬA SỔ VIỆT CHÂU Á ASEANWINDOW,0308779300,"Sản xuất, kinh doanh vật liệu xây dựng",,TP Hồ Chí Minh
433,CÔNG TY CP TẬP ĐOÀN TƯ VẤN ĐẦU TƯ XÂY DỰNG KIÊN GIANG,1700113586,Dịch vụ khác,"1,103,225",Kiên Giang
434,CÔNG TY CP CHỨNG KHOÁN MB,0106393583,Chứng khoán,"2,217,763",Hà Nội
435,CÔNG TY CP ĐẠI HỮU,0101206367,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,Hà Nội
436,CÔNG TY CP DỊCH VỤ NÔNG NGHIỆP BÌNH THUẬN,3400382278,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","1,198,652",Bình Thuận
437,CÔNG TY CP TUẤN ĐẠT,4000378744,"Sản xuất, kinh doanh trang phục",,Quảng Nam
438,CÔNG TY TÀI CHÍNH CỔ PHẦN TÍN VIỆT,0102766770,Dịch vụ tài chính khác,"1,201,808",Hà Nội
439,CÔNG TY CP TẬP ĐOÀN NAGAKAWA,2500217389,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…","1,404,424",Vĩnh Phúc
440,CÔNG TY CP ĐẦU TƯ QUỐC TẾ VÀ XUẤT NHẬP KHẨU DHT,0102036100,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,Hà Nội
441,CÔNG TY CP ĐẦU TƯ VCN,4200644489,Kinh doanh bất động sản,,Khánh Hòa
442,CÔNG TY CP DƯỢC PHẨM NAM HÀ,0600206147,"Sản xuất dược phẩm, thiết bị y tế",,Nam Định
443,CÔNG TY CP ĐẦU TƯ XÂY DỰNG BCONS,0312173537,Xây dựng,,TP Hồ Chí Minh
444,CÔNG TY CP ĐÔNG GIANG,0900220897,"Sản xuất, kinh doanh thiết bị điện",,Hưng Yên
445,CÔNG TY TNHH MTV THƯƠNG MẠI THÀNH PHÁT,4300369451,"Sản xuất, chế biến và kinh doanh đồ uống có cồn",,Quảng Ngãi
446,CÔNG TY CP VINAFCO,0100108504,Vận tải đường bộ,"1,245,217",TP Hồ Chí Minh
447,CÔNG TY CP ĐẦU TƯ XÂY DỰNG SOL E&C,0313541575,Xây dựng,,TP Hồ Chí Minh
448,TỔNG CÔNG TY THƯƠNG MẠI HÀ NỘI - CTCP,0100101273,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông","618,505",Hà Nội
449,CÔNG TY CP XÂY DỰNG AN PHÚ GIA,0304172307,Xây dựng,,TP Hồ Chí Minh
450,CÔNG TY CP XÂY LẮP THƯƠNG MẠI 2,0300584155,Xây dựng,"418,594",TP Hồ Chí Minh
451,CÔNG TY CP DƯỢC MEDIPHARCO,3300101406,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,Thừa Thiên Huế
452,CÔNG TY CP AZB,0310734321,Xây dựng,,TP Hồ Chí Minh
453,CÔNG TY CP THIẾT BỊ VẬT TƯ Y TẾ THANH HOÁ,2800588271,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,Thanh Hoá
454,CÔNG TY TNHH TRUYỀN THÔNG BEE,0314115227,"Truyền hình, phát thanh, phim ảnh",,TP Hồ Chí Minh
455,CÔNG TY TNHH DELOITTE VIỆT NAM,0100112500,Dịch vụ khác,,Hà Nội
456,CÔNG TY TNHH SẢN XUẤT TẬP ĐOÀN ĐẠI VIỆT,1101928050,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,Long An
457,CÔNG TY CP BÊ TÔNG 620 CHÂU THỚI,1500419552,"Sản xuất, kinh doanh vật liệu xây dựng",,Vĩnh Long
458,CÔNG TY CP CƠ ĐIỆN ĐOÀN NHẤT,0305289273,Hoạt động xây dựng khác,,TP Hồ Chí Minh
459,CÔNG TY CP BÓNG ĐÈN ĐIỆN QUANG,0300363808,"Sản xuất, kinh doanh thiết bị điện","733,831",Thái Bình
460,CÔNG TY CP DƯỢC PHẨM OPC,0302560110,"Sản xuất dược phẩm, thiết bị y tế","1,123,728",TP Hồ Chí Minh
461,CÔNG TY CP KHÓA VIỆT - TIỆP,0100100537,"Sản xuất, kinh doanh đồ dùng gia đình",,Hà Nội
462,CÔNG TY CP GIAO DỊCH HÀNG HÓA TÂY NGUYÊN,6001552050,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,TP Hồ Chí Minh
463,CÔNG TY CP NHẬT TIẾN,0200919993,"Kinh doanh kim loại, sắt thép, kim khí…",,Hải Phòng
464,CÔNG TY CP DÂY CÁP ĐIỆN DAPHACO,0302008774,"Sản xuất, kinh doanh thiết bị điện",,TP Hồ Chí Minh
465,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT DẦU THỰC VẬT MINH HUÊ,0304391796,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,TP Hồ Chí Minh
466,MINH HƯNG GROUP,1200748517,"Sản xuất, kinh doanh hóa chất khác",,Tiền Giang
467,CÔNG TY CP TẬP ĐOÀN ĐUA FAT,0104008162,Xây dựng,,Hà Nội
468,CÔNG TY CP ĐẦU TƯ XÂY DỰNG HẠ TẦNG VÀ PHÁT TRIỂN NÔNG THÔN,0101093709,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
469,CÔNG TY CP HỢP NHẤT QUỐC TẾ,0305141894,"Bưu chính, chuyển phát",,Hà Nội
470,CÔNG TY CP SƠN HẢI PHÒNG,0200575580,"Sản xuất, kinh doanh hóa chất khác",,Hải Phòng
471,TỔNG CÔNG TY CỔ PHẦN MIỀN TRUNG,2800976203,Xây dựng,,Thanh Hoá
472,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ HACOM,0101161194,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,Hà Nội
473,CÔNG TY CP VILACONIC,2901274715,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,Nghệ An
474,CÔNG TY CP BÊ TÔNG LY TÂM THỦ ĐỨC 1,3700912751,"Sản xuất, kinh doanh vật liệu xây dựng",,Bình Dương
475,CÔNG TY CP TIẾN HƯNG,2300223949,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,Bắc Ninh
476,CÔNG TY CP SAO THÁI DUONG,0101252356,"Sản xuất dược phẩm, thiết bị y tế",,Hà Nội
477,CÔNG TY CP XÂY DỰNG CBC,0313717010,Xây dựng,,TP Hồ Chí Minh
478,CÔNG TY CP CÔNG NÔNG NGHIỆP TIẾN NÔNG,2800142141,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,Thanh Hoá
479,CÔNG TY CP MAY VIỆT THỊNH,0303614739,"Sản xuất, kinh doanh trang phục",,TP Hồ Chí Minh
480,CÔNG TY TNHH FSI VIỆT NAM,0103812250,"Sản xuất, kinh doanh hóa chất khác",,Hà Nội
481,CÔNG TY CP DỊCH VỤ CÔNG NGHỆ TIN HỌC HPT,0301447426,Hoạt động thông tin khác,,TP Hồ Chí Minh
482,CÔNG TY CP DẦU KHÍ THÁI DƯƠNG,2400345718,Kinh doanh xăng dầu và các sản phẩm liên quan,"1,458,002",Bắc Giang
483,CÔNG TY CP MIZA,0105028958,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,Hà Nội
484,CÔNG TY CP VẬN TẢI 1 TRACO,0200380768,Hoạt động khác hỗ trợ cho vận tải,,Hải Phòng
485,CÔNG TY CP NỘI THẤT 190,0200656938,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,Hải Phòng
486,CÔNG TY TNHH XÂY DỰNG LÊ PHAN,0301125316,"Sản xuất, kinh doanh vật liệu xây dựng",,TP Hồ Chí Minh
487,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ THIÊN NAM HOÀ,0302429934,"Sản xuất, kinh doanh thiết bị điện",,TP Hồ Chí Minh
488,CÔNG TY TNHH XE ĐIỆN XE MÁY DETECH,0900189171,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,Hưng Yên
489,CÔNG TY CỔ PHẦN ĐẦU TƯ EVERLAND,0104228175,Kinh doanh bất động sản,"968,373",Hà Nội
490,CÔNG TY TNHH NHỰA LONG THÀNH,0301275199,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,TP Hồ Chí Minh
491,CÔNG TY TNHH DINH DƯỠNG QUỐC TẾ VIỆT ĐỨC,0102075540,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Hà Nội
492,CÔNG TY CP TỔNG CÔNG TY XÂY DỰNG THĂNG LONG,0100105020,Xây dựng,"1,262,499",Hà Nội
493,CÔNG TY TNHH BẢO TÍN MINH CHÂU,0100683952,"Bán lẻ vàng, bạc và kim loại quý khác",,Hà Nội
494,CÔNG TY TNHH THƯƠNG MẠI THÉP ĐẠI TOÀN THẮNG,0301893928,"Kinh doanh kim loại, sắt thép, kim khí…",,TP Hồ Chí Minh
495,CÔNG TY CP TÔ THÀNH PHÁT,0301521415,"Sản xuất, kinh doanh vật liệu xây dựng",,TP Hồ Chí Minh
496,CÔNG TY CP THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM,0106300187,Xây dựng,,Hà Nội
497,CÔNG TY CP SẢN XUẤT THƯƠNG MẠI SÀI GÒN,0302776127,"Sản xuất, kinh doanh vật liệu xây dựng",,TP Hồ Chí Minh
498,CÔNG TY CP IN VÀ BAO BÌ MỸ CHÂU,0301671386,Hoạt động công nghiệp khác,"431,298",TP Hồ Chí Minh
499,CÔNG TY CỔ PHẦN MẠC TÍCH,0301096513,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,Đồng Nai
500,CÔNG TY TNHH XÂY DỰNG CÔNG TRÌNH HÙNG VƯƠNG,0301115156,"Sản xuất, kinh doanh vật liệu xây dựng",,TP Hồ Chí Minh
501,CÔNG TY TNHH ONPOINT,0314709816,Bán lẻ khác,,TP Hồ Chí Minh
502,CÔNG TY TNHH SAMSUNG ELECTRONICS VIỆT NAM THÁI NGUYÊN,4601124536,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,Thái Nguyên
503,TẬP ĐOÀN ĐIỆN LỰC VIỆT NAM,0100100079,"Sản xuất, truyền tải, phân phối điện",,Hà Nội
504,TẬP ĐOÀN DẦU KHÍ VIỆT NAM,0100681592,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ",,Hà Nội
505,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106,Viễn thông,"136,096",Hà Nội
506,NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM,0100686174,Ngân hàng,,Hà Nội
507,TẬP ĐOÀN XĂNG DẦU VIỆT NAM,0100107370,Kinh doanh xăng dầu và các sản phẩm liên quan,"169,008,605",Hà Nội
508,NGÂN HÀNG TMCP ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM,0100150619,Ngân hàng,,Hà Nội
509,TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM,5700100256,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,Hà Nội
510,NGÂN HÀNG TMCP CÔNG THƯƠNG VIỆT NAM,0100111948,Ngân hàng,"41,788,465",Hà Nội
511,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,0100112437,Ngân hàng,"42,399,617",Hà Nội
512,CÔNG TY CP CHĂN NUÔI C.P. VIỆT NAM,3600224423,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Nai
513,TỔNG CÔNG TY KHÍ VIỆT NAM - CTCP,3500102710,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","78,992,156",TP Hồ Chí Minh
514,TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,0100684378,Viễn thông,,Hà Nội
515,NGÂN HÀNG TMCP QUÂN ĐỘI,0100283873,Ngân hàng,"26,199,554",Hà Nội
516,TẬP ĐOÀN BẢO VIỆT,0100111761,Bảo hiểm,"36,827,962",Hà Nội
517,TỔNG CÔNG TY HÀNG KHÔNG VIỆT NAM - CTCP,0100107518,Vận tải hàng không,"27,911,340",Hà Nội
518,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,0106869738,Viễn thông,,Hà Nội
519,TỔNG CÔNG TY PHÁT ĐIỆN 3 - CTCP,3502208399,"Sản xuất, truyền tải, phân phối điện","37,757,424",TP Hồ Chí Minh
520,TỔNG CÔNG TY PHÁT ĐIỆN 1,5701662152,"Sản xuất, truyền tải, phân phối điện",,Hà Nội
521,CÔNG TY TNHH INTEL PRODUCTS VIỆT NAM,0304295429,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,TP Hồ Chí Minh
522,TỔNG CÔNG TY BẢO VIỆT NHÂN THỌ,0102641429,Bảo hiểm,,Hà Nội
523,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ PRUDENTIAL VIỆT NAM,0301840443,Bảo hiểm,,TP Hồ Chí Minh
524,LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH (CO.OP MART),0301175691,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,TP Hồ Chí Minh
525,CÔNG TY TNHH QUỐC TẾ UNILEVER VIỆT NAM,0300762150,"Sản xuất, kinh doanh hóa mỹ phẩm",,TP Hồ Chí Minh
526,TỔNG CÔNG TY VIỄN THÔNG MOBIFONE,0100686209,Viễn thông,,Hà Nội
527,TỔNG CÔNG TY THÉP VIỆT NAM - CTCP,0100100047,"Kinh doanh kim loại, sắt thép, kim khí…","40,572,198",Hà Nội
528,TỔNG CÔNG TY ĐIỆN LỰC DẦU KHÍ VIỆT NAM - CTCP,0102276173,"Sản xuất, truyền tải, phân phối điện","24,560,949",Hà Nội
529,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN,0300583659,"Sản xuất, chế biến và kinh doanh đồ uống có cồn","26,373,746",TP Hồ Chí Minh
530,TỔNG CÔNG TY XI MĂNG VIỆT NAM,0100106320,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nội
531,TỔNG CÔNG TY PHÁT ĐIỆN 2 - CTCP,1800590430,"Sản xuất, truyền tải, phân phối điện","9,940,645",Cần Thơ
532,LIÊN DOANH VIỆT - NGA VIETSOVPETRO,3500102414,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ",,Bà Rịa - Vũng Tàu
533,TẬP ĐOÀN CÔNG NGHIỆP CAO SU VIỆT NAM - CTCP,0301266564,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su","5,558,860",TP Hồ Chí Minh
534,CÔNG TY TNHH MTV VÀNG BẠC ĐÁ QUÝ SÀI GÒN - SJC,0301045759,"Bán lẻ vàng, bạc và kim loại quý khác",,TP Hồ Chí Minh
535,CÔNG TY TNHH MTV TỔNG CÔNG TY TÂN CẢNG SÀI GÒN,0300514849,"Kho bãi, bốc xếp hàng hóa",,Điện Biên
536,TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,0102595740,"Bưu chính, chuyển phát",,Hà Nội
537,CÔNG TY TNHH ZUELLIG PHARMA VIỆT NAM,0100915699,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,Hà Nội
538,TỔNG CÔNG TY CP DỊCH VỤ KỸ THUẬT DẦU KHÍ VIỆT NAM,0100150577,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","3,811,176",TP Hồ Chí Minh
539,TỔNG CÔNG TY CP ĐẦU TƯ QUỐC TẾ VIETTEL,0102409426,Viễn thông,"5,850,500",Hà Nội
540,CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM,0300816663,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,TP Hồ Chí Minh
541,TỔNG CÔNG TY THUỐC LÁ VIỆT NAM,0101216069,"Sản xuất, chế biến và kinh doanh thuốc lá",,Hà Nội
542,TỔNG CÔNG TY ĐÔNG BẮC,5700101468,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,Quảng Ninh
543,TỔNG CÔNG TY TRUYỀN TẢI ĐIỆN QUỐC GIA,0102743068,"Sản xuất, truyền tải, phân phối điện",,Hà Nội
544,"CENTRAL RETAIL (GO! BIG C, TOP MARKET)",0105696842,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,TP Hồ Chí Minh
545,CÔNG TY TNHH OLAM VIỆT NAM,6000346337,Hoạt động nông nghiệp khác,,Đắk Nông
546,TỔNG CÔNG TY CP BƯU CHÍNH VIETTEL,0104093672,"Bưu chính, chuyển phát","21,452,032",Hà Nội
547,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ DAI-ICHI VIỆT NAM,0301851276,Bảo hiểm,,TP Hồ Chí Minh
548,CÔNG TY TNHH CALOFIC,5700101362,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,Quảng Ninh
549,CÔNG TY TNHH CJ VINA AGRI,1100439762,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Long An
550,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ AIA (VIỆT NAM),0301930337,Bảo hiểm,,TP Hồ Chí Minh
551,CÔNG TY TNHH CARGILL VIỆT NAM,3600233178,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Nai
552,TỔNG CÔNG TY LƯƠNG THỰC MIỀN BẮC,0100102608,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,Hà Nội
553,CÔNG TY TNHH YAMAHA MOTOR VIỆT NAM,0100774342,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,Hà Nội
554,TẬP ĐOÀN DỆT MAY VIỆT NAM,0100100008,"Sản xuất, kinh doanh sợi, sản phẩm dệt","16,002,865",Hà Nội
555,CÔNG TY TNHH DE HEUS,3701091716,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Vĩnh Long
556,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),0302249586,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,TP Hồ Chí Minh
557,CÔNG TY TNHH JAPFA COMFEED VIỆT NAM,2500175548,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Vĩnh Phúc
558,TỔNG CÔNG TY VẬT TƯ NÔNG NGHIỆP,0100104468,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,Hà Nội
559,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,0101057919,Ngân hàng,,Hà Nội
560,CÔNG TY TNHH ĐIỆN LỰC AES MÔNG DƯƠNG,5701384498,"Sản xuất, truyền tải, phân phối điện",,Quảng Ninh
561,CÔNG TY CP ACECOOK VIỆT NAM,0300808687,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,TP Hồ Chí Minh
562,TỔNG CÔNG TY BẢO HIỂM BẢO VIỆT,0101527385,Bảo hiểm,,Hà Nội
563,CÔNG TY TNHH NHÀ NƯỚC MTV THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL,0104831030,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,Hà Nội
564,CÔNG TY CP VIỆT - PHÁP SẢN XUẤT THỨC ĂN GIA SÚC (PROCONCO),3600234534,"Sản xuất, kinh doanh thức ăn chăn nuôi",,Đồng Nai
565,TỔNG CÔNG TY HÀNG HẢI VIỆT NAM - CTCP,0100104595,Vận tải đường biển,,Hà Nội
