,Company,MST,NGANH_NGHE,doanh_thu_2021,tinh
104,CÔNG TY CP XI MĂNG XUÂN THÀNH,0700576529,"Sản xuất, kinh doanh vật liệu xây dựng",,Hà Nam
105,CÔNG TY CP CƠ ĐIỆN LẠNH,0300741143,Hoạt động xây dựng khác,"5,809,811",TP Hồ Chí Minh
106,CÔNG TY CP ĐẦU TƯ THÀNH THÀNH CÔNG,0301466073,"Sản xuất, chế biến và kinh doanh đường",,TP Hồ Chí Minh
107,CÔNG TY CP CITY AUTO,0307979603,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện","4,508,688",TP Hồ Chí Minh
108,CÔNG TY CP ĐẦU TƯ SÀI GÒN VRG,0305268812,Xây dựng,"5,577,559",TP Hồ Chí Minh
109,CÔNG TY CP VICOSTONE,0500469512,"Sản xuất, kinh doanh vật liệu xây dựng","7,070,129",Hà Nội
110,CÔNG TY CP HÓA DẦU QUÂN ĐỘI (MIPEC),0101436307,Kinh doanh xăng dầu và các sản phẩm liên quan,,Hà Nội
111,CÔNG TY CP ĐẠI TÂN VIỆT,0302505776,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,TP Hồ Chí Minh
112,CÔNG TY CP PHÚ TÀI,4100259236,"Sản xuất, kinh doanh vật liệu xây dựng","6,491,949",Bình Định
113,CÔNG TY CP DỊCH VỤ Ô TÔ HÀNG XANH,0302000126,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện","5,551,485",Điện Biên
114,CÔNG TY CP QUỐC TẾ SƠN HÀ,0100776445,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","7,074,613",Hà Nội
115,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG UNICONS,0304472276,Xây dựng,,Điện Biên
116,CÔNG TY CP DẦU THỰC VẬT TƯỜNG AN,0303498754,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,TP Hồ Chí Minh
117,CÔNG TY CP TẬP ĐOÀN ECOPARK,0101395308,Kinh doanh bất động sản,,An Giang
118,CÔNG TY CP TẬP ĐOÀN CÔNG NGHỆ CMC,0100244112,Hoạt động thông tin khác,"6,290,385",Hà Nội
119,CÔNG TY CP GIAO NHẬN VÀ VẬN CHUYỂN IN DO TRẦN,0301909173,Hoạt động khác hỗ trợ cho vận tải,,TP Hồ Chí Minh
120,CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU THIÊN NAM,0301172041,"Kinh doanh kim loại, sắt thép, kim khí…","5,446,937",TP Hồ Chí Minh
121,CÔNG TY CP SẢN XUẤT NHỰA DUY TÂN,0306151768,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,TP Hồ Chí Minh
122,CÔNG TY CP TẬP ĐOÀN KIM TÍN,0303738780,Hoạt động công nghiệp khác,,TP Hồ Chí Minh
123,CÔNG TY TNHH XUẤT NHẬP KHẨU CÀ PHÊ MINH TIẾN,0101013887,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,Hà Nội
124,CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG DELTA,0100512717,Xây dựng,,Hà Nội
125,CÔNG TY CP KINH DOANH KHÍ MIỀN NAM,0305097236,Kinh doanh xăng dầu và các sản phẩm liên quan,"5,614,656",TP Hồ Chí Minh
126,CÔNG TY CP XÂY DỰNG CENTRAL,0314476689,Xây dựng,,TP Hồ Chí Minh
127,CÔNG TY CP THÉP VÀ THƯƠNG MẠI HÀ NỘI,5400363141,"Kinh doanh kim loại, sắt thép, kim khí…",,Hòa Bình
128,CÔNG TY CP TẬP ĐOÀN HÀ ĐÔ,0100283802,Kinh doanh bất động sản,"3,777,436",Hà Nội
129,CÔNG TY CP XUẤT NHẬP KHẨU NHẤT THÀNH,0106025519,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,Hà Nội
130,CÔNG TY CP NÔNG SẢN THỰC PHẨM QUẢNG NGÃI,4300321643,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô","5,445,043",Quảng Ngãi
131,CÔNG TY CP THƯƠNG MẠI THÀNH THÀNH CÔNG,3700594361,"Sản xuất, chế biến và kinh doanh đường",,Bình Dương
132,TỔNG CÔNG TY CP BẢO HIỂM BƯU ĐIỆN,0100774631,Bảo hiểm,"4,963,702",Hà Nội
133,CÔNG TY CP BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG,0101526991,"Sản xuất, kinh doanh thiết bị điện","5,709,068",Hà Nội
134,CÔNG TY TNHH HỆ THỐNG THÔNG TIN FPT (FPT IS),0104128565,Hoạt động thông tin khác,,Hà Nội
135,CÔNG TY CP CƠ KHÍ XÂY DỰNG THƯƠNG MẠI ĐẠI DŨNG,0301932246,Dịch vụ khác,,TP Hồ Chí Minh
136,CÔNG TY TNHH TRUNG THÀNH THÁI NGUYÊN,4600201989,Bán lẻ khác,,Thái Nguyên
137,TẬP ĐOÀN TRUNG NGUYÊN LEGEND,0304324655,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,TP Hồ Chí Minh
138,CÔNG TY CP NHỰA BÌNH MINH,0301464823,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","4,552,757",Hậu Giang
139,CÔNG TY CP ĐẦU TƯ DỊCH VỤ TÀI CHÍNH HOÀNG HUY,0200117929,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện","2,755,985",Hải Phòng
140,CÔNG TY CP ĐẦU TƯ XÂY DỰNG NEWTECONS,0303103212,Xây dựng,,TP Hồ Chí Minh
141,NGÂN HÀNG TMCP BẢN VIỆT,0301378892,Ngân hàng,,TP Hồ Chí Minh
142,CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH NHÀ KHANG ĐIỀN,0302588596,Kinh doanh bất động sản,"3,738,368",TP Hồ Chí Minh
143,CÔNG TY CP NHỰA THIẾU NIÊN TIỀN PHONG,0200167782,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","4,823,525",Hải Phòng
144,CÔNG TY CP HƯNG THỊNH INCONS,0305371707,Xây dựng,,TP Hồ Chí Minh
145,CÔNG TY CP CHỨNG KHOÁN SSI,0301955155,Chứng khoán,"1,629,086",TP Hồ Chí Minh
146,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG,0102721191,Ẩm thực,,Hà Nội
147,CÔNG TY CP Á ĐÔNG ADG,0308113486,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,TP Hồ Chí Minh
148,CÔNG TY CP ĐẦU TƯ VÀ THƯƠNG MẠI TNG,4600305723,"Sản xuất, kinh doanh trang phục","5,443,607",Bắc Kạn
149,CÔNG TY CP THỰC PHẨM SAO TA,2200208753,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp","5,199,105",Sóc Trăng
150,CÔNG TY CP GIAO NHẬN VẬN TẢI CON ONG,0303482440,Hoạt động khác hỗ trợ cho vận tải,,TP Hồ Chí Minh
151,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ TÂN HIỆP PHÁT,0301387752,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,Bình Dương
