Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
CÔNG TY CP CHỨNG KHOÁN KỸ THƯƠNG,Nguyễn Thị Thu Hiền,0102935813,Chứng khoán,,,Hà Nội
CÔNG TY CP THƯƠNG MẠI HIỆP HƯƠNG,Trương Công Hiệp,0100953567,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ",,,Hà Nội
CÔNG TY CP VẬT TƯ HẬU GIANG,Lê Hoàng Nam,1800506679,"Sản xuất, kinh doanh vật liệu xây dựng","3,218,928","3,087,570",Cần Thơ
CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT TƯỜNG VIỆT,Dương Tấn Trước,0302853607,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
CÔNG TY CP FECON,Nguyễn Văn Thanh,0101502599,Hoạt động xây dựng khác,"3,154,194","3,484,219",Hà Nội
CÔNG TY CP CÔNG NGHỆ ELITE,Trần Hoài Phương Chi,0303853575,Hoạt động thông tin khác,,,TP Hồ Chí Minh
TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,Ông Hoàng Văn Tăng,3500101107,Kinh doanh bất động sản,"2,487,174","2,568,689",Bà Rịa - Vũng Tàu
CÔNG TY CP THÉP ASEAN,Hồ Văn Phương,6000746180,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Đắk Lắk
CÔNG TY CP UNIBEN,Vũ Tiến Dũng,0301442989,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP TUẤN VIỆT,Lê Thị Nữ,3100261120,"Sản xuất, chế biến và kinh doanh đường",,,Quảng Bình
CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Trần Chiến Công,3700145694,Hoạt động xây dựng khác,"3,025,337","3,118,867",Bình Dương
CÔNG TY TNHH PHÂN PHỐI TIÊN TIẾN,Trương Quốc Chí,0303549039,"Sản xuất, kinh doanh đồ dùng gia đình",,,TP Hồ Chí Minh
CÔNG TY TNHH PHÁT TÀI,Lê Phát Long,1400105785,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Đồng Tháp
CÔNG TY CP DỊCH VỤ TRỰC TUYẾN CỘNG ĐỒNG VIỆT,Ngô Trung Lĩnh,0305458683,Ngân hàng,,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN ĐẤT XANH,Bùi Ngọc Đức,0303104343,Kinh doanh bất động sản,"2,890,654","10,089,385",TP Hồ Chí Minh
CÔNG TY CP THAIHOLDINGS,Nguyễn Văn Dũng,0105202998,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","1,820,617","8,242,532",Hà Nội
CÔNG TY TNHH MTV THỰC PHẨM VÀ ĐẦU TƯ FOCOCEV,Đào Quý Chung,0400101588,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN ĐỨC TƯỜNG,Nguyễn Đức Tường,1701884951,"Sản xuất, kinh doanh thiết bị điện",,,Kiên Giang
CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP VÀ VẬN TẢI,Bùi Thiện Phương Đông,0300482393,Xây dựng,"2,852,633","3,111,846",TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ NAM LONG,Trần Xuân Ngọc,0301438936,Kinh doanh bất động sản,"2,216,719","5,205,519",TP Hồ Chí Minh
CÔNG TY CP KẾT CẤU THÉP ATAD,Nguyễn Lê Anh Tuấn,1100641143,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP DINH DƯỠNG HỒNG HÀ,Đỗ Đức Tiến,0700220547,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Hà Nam
CÔNG TY CP XÂY DỰNG AN PHONG,Nguyễn Khắc Phong,0304621513,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP CƠ KHÍ XÂY DỰNG AMECC,Ngô Quốc Thịnh,0200786983,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","2,982,563","2,677,988",Hải Phòng
CÔNG TY CP SẢN XUẤT VÀ THƯƠNG MẠI P.P,Phan Thị Thu Hương,0101437981,Hoạt động công nghiệp khác,,,Hà Nội
CÔNG TY CP VINACAFÉ BIÊN HÒA,Đoàn Quốc Hưng,3600261626,"Sản xuất, chế biến và kinh doanh đường","2,901,293","2,216,910",Đồng Nai
CÔNG TY CP ĐẦU TƯ & PHÁT TRIỂN CÔNG NGHỆ QUỐC GIA ADG,Đặng Vũ Toàn,0102023052,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
CÔNG TY CP XUẤT NHẬP KHẨU THIÊN Á,Phan Thanh Tùng,0101726782,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Hà Nội
CÔNG TY CP TẬP ĐOÀN SEMEC,Lê Sơn Long,2900608267,"Kinh doanh kim loại, sắt thép, kim khí…",,,Nghệ An
CÔNG TY CP VẬT TƯ XĂNG DẦU (COMECO),Lê Tấn Thương,0300450673,Kinh doanh xăng dầu và các sản phẩm liên quan,"2,899,292","2,659,682",TP Hồ Chí Minh
CÔNG TY CP HƯNG THỊNH LAND,Lê Trọng Khương,0302588518,Kinh doanh bất động sản,,,TP Hồ Chí Minh
CÔNG TY CP ĐÔNG HẢI BẾN TRE,Lê Bá Phương,1300358260,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy","2,887,571","4,164,331",Bến Tre
CÔNG TY CP THƯƠNG MẠI DẦU KHÍ CỬU LONG,Lê Trung Nguyên Khôi,1500498480,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Vĩnh Long
CÔNG TY CP TẬP ĐOÀN DẦU KHÍ AN PHA,Trần Minh Loan,0303224471,Kinh doanh xăng dầu và các sản phẩm liên quan,"2,723,450","3,391,420",TP Hồ Chí Minh
CÔNG TY CP CÔNG NGHIỆP VĨNH TƯỜNG,Trần Đức Huy,0304075529,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN ĐIỆN LẠNH ĐIỆN MÁY VIỆT ÚC,Nguyễn Thành Phương,0101360104,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
CÔNG TY CP GIỐNG BÒ SỮA MỘC CHÂU,Trần Công Chiến,5500154060,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa","2,822,948","2,925,664",Sơn La
CÔNG TY CP EUROWINDOW,Nguyễn Cảnh Hồng,2500217526,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
TỔNG CÔNG TY CÔNG NGHIỆP DẦU THỰC VẬT VIỆT NAM - CTCP,Nguyễn Thị Xuân Liễu,0300585984,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật","2,597,678","1,495,931",TP Hồ Chí Minh
TỔNG CÔNG TY VẬT LIỆU XÂY DỰNG SỐ 1 - CTCP,Nguyễn Quang Trung,0300402493,"Sản xuất, kinh doanh vật liệu xây dựng","2,715,540","1,460,847",TP Hồ Chí Minh
CÔNG TY TNHH VĨNH HIỆP,Thái Như Hiệp,5900315114,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,,Gia Lai
CÔNG TY CP TẬP ĐOÀN THIÊN LONG,Trần Phương Nga,0301464830,Hoạt động công nghiệp khác,"2,684,552","2,668,275",TP Hồ Chí Minh
CÔNG TY CP THỦY SẢN SẠCH VIỆT NAM,Võ Văn Phục,2200325351,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,Sóc Trăng
CÔNG TY CP RẠNG ĐÔNG HOLDING,Hồ Đức Lam,0300384357,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","2,744,311","2,711,376",TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN HOÀNG LONG,Nguyễn Quốc Đạo,1100414052,Xây dựng,"2,653,763","2,527,103",Long An
CÔNG TY CP TẬP ĐOÀN BAMBOO CAPITAL,Nguyễn Thế Tài,0311315789,Dịch vụ khác,"1,854,945","2,589,459",TP Hồ Chí Minh
CÔNG TY CP GEMADEPT,Nguyễn Thanh Bình,0301116791,Vận tải đường biển,"2,605,666","3,206,290",TP Hồ Chí Minh
CÔNG TY CP SÀI GÒN FOOD,Nguyễn Quang Tường,0302994301,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
NGÂN HÀNG TMCP XĂNG DẦU PETROLIMEX,Nguyễn Quang Định,1400116233,Ngân hàng,,,Hà Nội
CÔNG TY CP XÂY DỰNG HỢP LỰC,Trần Ngọc Tân,0103711478,Xây dựng,,,Hà Nội
CÔNG TY CP VẬT TƯ NÔNG SẢN,Nguyễn Tiến Dũng,0100104066,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Hà Nội
CÔNG TY TNHH ĐẦU TƯ ĐỊA ỐC THÀNH PHỐ,Bùi Mạnh Hưng,0302980690,Kinh doanh bất động sản,,,TP Hồ Chí Minh
CÔNG TY TNHH CƠ KHÍ XÂY DỰNG DST VIỆT NAM,Nguyễn Mạnh Hùng,0106462325,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hà Nội
CÔNG TY TNHH THƯƠNG MẠI VÀ CÔNG NGHIỆP MỸ VIỆT,Nguyễn Minh Tuấn,0900239753,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Hưng Yên
TỔNG CÔNG TY CP BẢO HIỂM QUÂN ĐỘI,Ông Uông Đông Hưng- chủ tịch,0102385623,Bảo hiểm,"2,402,481","2,655,713",Hà Nội
CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG XUÂN MAI,Nguyễn Cao Thắng,0500443916,Xây dựng,"2,140,454","1,612,653",Hà Nội
CÔNG TY TNHH MTV BÒ SỮA VIỆT NAM,Trịnh Quốc Dũng,5000268824,Chăn nuôi,,,TP Hồ Chí Minh
CÔNG TY CP THÉP VÀ VẬT TƯ XÂY DỰNG,Vũ Thị Năm,0101967587,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hà Nội
CÔNG TY TNHH MTV THỨC ĂN THỦY SẢN MEKONG,Đặng Hoàng Phương,1401934305,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Tháp
CÔNG TY CP KỸ THUẬT SIGMA,Nguyễn Quang Ngọc,0101600518,Hoạt động xây dựng khác,,,Hà Nội
CÔNG TY CP CƠ ĐIỆN TRẦN PHÚ,Đặng Quốc Chính,0100106063,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
CÔNG TY CP VINAFREIGHT,Nguyễn Huy Diệu,0302511219,Hoạt động khác hỗ trợ cho vận tải,"2,468,752","4,895,878",TP Hồ Chí Minh
CÔNG TY CP NHỰA HƯNG YÊN,Nguyễn Minh Tân,0900108380,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hưng Yên
CÔNG TY CP ỐNG ĐỒNG TOÀN PHÁT,Bùi Hồng Phúc,0900246768,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hưng Yên
CÔNG TY CP TƯ VẤN VÀ XÂY DỰNG PHÚ XUÂN,Nguyễn Quốc Mến,0101185572,Xây dựng,,,Hà Nội
TỔNG CÔNG TY THIẾT BỊ ĐIỆN ĐÔNG ANH - CTCP,Nguyễn Vũ Cường,0100101322,"Sản xuất, kinh doanh thiết bị điện","2,422,137","2,116,604",Hà Nội
CÔNG TY CP TẬP ĐOÀN TOJI,Hồ Minh Tiến,0101261431,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
CÔNG TY TNHH XÂY DỰNG TỰ LẬP,Nguyễn Văn Thỏa,2600251062,Xây dựng,,,Phú Thọ
CÔNG TY TNHH XUẤT NHẬP KHẨU VI NA ĐẠI VIỆT,Trần Vũ Quỳnh Như,3602576702,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh",,,Đồng Nai
CÔNG TY CP MEGRAM,Đỗ Thành Trung,0105284398,"Sản xuất, kinh doanh thiết bị điện",,,Hà Nội
CÔNG TY TNHH THIẾT BỊ ĐIỆN LIOA,Nguyễn Chí Linh,0900246535,"Sản xuất, kinh doanh thiết bị điện",,,Hưng Yên
CÔNG TY CP LICOGI 13,Phạm Văn Thăng,0100106426,Xây dựng,"2,338,314","2,439,778",Hà Nội
CÔNG TY TNHH XUẤT NHẬP KHẨU - THƯƠNG MẠI - CÔNG NGHỆ - DỊCH VỤ HÙNG DUY,Lê Minh Trúc,3900212443,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Tây Ninh
CÔNG TY CP THƯƠNG MẠI CITICOM,Lê Phụng Thắng,0101370014,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hà Nội
CÔNG TY CP ĐẦU TƯ THƯƠNG MẠI XNK VIỆT PHÁT,Nguyễn Xuân Trường,0200826844,"Khai thác, chế biến, kinh doanh quặng kim loại và hoạt động hỗ trợ","2,331,465","3,863,572",Hải Phòng
TỔNG CÔNG TY 36,Nguyễn Đăng Giáp,0105454762,Xây dựng,"2,308,851","1,161,553",Hà Nội
TỔNG CÔNG TY LICOGI- CTCP,Vũ Tiến Giao,0100106440,Xây dựng,"2,187,968","1,988,415",Hà Nội
CÔNG TY CP HAWEE CƠ ĐIỆN,Nguyễn Thị Hải Yến,0101466566,Hoạt động xây dựng khác,,,Hà Nội
CÔNG TY CP THỰC PHẨM CHOLIMEX,Diệp Nam Hải,0304475742,"Sản xuất, chế biến và kinh doanh thực phẩm khác","2,263,329","2,508,601",TP Hồ Chí Minh
TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM SÀI GÒN - HÀ NỘI,Nguyễn Văn Trưởng,0103085460,Bảo hiểm,,,Hà Nội
CÔNG TY CP ĐẦU TƯ VĂN PHÚ - INVEST,Triệu Hữu Đại,0102702590,Kinh doanh bất động sản,"2,164,999","2,610,596",Hà Nội
CÔNG TY CP ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN AN GIA,Nguyễn Bá Sáng,0311500196,Kinh doanh bất động sản,"1,753,643","1,808,365",TP Hồ Chí Minh
CÔNG TY CP XÂY DỰNG PHƯỚC THÀNH,Phạm Thị Thanh Hằng,0303615482,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP ECOBA VIỆT NAM,Võ Tiến Đạt,0104415496,Xây dựng,,,Hà Nội
CÔNG TY CP CHỨNG KHOÁN TP. HỒ CHÍ MINH,Johan Nyvene,0302910950,Chứng khoán,"2,247,906","4,460,113",TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG VẬN TẢI THANH LONG,Hồ Kiến Phong,0304133227,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
CÔNG TY CP ĐÓNG TÀU VÀ VẬN TẢI BIỂN NAM PHÁT,Phạm Đắc Nam,5701483604,Công nghiệp đóng tàu và thuyền,,,Quảng Ninh
TỔNG CÔNG TY HÓA CHẤT VÀ DỊCH VỤ DẦU KHÍ - CTCP,Phan Công Thành,0100150873,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","2,178,705","2,760,260",Hà Nội
CÔNG TY CP TẬP ĐOÀN VINACAM,Vũ Duy Hải,0303800051,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ DU LỊCH VÀ PHÁT TRIỂN THỦY SẢN,Ông Lê Văn Lâm,1600895650,Hoạt động xây dựng khác,,,Đồng Tháp
CÔNG TY CP BẤT ĐỘNG SẢN THẾ KỶ,Nguyễn Trung Vũ,0101160306,Kinh doanh bất động sản,"2,117,495","5,597,582",Hà Nội
CÔNG TY CP NHỰA BẢO VÂN,Nguyễn Quốc Bảo,3700257662,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Bình Dương
CÔNG TY CP TẬP ĐOÀN CIENCO4,Nguyễn Tuấn Huỳnh,2900324850,Xây dựng,"2,089,845","1,885,076",Hà Nội
CÔNG TY CP MÁY TÍNH VĨNH XUÂN,Ngô Thị Kim Ngân,0100516045,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
CÔNG TY CP KỸ NGHỆ THỰC PHẨM VIỆT NAM (VIFON),Lê Thị Ánh Phương,0300627384,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN ĐẠT PHƯƠNG,Trần Anh Tuấn,0101218757,Xây dựng,"2,118,336","2,545,456",Hà Nội
CÔNG TY CP CHỨNG KHOÁN VNDIRECT,Nguyễn Vũ Long,0102065366,Chứng khoán,"2,134,529","6,039,233",Hà Nội
TỔNG CÔNG TY CP PHONG PHÚ,Phạm Xuân Trình,0301446006,"Sản xuất, kinh doanh sợi, sản phẩm dệt","2,099,133","1,652,139",TP Hồ Chí Minh
CÔNG TY CP ĐỒNG TÂM,Nguyễn Văn Hùng,1100548578,Kinh doanh bất động sản,,,Long An
CÔNG TY CP ĐẦU TƯ LBM,Nguyễn Mạnh Bảo,0308783233,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,TP Hồ Chí Minh
CÔNG TY CP THỰC PHẨM AN LONG,Huỳnh Tuân Phương Mai,1100814572,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,,Long An
CÔNG TY TNHH HÙNG CÁ,Trần Văn Hùng,1400528082,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
CÔNG TY CP SAM HOLDINGS,Trần Việt Anh,3600253537,"Sản xuất, kinh doanh thiết bị điện","1,919,269","1,888,697",TP Hồ Chí Minh
CÔNG TY CP GAVI,Lê Thị Hoàng Trinh,1601645981,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,An Giang
CÔNG TY CP ĐẦU TƯ APAX HOLDINGS,Vũ Cẩm La Hương,0105824156,Dịch vụ khác,"1,951,190","1,733,836",Hà Nội
CÔNG TY CP XĂNG DẦU TÍN NGHĨA,Trần Thanh Tùng,3601038204,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Đồng Nai
CÔNG TY CP KHO VẬN MIỀN NAM,Trần Tuấn Anh,0300645369,"Kho bãi, bốc xếp hàng hóa","737,107","686,821",TP Hồ Chí Minh
CÔNG TY CP KỸ THƯƠNG THIÊN HOÀNG,Phạm Bách Tùng,0101272578,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
CÔNG TY CP BM WINDOWS,Trần Văn Tiến,0313919539,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP ỐNG THÉP THUẬN PHÁT,Trần Văn Thắng,0800902222,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hải Dương
CÔNG TY CP DƯỢC PHẨM HÀ TÂY,Lê Xuân Thắng,0500391400,"Sản xuất dược phẩm, thiết bị y tế","2,006,475","1,609,364",Hà Nội
CÔNG TY CP XÂY DỰNG FLC FAROS,Nguyễn Thiện Phú,0105167581,Xây dựng,,,Hà Nội
CÔNG TY CP TẬP ĐOÀN TRANG KHANH,Đoàn Thanh Duy,0201725327,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hải Phòng
CÔNG TY CP TẬP ĐOÀN TONMAT,Trần Văn Sơn,2300238060,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Bắc Ninh
CÔNG TY CP ĐẠI THIÊN LỘC,Nguyễn Thanh Loan,3700381282,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác","1,982,112","1,380,751",Bình Dương
CÔNG TY CP XÂY DỰNG SỐ 1,Lê Đăng Vinh,0300408745,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT NAM PHÁT,Nguyễn Lương Ngọc,0101806244,"Sản xuất, kinh doanh máy móc, sản phẩm cơ khí khác",,,Hà Nội
CÔNG TY CP TRAPHACO,Trần Túc Mã,0100108656,"Sản xuất dược phẩm, thiết bị y tế","1,908,870","2,160,840",Hà Nội
CÔNG TY CP PHÂN BÓN HÓA CHẤT DẦU KHÍ MIỀN TRUNG,Trần Tuấn Nam,4100733174,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","1,863,265","3,036,619",Bình Định
CÔNG TY TNHH HÒA BÌNH,Nguyễn Hữu Đường,0100276146,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,Hà Nội
CÔNG TY CP ĐỊA ỐC SÀI GÒN THƯƠNG TÍN,Vũ Quốc Thái,0303315400,Kinh doanh bất động sản,"918,155","1,683,184",TP Hồ Chí Minh
CÔNG TY CP TRUNG ĐÔNG,Trương Quang Thọ,3600669165,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Đồng Nai
CÔNG TY CP B.C.H,Nguyễn Văn Tuấn,0800286887,"Kinh doanh kim loại, sắt thép, kim khí…",,,Hải Dương
CÔNG TY TNHH THÉP NHẬT QUANG,Nguyễn Nhật Thăng,0900234699,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hưng Yên
CÔNG TY CP MÍA ĐƯỜNG LAM SƠN,Lê Văn Tân,2800463346,"Sản xuất, chế biến và kinh doanh đường","1,846,471","2,041,296",Thanh Hoá
CÔNG TY CP LOUIS HOLDINGS,Nguyễn Mai Long,1101573295,Dịch vụ tài chính khác,,,TP Hồ Chí Minh
"CÔNG TY CP ĐẦU TƯ, THƯƠNG MẠI VÀ DỊCH VỤ - VINACOMIN",Thiều Quang Thảo,0200170658,"Khai thác, kinh doanh than và hoạt động hỗ trợ","1,807,798","1,460,351",Hà Nội
CÔNG TY TNHH BÊ TÔNG VÀ XÂY DỰNG MINH ĐỨC,Tạ Quyết Thắng,0200611969,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hải Phòng
CÔNG TY CP DƯỢC PHẨM ECO,Ngô Chí Dũng,0102637020,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Hà Nội
CÔNG TY CP CHỨNG KHOÁN SÀI GÒN - HÀ NỘI,Vũ Đức Tiến,0102524651,Chứng khoán,"685,729","-64,305",Hà Nội
CÔNG TY CP ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI QUỐC TẾ - ICT,Tạ Thanh Xuân,0100828742,Công nghiệp khác,,,Hà Nội
CÔNG TY CP TẬP ĐOÀN GIỐNG CÂY TRỒNG VIỆT NAM,Trần Kim Liên,0101449271,Hoạt động nông nghiệp khác,"1,634,552","1,928,606",Hà Nội
CÔNG TY CP ĐẦU TƯ VÀ KINH DOANH THÉP NHÂN LUẬT,Phan Châu Luật,0400102616,"Kinh doanh kim loại, sắt thép, kim khí…",,,Đà Nẵng
CÔNG TY CP BẢO HIỂM VIỄN ĐÔNG,Đặng Diệp Đại Khoa,0303099446,Bảo hiểm,,,TP Hồ Chí Minh
CÔNG TY CP SẢN XUẤT VÀ CÔNG NGHỆ NHỰA PHA LÊ,Mai Thanh Phương - Chủ tịch HĐQT,0103018538,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","1,786,074","2,412,715",Hải Phòng
CÔNG TY CP ĐẦU TƯ VÀ XÂY DỰNG TIỀN GIANG,Trần Hoàng Huân,1200526842,Xây dựng,"1,782,150","1,318,964",Tiền Giang
BMB STEEL,Trần Lê Quốc Thái,3700778489,Xây dựng,,,Bình Dương
CÔNG TY CP TẬP ĐOÀN AUSTDOOR,Dương Quốc Tuấn,0101306139,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
CÔNG TY TNHH SAO MAI SUPER FEED,Lê Thị Phượng,1401976866,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Tháp
CÔNG TY CP SADICO CẦN THƠ,Nguyễn Văn Cường,1800155452,"Sản xuất, kinh doanh trang phục","1,661,527","1,353,508",Cần Thơ
NGÂN HÀNG TMCP SÀI GÒN CÔNG THƯƠNG,Dương Xuân Minh,0300610408,Ngân hàng,"590,669","589,171",TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN NHỰA ĐÔNG Á,Nguyễn Bá Hùng,0101099228,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa","1,756,946","1,953,961",Hà Nội
CÔNG TY TNHH THƯƠNG MẠI THÉP TOÀN THẮNG,Đoàn Danh Tuấn,0301424404,"Kinh doanh kim loại, sắt thép, kim khí…",,,TP Hồ Chí Minh
CÔNG TY TÀI CHÍNH CP ĐIỆN LỰC,Lương Hải Sinh,0102806367,Ngân hàng,"713,211","786,127",Hà Nội
CÔNG TY CP CHỨNG KHOÁN BẢN VIỆT,Tô Hải,0305299779,Chứng khoán,"1,729,592","3,707,069",TP Hồ Chí Minh
CÔNG TY CP VẬN TẢI DẦU KHÍ THÁI BÌNH DƯƠNG,Lê Mạnh Tuấn,0305475110,Vận tải đường biển,"1,611,043","1,244,003",TP Hồ Chí Minh
CÔNG TY CP DỆT 10/10,Dương Văn Bình,0100100590,"Sản xuất, kinh doanh trang phục",,,Hà Nội
CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU DẦU KHÍ MINH ĐỨC,Trần Đức Dũng,0313094165,Kinh doanh xăng dầu và các sản phẩm liên quan,,,TP Hồ Chí Minh
TỔNG CÔNG TY XÂY DỰNG BẠCH ĐẰNG,Nguyễn Trọng Khải,0200157840,Xây dựng,,,Hải Phòng
TỔNG CÔNG TY ĐỨC GIANG - CTCP,Hoàng Vệ Dũng,0100101403,"Sản xuất, kinh doanh trang phục","1,630,273","1,915,407",Hà Nội
CÔNG TY CP SCI,Nguyễn Văn Phúc,0101405355,Xây dựng,"1,608,549","6,451,445",Hà Nội
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT GIẤY KHẢI HOÀN,Ung Thị Thu Mỹ,0306012059,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,TP Hồ Chí Minh
CÔNG TY TNHH RITA VÕ,Võ Mậu Quốc Duy,0302802627,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
CÔNG TY CP DATVIET MEDIA,Đào Văn Kính,0304752594,Quảng cáo và nghiên cứu thị trường,,,TP Hồ Chí Minh
CÔNG TY CP VIỄN THÔNG - TIN HỌC BƯU ĐIỆN (CTIN),Hà Thanh Hải,0100683374,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Hà Nội
CÔNG TY CP HẢI ĐĂNG,Thái Trường Giang,3900513521,Xây dựng,,,Tây Ninh
CÔNG TY CP THIỆN PHÚ SĨ,Trần Thị Xuân Hạ,0303376241,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Long An
CÔNG TY TNHH XÂY DỰNG TUẤN LÊ,Lê Anh Tuấn,0307859271,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP DƯỢC - THIẾT BỊ Y TẾ ĐÀ NẴNG,Tống Viết Phải,0400101404,"Kinh doanh, phân phối dược phẩm, thiết bị y tế","1,554,801","1,546,299",Đà Nẵng
