Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
CÔNG TY CP BÊ TÔNG LY TÂM THỦ ĐỨC 1,Nguyễn Ngọc Hùng,3700912751,"Sản xuất, kinh doanh vật liệu xây dựng",,,Bình Dương
CÔNG TY CP TIẾN HƯNG,Desmond Nguyen,2300223949,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Bắc Ninh
CÔNG TY CP SAO THÁI DUONG,Nguyễn Hữu Thắng,0101252356,"Sản xuất dược phẩm, thiết bị y tế",,,Hà Nội
CÔNG TY CP XÂY DỰNG CBC,Đỗ Văn Cường,0313717010,Xây dựng,,,TP Hồ Chí Minh
CÔNG TY CP CÔNG NÔNG NGHIỆP TIẾN NÔNG,Nguyễn Hồng Phong,2800142141,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Thanh Hoá
CÔNG TY CP MAY VIỆT THỊNH,Nguyễn Đình Chương,0303614739,"Sản xuất, kinh doanh trang phục",,,TP Hồ Chí Minh
CÔNG TY TNHH FSI VIỆT NAM,Trần Hoàng Giang,0103812250,"Sản xuất, kinh doanh hóa chất khác",,,Hà Nội
CÔNG TY CP DỊCH VỤ CÔNG NGHỆ TIN HỌC HPT,Đinh Hà Duy Linh,0301447426,Hoạt động thông tin khác,,,TP Hồ Chí Minh
CÔNG TY CP DẦU KHÍ THÁI DƯƠNG,Lê Minh Hiếu,2400345718,Kinh doanh xăng dầu và các sản phẩm liên quan,"802,594","1,458,002",Bắc Giang
CÔNG TY CP MIZA,Nguyễn Tuấn Minh,0105028958,"Sản xuất, kinh doanh giấy và các sản phẩm từ giấy",,,Hà Nội
CÔNG TY CP VẬN TẢI 1 TRACO,Đỗ Minh Tuấn,0200380768,Hoạt động khác hỗ trợ cho vận tải,,,Hải Phòng
CÔNG TY CP NỘI THẤT 190,Ngô Duy Hưng,0200656938,"Sản xuất, kinh doanh gỗ, sản phẩm từ gỗ và nội thất",,,Hải Phòng
CÔNG TY TNHH XÂY DỰNG LÊ PHAN,Phan Xuân Lộc,0301125316,"Sản xuất, kinh doanh vật liệu xây dựng",,,TP Hồ Chí Minh
